"","Title","Authors","Abstract","Published Year","Published Month","Journal","Volume","Issue","Pages","Accession Number","DOI","Ref","Covidence #","Study","Notes","Tags","Biotic","Transboundary unclear","Biophysical","Intervention","Potentially relevant","save for other sections","Original_study"
"20","Twenty years of invasion: a review of round goby Neogobius melanostomus biology, spread and ecological implications","Kornis, M. S.; Mercado-Silva, N.; Vander Zanden, M. J.","The round goby Neogobius melanostomus is one of the most wide-ranging invasive fish on earth, with substantial introduced populations within the Laurentian Great Lakes watershed, the Baltic Sea and several major European rivers. Rapid expansion and deleterious ecosystem effects have motivated extensive research on this species; here this research is synthesized. Maps of the global distribution are provided and the invasion history of N. melanostomus, which spread more rapidly at first in North America, but has undergone substantial expansion over the past decade in the Baltic Sea, is summarized. Meta-analyses comparing their size at age, diet, competitors and predators in North American and European ecosystems are provided. Size at age is region specific, with saline habitats typically supporting larger and faster growing individuals than fresh water. Neogobius melanostomus prey differs substantially between regions, demonstrating a capacity to adapt to locally abundant food sources. Neogobius melanostomus comprise at least 50% of the diet of eight taxa in at least one site or life stage; in total, 16 predator taxa are documented from the Laurentian Great Lakes v. five from Eurasia. Invasive N. melanostomus are the only common forage fish to heavily exploit mussels in the Laurentian Great Lakes and the Baltic Sea, facilitating the transfer of energy from mussels to higher trophic levels in both systems. Neogobius melanostomus morphology, life history, reproduction, habitat preferences, environmental tolerances, parasites, environmental effects, sampling strategies and management are also discussed. Neogobius melanostomus inhabit a wide range of temperate freshwater and brackish-water ecosystems and will probably continue to spread via ballast water, accidental bait release and natural dispersal worldwide. Climate change will probably enhance N. melanostomus expansion by elevating water temperatures closer to its energetic optimum of 26 degrees C. Future research needs are presented; most pressing are evaluating the economic effects of N. melanostomus invasion, determining long-term population level effects of egg predation on game-fish recruitment and comparing several variables (density, ecological effects morphology and life history) among invaded ecosystems. This review provides a central reference as researchers continue studying N. melanostomus, often as examples for advancing basic ecology and invasion biology.",2012,"FEB","Journal of Fish Biology","80","2","235-285","WOS:000299374400001","10.1111/j.1095-8649.2011.03157.x","","#6421","Kornis 2012","Elliott Parsons (2024-11-14 12:37:04)(Select): note: """"Increased water temperatures will allow the geographic range of N. melanostomus to shift northwards (i.e. Lake Superior
and tributaries"""" - flow = biotic (N. melanostomus), review yes, climate change will impact northwards movement at US/Canada border - and numerous negative effects of this invasive species on biodiversity mentioned. So I think it fits all criteria; ","Biotic",TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
"21","Modeling sustainability of arctic communities: An interdisciplinary collaboration of researchers and local knowledge holders","Kruse, J. A.; White, R. G.; Epstein, H. E.; Archie, B.; Berman, M.; Braund, S. R.; Chapin, F. S.; Charlie, J.; Daniel, C. J.; Eamer, J.; Flanders, N.; Griffith, B.; Haley, S.; Huskey, L.; Joseph, B.; Klein, D. R.; Kofinas, G. P.; Martin, S. M.; Murphy, S. M.; Nebesky, W.; Nicolson, C.; Russell, D. E.; Tetlichi, J.; Tussing, A.; Walker, M. D.; Young, O. R.","How will climate change affect the sustainability of Arctic villages over the next 40 years? This question motivated a collaboration of 23 researchers and four Arctic communities (Old Crow, Yukon Territory, Canada; Aklavik, Northwest Territories, Canada; Fort McPherson, Northwest Territories, Canada; and Arctic Village, Alaska, USA) in or near the range of the Porcupine Caribou Herd. We drew on existing research and local knowledge to examine potential effects of climate change, petroleum development, tourism, and government spending cutbacks on the sustainability of four Arctic villages. We used data across eight disciplines to develop an Arctic Community Synthesis Model and a Web-based, interactive Possible Futures Model. Results suggested that climate warming will increase vegetation biomass within the herd's summer range. However, despite forage increasing, the herd was projected as likely to decline with a warming climate because of increased insect harassment in the summer and potentially greater winter snow depths. There was a strong negative correlation between hypothetical, development-induced displacement of cows and calves from utilized calving grounds and calf survival during June. The results suggested that climate warming coupled with petroleum development would cause a decline in caribou harvest by local communities. Because the Synthesis Model inherits uncertainties associated with each component model, sensitivity analysis is required. Scientists and stakeholders agreed that (1) although simulation models are incomplete abstractions of the real world, they helped bring scientific and community knowledge together, and (2) relationships established across disciplines and between scientists and communities were a valuable outcome of the study.",2004,"DEC","Ecosystems","7","8","815-828","WOS:000226163400004","10.1007/s10021-004-0008-z","","#6522","Kruse 2004","","Biotic",TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
"22","Environmental flows in the desert rivers of the United States and Mexico: Synthesis of available data and gap analysis","Lacroix, K. E. M.; Tapia, E.; Springer, A.","Although riparian and aquatic ecosystems make up a small fraction of the area in arid and semi-arid lands, they are critical for the survival of desert life. There are, however, few compendia of efforts to define the quantity of water needed to maintain these ecosystems and understand the risks and stressors to them. Through our analysis we found that 62% of the rivers examined in the deserts of the U.S. and Mexico have had just one study over the past four decades and 67% of studies used qualitative methods. Furthermore, only one-third of the 312 species catalogued in our work have been studied more than once and only 5% have been considered five or more times. The most common risks or stressors to riparian and aquatic species were engineered structures, invasive species, and altered flows; and while 10% of studies included climate stressor, climate change impacts were infrequently examined. Ultimately, we found that although research has been conducted across the desert watersheds of the U.S. and Mexico, there are significant gaps in our knowledge of basic data such as the location and extent of perennial and intermittent streams, let alone studies of environmental flow needs. (C) 2017 Elsevier Ltd. All rights reserved.",2017,"MAY","Journal of Arid Environments","140","","67-78","WOS:000398010800008","10.1016/j.jaridenv.2017.01.011","","#6651","Lacroix 2017","Elliott Parsons (2024-11-05 05:14:14)(Select): This is a literature review/synthesis, it does look at climate change impacts (and finds very few studies), flow includes water, flooding, etc., it does talk about biodiversity, is in NA, and the area includes U.S. and Mexico.; ","Biophysical",FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE
"23","Human Health and Ocean Pollution","Landrigan, P. J.; Stegeman, J. J.; Fleming, L. E.; Allemand, D.; Anderson, D. M.; Backer, L. C.; Brucker-Davis, F.; Chevalier, N.; Corra, L.; Czerucka, D.; Bottein, M. Y. D.; Demeneix, B.; Depledge, M.; Deheyn, D. D.; Dorman, C. J.; Fénichel, P.; Fisher, S.; Gaill, F.; Galgani, F.; Gaze, W. H.; Giuliano, L.; Grandjean, P.; Hahn, M. E.; Hamdoun, A.; Hess, P.; Judson, B.; Laborde, A.; McGlade, J.; Mu, J.; Mustapha, A.; Neira, M.; Noble, R. T.; Pedrotti, M. L.; Reddy, C.; Rocklöv, J.; Scharler, U. M.; Shanmugam, H.; Taghian, G.; van de Water, Jajm; Vezzulli, L.; Weihe, P.; Zeka, A.; Raps, H.; Rampal, P.","Background: Pollution - unwanted waste released to air, water, and land by human activity - is the largest environmental cause of disease in the world today. It is responsible for an estimated nine million premature deaths per year, enormous economic losses, erosion of human capital, and degradation of ecosystems. Ocean pollution is an important, but insufficiently recognized and inadequately controlled component of global pollution. It poses serious threats to human health and well-being. The nature and magnitude of these impacts are only beginning to be understood. Goals: (1) Broadly examine the known and potential impacts of ocean pollution on human health. (2) Inform policy makers, government leaders, international organizations, civil society, and the global public of these threats. (3) Propose priorities for interventions to control and prevent pollution of the seas and safeguard human health. Methods: Topic-focused reviews that examine the effects of ocean pollution on human health, identify gaps in knowledge, project future trends, and offer evidence-based guidance for effective intervention. Environmental Findings: Pollution of the oceans is widespread, worsening, and in most countries poorly controlled. It is a complex mixture of toxic metals, plastics, manufactured chemicals, petroleum, urban and industrial wastes, pesticides, fertilizers, pharmaceutical chemicals, agricultural runoff, and sewage. More than 80% arises from land-based sources. It reaches the oceans through rivers, runoff, atmospheric deposition and direct discharges. It is often heaviest near the coasts and most highly concentrated along the coasts of low- and middle-income countries. Plastic is a rapidly increasing and highly visible component of ocean pollution, and an estimated 10 million metric tons of plastic waste enter the seas each year. Mercury is the metal pollutant of greatest concern in the oceans; it is released from two main sources - coal combustion and small-scale gold mining. Global spread of industrialized agriculture with increasing use of chemical fertilizer leads to extension of Harmful Algal Blooms (HABs) to previously unaffected regions. Chemical pollutants are ubiquitous and contaminate seas and marine organisms from the high Arctic to the abyssal depths. Ecosystem Findings: Ocean pollution has multiple negative impacts on marine ecosystems, and these impacts are exacerbated by global climate change. Petroleum-based pollutants reduce photosynthesis in marine microorganisms that generate oxygen. Increasing absorption of carbon dioxide into the seas causes ocean acidification, which destroys coral reefs, impairs shellfish development, dissolves calcium-containing microorganisms at the base of the marine food web, and increases the toxicity of some pollutants. Plastic pollution threatens marine mammals, fish, and seabirds and accumulates in large mid-ocean gyres. It breaks down into microplastic and nanoplastic particles containing multiple manufactured chemicals that can enter the tissues of marine organisms, including species consumed by humans. Industrial releases, runoff, and sewage increase frequency and severity of HABs, bacterial pollution, and anti-microbial resistance. Pollution and sea surface warming are triggering poleward migration of dangerous pathogens such as the Vibrio species. Industrial discharges, pharmaceutical wastes, pesticides, and sewage contribute to global declines in fish stocks. Human Health Findings: Methylmercury and PCBs are the ocean pollutants whose human health effects are best understood. Exposures of infants in utero to these pollutants through maternal consumption of contaminated seafood can damage developing brains, reduce IQ and increase children's risks for autism, ADHD and learning disorders. Adult exposures to methylmercury increase risks for cardiovascular disease and dementia. Manufactured chemicals - phthalates, bisphenol A, flame retardants, and perfluorinated chemicals, many of them released into the seas from plastic waste - can disrupt endocrine signaling, reduce male fertility, damage the nervous system, and increase risk of cancer. HABs produce potent toxins that accumulate in fish and shellfish. When ingested, these toxins can cause severe neurological impairment and rapid death. HAB toxins can also become airborne and cause respiratory disease. Pathogenic marine bacteria cause gastrointestinal diseases and deep wound infections. With climate change and increasing pollution, risk is high that Vibrio infections, including cholera, will increase in frequency and extend to new areas. All of the health impacts of ocean pollution fall disproportionately on vulnerable populations in the Global South - environmental injustice on a planetary scale. Conclusions: Ocean pollution is a global problem. It arises from multiple sources and crosses national boundaries. It is the consequence of reckless, shortsighted, and unsustainable exploitation of the earth's resources. It endangers marine ecosystems. It impedes the production of atmospheric oxygen. Its threats to human health are great and growing, but still incompletely understood. Its economic costs are only beginning to be counted. Ocean pollution can be prevented. Like all forms of pollution, ocean pollution can be controlled by deploying data-driven strategies based on law, policy, technology, and enforcement that target priority pollution sources. Many countries have used these tools to control air and water pollution and are now applying them to ocean pollution. Successes achieved to date demonstrate that broader control is feasible. Heavily polluted harbors have been cleaned, estuaries rejuvenated, and coral reefs restored. Prevention of ocean pollution creates many benefits. It boosts economies, increases tourism, helps restore fisheries, and improves human health and well-being. It advances the Sustainable Development Goals (SDG). These benefits will last for centuries. Recommendations: World leaders who recognize the gravity of ocean pollution, acknowledge its growing dangers, engage civil society and the global public, and take bold, evidence-based action to stop pollution at source will be critical to preventing ocean pollution and safeguarding human health. Prevention of pollution from land-based sources is key. Eliminating coal combustion and banning all uses of mercury will reduce mercury pollution. Bans on single-use plastic and better management of plastic waste reduce plastic pollution. Bans on persistent organic pollutants (POPs) have reduced pollution by PCBs and DDT. Control of industrial discharges, treatment of sewage, and reduced applications of fertilizers have mitigated coastal pollution and are reducing frequency of HABs. National, regional and international marine pollution control programs that are adequately funded and backed by strong enforcement have been shown to be effective. Robust monitoring is essential to track progress. Further interventions that hold great promise include wide-scale transition to renewable fuels; transition to a circular economy that creates little waste and focuses on equity rather than on endless growth; embracing the principles of green chemistry; and building scientific capacity in all countries. Designation of Marine Protected Areas (MPAs) will safeguard critical ecosystems, protect vulnerable fish stocks, and enhance human health and well-being. Creation of MPAs is an important manifestation of national and international commitment to protecting the health of the seas.",2020,"","ANNALS OF GLOBAL HEALTH","86","1","","WOS:000595376400001","10.5334/aogh.2831","","#6701","Landrigan 2020","Elliott Parsons (2024-10-31 12:53:02)(Select): paper is a review, looks at intersection of ocean pollution and climate change - flows include ocean water (gyres), and air (distributing air pollution). Also - biotic flows - movements of disease vectors. This is a global paper but does reference North America (e.g., movement of ocean water from Japan). Yes, there is reason to believe that the ocean is involved in transport of pollution which may interact with climate change to affect NA.; ","Biophysical; Transboundary unclear",FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE
"24","Insect Hybridization and Climate Change","Larson, E. L.; Tinghitella, R. M.; Taylor, S. A.","Contemporary global change is altering ecosystems at an unprecedented pace and scale. This critical period is a crisis for biodiversity, but the perturbations caused by global environmental change also offer new opportunities to study the evolution of species boundaries-their persistence, formation, or collapse-over rapid evolutionary timescales. Increasing temperature means and fluctuations have the potential to alter gene flow between species through changes in species distributions, interactions, life history, and temperature-dependent behavior. This is particularly true for insects, whose geographic ranges, behaviors, and life history traits are temperature dependent. Here, we review the potential for climate change to influence gene flow and species boundaries between closely related insect species. We focus on studies that have tracked changes in climate and insect distributions and/or have evaluated temperature dependent reproductive barriers between species.",2019,"SEP 20","Frontiers in Ecology and Evolution","7","","","WOS:000487321400001","10.3389/fevo.2019.00348","","#6737","Larson 2019","Elliott Parsons (2024-11-15 11:31:32)(Select): A whole section on range expansions with changing climate - and multiple examples - one example near Mexico/US border. Others unclear. So yes flow, yes climate impact, transboundary unclear. However, there is a lot on the potential consequences of overlap of species, so I would say the biodiversity component is there.; Anabel Kinsey (2024-10-28 13:41:14)(Select): The transboundary is a bit implicit, but there is definitely range shifts due to climate change; ","Biotic; Transboundary unclear",TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE
"25","Some Holocene palaeoclimatic and palaeoenvironmental perspectives on Arctic/Subarctic climate warming and the IPCC 4th Assessment Report","Macdonald, G. M.","The IPCC 4th Assessment Report(FAR)is considered in light of Holocene palaeo-records of Arctic and Subarctic land temperatures and the response of the boreal forest-tundra boundary to past and present warming. The palaeo-records appear to support and amplify some of the conclusions in FAR and raise questions about others. Comparison of the FAR estimates for late 21st-century warming with Arctic and Subarctic palaeoclimatic records suggests that anticipated future warming will be unprecedented compared to earlier Holocene warming including the Holocene Thermal Maximum (HTM) and subsequent Medieval Warm Period (MWP). Annual warming and winter warming will likely be greater than during earlier periods in the Holocene, but summer temperatures projected by FAR may approximate or not far exceed the summer warming of the HTM. The geographically synchronous pattern of 21st-century warming projected by FAR will differ from the observed geographic variability in the timing of the HTM, particularly in the western Arctic. Further palaeo-record syntheses are required to fully delineate the similarities and differences between the HTM and the projected conditions of the 21 st century. In addition, palaeo-records suggest that the Arctic and Subarctic climate may be sensitive to relatively small changes in solar irradiance and understanding the potential effects of natural variations in irradiance on the future climate of the Arctic and Subarctic remains a question deserving further research. FAR mapped estimates of a significant northward displacement of boreal forest and woodland clue to warming imply that boreal forest or woodland will displace tundra as far north as the Arctic coastline by AD 2100. In Eurasia the estimated AD 2100 location of the tree line appears to approximate the HTM location. In North America an advance of forest to the coastline on the north slope of Alaska, central Canada and northern Quebec would far outdistance the relatively limited northward advances of boreal forest during the HTM. However, rates of tree species advance and subsequent forest development based on palaeo-records and Currently observed tree line advances raise questions about the likelihood that northward migration and subsequent increases in the population sizes of boreal tree species could occur rapidly enough to establish continuous forest and woodland as far north as the Arctic coastlines of Eurasia and North America by AD 2100. Determining potential rates of northward advance of the northern forests requires further ecological and palaeoecological investigations. Copyright (C) 2009 John Wiley & Sons, Ltd.",2010,"JAN","Journal of Quaternary Science","25","1","39-47","WOS:000273773900005","10.1002/jqs.1307","","#7543","Macdonald 2010","Elliott Parsons (2024-11-06 08:00:39)(Select): This looks like it has it all - climate change, and shifts in ecosystem types throughout North America. ; ","Biophysical; Intervention; Potentially relevant",FALSE,FALSE,TRUE,TRUE,TRUE,FALSE,FALSE
"26","Implications of climate change for parasitism of animals in the aquatic environment","Marcogliese, D. J.","Climate change can occur over evolutionary and ecological time scales as a result of natural and anthropogenic causes. Considerable attention has been focused in recent years on the biological consequences of global warming. However, aside from studies on those deleterious parasites that cause disease in man, little effort has been dedicated to understanding the potential changes in the parasite fauna of animal populations, especially those in aquatic systems. Predictions using General Circulation Models, among others, are examined in terms of their consequences for parasite populations in freshwater and marine ecosystems, concentrating on the temperate and boreal regions of eastern North America. Biological effects due to global warming are not predictable simply in terms of temperature response. It is also essential to explore the effects on aquatic parasites of alterations in host distribution, water levels, eutrophication, stratification, ice cover, acidification, oceanic currents, ultraviolet-light penetration, weather extremes, and human interference. Evaluation of the potential response of parasites of aquatic organisms to climate change illustrates the complexity of host-parasite systems and the difficulty of making accurate predictions for biological systems. Parasites in aquatic systems will respond directly to changes in temperature but also indirectly to changes in other abiotic parameters that are mediated indirectly through changes in the distribution and abundance of their hosts. Local extirpations and introductions may be expected as a result. In the long term, climatic change may influence selection of different life-history traits, affecting parasite transmission and, potentially, virulence.",2001,"AUG","Canadian Journal of Zoology","79","8","1331-1352","WOS:000171013200001","10.1139/cjz-79-8-1331","","#7768","Marcogliese 2001","Elliott Parsons (2024-10-30 15:59:06)(Select): Yes review paper, climate change included, listed flows include biotic flows - movement of diseases, invasive species, biodiversity is highlighted, yes within NA, and yes, Canada/US areas are mentioned a few times; ","Biophysical",FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE
"27","Climate effects on growth, phenology, and survival of sockeye salmon (<i>Oncorhynchus nerka</i>): a synthesis of the current state of knowledge and future research directions","Martins, E. G.; Hinch, S. G.; Cooke, S. J.; Patterson, D. A.","Sockeye salmon (Oncorhynchus nerka) is one of the most iconic and valued species of Pacific salmon. Various studies have examined the potential effects of future climate change on sockeye salmon, but there is currently no synthesis of the documented effects of climate on this species. In this paper, we present a synthesis of 80 peer-reviewed publications in the English language evaluating the effects of climate on sockeye salmon growth, phenology, and survival. The great majority of studies examined have been conducted with stocks from North America (90 % of studies). Survival (55 %) has been the most frequently studied aspect of the sockeye salmon life history in relation to climate, followed by growth (45 %) and phenology (30 %), with temperature (83.4 %) being the climate-related variable most frequently examined in such studies. Across life stages, the effects of climate-related variables have been most frequently studied on fry (36.3 %) and least studied on spawners (7.5 %). Our synthesis revealed that associations between temperature and growth, phenology, or survival have been uncovered for all the life stages of sockeye salmon, whereas relationships with other climate-related variables have been sparse. There is substantial evidence that sockeye salmon are influenced by thermal conditions experienced at regional, rather than ocean- or continental-wide scales, and that responses to temperature vary among and within stocks. The mechanisms by which climate affect sockeye salmon during the early stages in freshwater and while at sea are still poorly understood and warrant future research. More research on the effects of non-temperature, climate-related variables (e.g. stream flow, ocean pH), inter-generational and carry-over effects of climate, interaction between climate and non-climate stressors, and adaptation to climate change are also needed. Such information will be critical to advance our understanding of how sockeye salmon stocks will fare with future climate change.",2012,"DEC","Reviews in Fish Biology and Fisheries","22","4","887-914","WOS:000311500300003","10.1007/s11160-012-9271-9","","#7849","Martins 2012","Elliott Parsons (2024-11-15 15:38:55)(Select): Unclear what the climate change impacts are to flows that are transboundary - ;","Biotic; Transboundary unclear",TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE
"28","How Might Climate Change Affect Adaptive Responses of Polar Arthropods?","Matheson, P.; McGaughran, A.","Climate change is expected to impact the global distribution and diversity of arthropods, with warmer temperatures forcing species to relocate, acclimate, adapt, or go extinct. The Arctic and Antarctic regions are extremely sensitive to climate change and have displayed profound and variable changes over recent decades, including decreases in sea ice extent, greening of tundra, and changes to hydrological and biogeochemical cycles. It is unclear how polar-adapted arthropods will respond to such changes, though many are expected to be at great risk of extinction. Here, we review the adaptive mechanisms that allow polar arthropods to persist in extreme environments and discuss how the effects of climate change at the poles will likely favour non-native species or those with the ability to rapidly evolve and/or acclimate. We find that physiological, behavioural, plastic, and genetic data are limited in scope for polar arthropods and research on adaptive responses to change is scarce. This restricts our ability to predict how they may respond to a warming climate. We call for a greater investment in research that specifically targets the ecology and evolution of these taxa, including genomic and transcriptomic approaches that can evaluate the potential for plastic and evolved environmental responses.",2023,"JAN","DIVERSITY-BASEL","15","1","","WOS:000916996100001","10.3390/d15010047","","#7890","Matheson 2023","Elliott Parsons (2024-11-16 13:30:39)(Select): This has a section on potential poleward shifts, but not specific to North America, US, Canada, etc. Very general about Arctic & Antarctic. Could not find anything specific that is transboundary.; ","Biotic",TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
"29","Climate change and mercury in the Arctic: Biotic interactions","McKinney, M. A.; Chételat, J.; Burke, S. M.; Elliott, K. H.; Fernie, K. J.; Houde, M.; Kahilainen, K. K.; Letcher, R. J.; Morris, A. D.; Muir, D. C. G.; Routti, H.; Yurkowski, D. J.","Global climate change has led to profound alterations of the Arctic environment and ecosystems, with potential sec-ondary effects on mercury (Hg) within Arctic biota. This review presents the current scientific evidence for impacts of direct physical climate change and indirect ecosystem change on Hg exposure and accumulation in Arctic terrestrial, freshwater, and marine organisms. As the marine environment is elevated in Hg compared to the terrestrial environ-ment, terrestrial herbivores that now exploit coastal/marine foods when terrestrial plants are iced over may be ex-posed to higher Hg concentrations. Conversely, certain populations of predators, including Arctic foxes and polar bears, have shown lower Hg concentrations related to reduced sea ice-based foraging and increased land-based forag-ing. How climate change influences Hg in Arctic freshwater fishes is not clear, but for lacustrine populations it may depend on lake-specific conditions, including interrelated alterations in lake ice duration, turbidity, food web length and energy sources (benthic to pelagic), and growth dilution. In several marine mammal and seabird species, tissue Hg concentrations have shown correlations with climate and weather variables, including climate oscillation indices and sea ice trends; these findings suggest that wind, precipitation, and cryosphere changes that alter Hg transport and deposition are impacting Hg concentrations in Arctic marine organisms. Ecological changes, including northward range shifts of sub-Arctic species and altered body condition, have also been shown to affect Hg levels in some populations of Arctic marine species. Given the limited number of populations and species studied to date, especially within Arctic terrestrial and freshwater systems, further research is needed on climate-driven processes influencing Hg concentrations in Arctic ecosystems and their net effects. Long-term pan-Arctic monitoring programs should consider ancillary datasets on climate, weather, organism ecology and physiology to improve interpretation of spatial variation and time trends of Hg in Arctic biota.",2022,"AUG 15","Science of the Total Environment","834","","","WOS:000796434600010","10.1016/j.scitotenv.2022.155221","","#8026","McKinney 2022","Elliott Parsons (2024-11-02 09:56:22)(Select): review yes, climate change yes, flow yes (e.g., species shifting ranges and brining Hg contamination with them), biodiversity yes (mentioned throughout), NA yes, North America, Canada, Alaska mentioned multiple times, yes - there is reason to believe flows will move across borders though I could not find a specific example of this.; ","Biophysical; Biotic",TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE
"30","Poleward bound: adapting to climate-driven species redistribution","Melbourne-Thomas, J.; Audzijonyte, A.; Brasier, M. J.; Cresswell, K. A.; Fogarty, H. E.; Haward, M.; Hobday, A. J.; Hunt, H. L.; Ling, S. D.; McCormack, P. C.; Mustonen, T.; Mustonen, K.; Nye, J. A.; Oellermann, M.; Trebilco, R.; van Putten, I.; Villanueva, C.; Watson, R. A.; Pecl, G. T.","One of the most pronounced effects of climate change on the world's oceans is the (generally) poleward movement of species and fishery stocks in response to increasing water temperatures. In some regions, such redistributions are already causing dramatic shifts in marine socioecological systems, profoundly altering ecosystem structure and function, challenging domestic and international fisheries, and impacting on human communities. Such effects are expected to become increasingly widespread as waters continue to warm and species ranges continue to shift. Actions taken over the coming decade (2021-2030) can help us adapt to species redistributions and minimise negative impacts on ecosystems and human communities, achieving a more sustainable future in the face of ecosystem change. We describe key drivers related to climate-driven species redistributions that are likely to have a high impact and influence on whether a sustainable future is achievable by 2030. We posit two different futures-a 'business as usual' future and a technically achievable and more sustainable future, aligned with the Sustainable Development Goals. We then identify concrete actions that provide a pathway towards the more sustainable 2030 and that acknowledge and include Indigenous perspectives. Achieving this sustainable future will depend on improved monitoring and detection, and on adaptive, cooperative management to proactively respond to the challenge of species redistribution. We synthesise examples of such actions as the basis of a strategic approach to tackle this global-scale challenge for the benefit of humanity and ecosystems.",2022,"MAR","Reviews in Fish Biology and Fisheries","32","1","231-251","WOS:000634725200002","10.1007/s11160-021-09641-3","","#8110","Melbourne-Thomas 2022","Elliott Parsons (2024-11-15 13:27:07)(Select): About species redistribution due to climate change. Good cross-boundary example with Whales on pages 232-233 - North American Right Whale crossing jurisdictions from US to Canada prompting new policies to be created. The paper does touch on biodiversity impacts of species redistribution, so I will vote to include.; ","Biotic; Transboundary unclear",TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE
"31","Chytridiomycosis in amphibians from Mexico: a revision","Mendoza-Almeralla, C.; Burrowes, P.; Parra-Olea, G.","Chytridiomycosis is a disease caused by the fungal pathogen Batrachochytrium dendrobatidis (Bd), which affects the skin of amphibians and may cause death. The decline of amphibian populations as a result of the effect of this pathogen occurred simultaneously in various parts of the world from the early 1980's. In Mexico the epidemic wave of Bd was identified in the 1970's, which is consistent with the decline of salamander (caudate) populations in the southern part of the country. Our work presents a review of the state of knowledge of chytridiomycosis as a factor in the decline of amphibian populations worldwide and the information gathered until now of the presence of this pathogen in Mexico. To date, there has been infection in 50 Mexican amphibian species that are mainly distributed in the mountainous regions of central and southern Mexico, and was determined that the families Hylidae and Plethodontidae are the most affected. Several authors have suggested that global climate change has played a key role in the occurrence and virulence of Batrachochytrium because the temperature increase induces an imbalance in the pathogen-host relationship to increased virulence of Bd and / or increased susceptibility to infection in amphibians. On this matter, we analyzed the reported temperatures of 1964-1989 in areas where the decline of caudates was more drastic. We found no relationship between the decline of salamanders with temperature. However, the international trade, the introduction and displacement of the """"bullfrog"""" Lithobates catesbeiana are important factors for the spread of the pathogen. All Rights Reserved (C) 2015 Universidad Nacional Autonoma de Mexico, Instituto de Biologia.",2015,"MAR","Revista Mexicana de Biodiversidad","86","1","238-248","WOS:000355064100026","10.7550/rmb.42588","","#8131","Mendoza-Almeralla 2015","Elliott Parsons (2024-11-06 10:05:54)(Select): This review article is about the history of the spread and impacts of the Chytrid fungus in Mexico. One of the main outcomes of the review is the lack of a climate signature on the virulence of the disease. However, there are references to movement of lots of species (native and invasive), as carriers of disease - southward movement, and climate change is referenced a lot. So I will vote to include; Grace Westphal (2024-08-07 07:34:43)(Select): Written in Spanish; ","Biotic; Transboundary unclear",TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE
"32","Migration and climate change analysis. Towards Causal Factor Understanding in the Mesoamerican Dry Corridor","Mihotek, M. L. V.; Ayuga, J. G. R.","The main research objective is to advance in the understanding of the causes that imply the migratory processes produced in the last decades in the Mesoamerican Dry Corridor. A closely related variable is analysed, such as land cover and land use change, exacerbated by the effects of climate change in this region, one of the most vulnerable on Earth according to the Intergovernmental Panel on Climate Change (IPCC) of 2019 last report. Spatial data from the European Copernicus Program and historical records from NASA, and the relationship between the population estimate according to the GPWv4 and WorldPop models and the changes in vegetation based on MODIS data for 2015 and 2020 have been analyzed. The first results are discussed, and conclusions are presented in accordance with international research.",2022,"OCT","MIGRACIONES","55","","","WOS:000883801500001","10.14422/mig.2022.004","","#8222","Mihotek 2022","Elliott Parsons (2024-11-03 12:24:42)(Select): This article is all about how climate change may impact human migration through the Mesoamerican dry corridor - and there are references to immigration into the US (so transboundary). So accept!;","Biophysical; Biotic",TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE
