"","driver","altered_flow","impact","count_driver_alteration","count_driver_altflow_bdimpact","count_driver_impact","alteration","direction","count_alteredflow_impact"
"82","Climate change  generic ","Direction","Loss",224,19,180,"Complex change","Increase",129
"83","Climate change  generic ","Location","Loss",272,25,180,"Complex change","Increase",135
"84","Climate change  generic ","Distance","Loss",61,15,180,"Complex change","Increase",94
"85","Climate change  generic ","Timing","Loss",152,18,180,"Increase","Increase",114
"86","Climate change  generic ","Frequency","Loss",105,12,180,"Increase","Increase",65
"87","Climate change  generic ","Duration","Loss",120,15,180,"Increase","Increase",103
"88","Climate change  generic ","Speed","Loss",110,16,180,"Increase","Increase",85
"89","Climate change  generic ","Feedbacks","Loss",206,16,180,"Complex change","Increase",101
"90","Climate change  generic ","Mechanism","Loss",170,15,180,"Complex change","Increase",86
"91","Climate change  generic ","Quantity","Trophic",214,27,185,"Increase","Complex change",168
"92","Climate change  generic ","Direction","Trophic",224,19,185,"Complex change","Complex change",134
"93","Climate change  generic ","Location","Trophic",272,22,185,"Complex change","Complex change",131
"94","Climate change  generic ","Distance","Trophic",61,17,185,"Complex change","Complex change",111
"95","Climate change  generic ","Timing","Trophic",152,19,185,"Increase","Complex change",125
"96","Climate change  generic ","Frequency","Trophic",105,12,185,"Increase","Complex change",78
"97","Climate change  generic ","Duration","Trophic",120,18,185,"Increase","Complex change",123
"98","Climate change  generic ","Speed","Trophic",110,15,185,"Increase","Complex change",85
"99","Climate change  generic ","Feedbacks","Trophic",206,19,185,"Complex change","Complex change",121
"100","Climate change  generic ","Mechanism","Trophic",170,15,185,"Complex change","Complex change",93
"101","Drought","Quantity","Abundance",106,27,153,"Increase","Decrease",284
"102","Drought","Direction","Abundance",124,18,153,"Complex change","Decrease",179
"103","Drought","Location","Abundance",148,22,153,"Complex change","Decrease",224
"104","Drought","Distance","Abundance",17,12,153,"Complex change","Decrease",137
"105","Drought","Timing","Abundance",95,16,153,"Increase","Decrease",208
"106","Drought","Frequency","Abundance",56,11,153,"Increase","Decrease",132
"107","Drought","Duration","Abundance",62,13,153,"Increase","Decrease",170
"108","Drought","Speed","Abundance",68,10,153,"Increase","Decrease",111
"109","Drought","Feedbacks","Abundance",101,14,153,"Complex change","Decrease",170
"110","Drought","Mechanism","Abundance",74,10,153,"Complex change","Decrease",112
"111","Drought","Quantity","Connectivity",106,11,97,"Increase","Decrease",128
"112","Drought","Direction","Connectivity",124,10,97,"Complex change","Decrease",113
"113","Drought","Location","Connectivity",148,12,97,"Complex change","Decrease",115
"114","Drought","Distance","Connectivity",17,9,97,"Complex change","Decrease",103
"115","Drought","Timing","Connectivity",95,10,97,"Increase","Decrease",123
"116","Drought","Frequency","Connectivity",56,8,97,"Increase","Decrease",93
"117","Drought","Duration","Connectivity",62,10,97,"Increase","Decrease",116
"118","Drought","Speed","Connectivity",68,8,97,"Increase","Decrease",93
"119","Drought","Feedbacks","Connectivity",101,10,97,"Complex change","Decrease",118
"120","Drought","Mechanism","Connectivity",74,9,97,"Complex change","Decrease",97
"121","Drought","Quantity","Loss",106,15,109,"Increase","Increase",157
"122","Drought","Direction","Loss",124,13,109,"Complex change","Increase",129
"123","Drought","Location","Loss",148,14,109,"Complex change","Increase",135
"124","Drought","Distance","Loss",17,9,109,"Complex change","Increase",94
"125","Drought","Timing","Loss",95,12,109,"Increase","Increase",114
"126","Drought","Frequency","Loss",56,8,109,"Increase","Increase",65
"127","Drought","Duration","Loss",62,11,109,"Increase","Increase",103
"128","Drought","Speed","Loss",68,9,109,"Increase","Increase",85
"129","Drought","Feedbacks","Loss",101,10,109,"Complex change","Increase",101
"130","Drought","Mechanism","Loss",74,8,109,"Complex change","Increase",86
"131","Drought","Quantity","Trophic",106,10,77,"Increase","Complex change",168
"132","Drought","Direction","Trophic",124,8,77,"Complex change","Complex change",134
"133","Drought","Location","Trophic",148,10,77,"Complex change","Complex change",131
"134","Drought","Distance","Trophic",17,7,77,"Complex change","Complex change",111
"135","Drought","Timing","Trophic",95,8,77,"Increase","Complex change",125
"136","Drought","Frequency","Trophic",56,5,77,"Increase","Complex change",78
"137","Drought","Duration","Trophic",62,8,77,"Increase","Complex change",123
"138","Drought","Speed","Trophic",68,6,77,"Increase","Complex change",85
"139","Drought","Feedbacks","Trophic",101,8,77,"Complex change","Complex change",121
"140","Drought","Mechanism","Trophic",74,7,77,"Complex change","Complex change",93
"141","Air temperature directional change","Quantity","Abundance",175,45,229,"Increase","Decrease",284
"142","Air temperature directional change","Direction","Abundance",163,20,229,"Complex change","Decrease",179
"143","Air temperature directional change","Location","Abundance",200,32,229,"Complex change","Decrease",224
"144","Air temperature directional change","Distance","Abundance",14,13,229,"Complex change","Decrease",137
"145","Air temperature directional change","Timing","Abundance",152,31,229,"Increase","Decrease",208
"146","Air temperature directional change","Frequency","Abundance",86,15,229,"Increase","Decrease",132
"147","Air temperature directional change","Duration","Abundance",111,24,229,"Increase","Decrease",170
"148","Air temperature directional change","Speed","Abundance",89,14,229,"Increase","Decrease",111
"149","Air temperature directional change","Feedbacks","Abundance",126,21,229,"Complex change","Decrease",170
"150","Air temperature directional change","Mechanism","Abundance",85,11,229,"Complex change","Decrease",112
"151","Air temperature directional change","Quantity","Connectivity",175,13,118,"Increase","Decrease",128
"152","Air temperature directional change","Direction","Connectivity",163,11,118,"Complex change","Decrease",113
"153","Air temperature directional change","Location","Connectivity",200,14,118,"Complex change","Decrease",115
"154","Air temperature directional change","Distance","Connectivity",14,10,118,"Complex change","Decrease",103
"155","Air temperature directional change","Timing","Connectivity",152,14,118,"Increase","Decrease",123
"156","Air temperature directional change","Frequency","Connectivity",86,10,118,"Increase","Decrease",93
"157","Air temperature directional change","Duration","Connectivity",111,13,118,"Increase","Decrease",116
"158","Air temperature directional change","Speed","Connectivity",89,10,118,"Increase","Decrease",93
"159","Air temperature directional change","Feedbacks","Connectivity",126,12,118,"Complex change","Decrease",118
"160","Air temperature directional change","Mechanism","Connectivity",85,10,118,"Complex change","Decrease",97
"161","Air temperature directional change","Quantity","Loss",175,20,114,"Increase","Increase",157
"162","Air temperature directional change","Direction","Loss",163,14,114,"Complex change","Increase",129
"163","Air temperature directional change","Location","Loss",200,16,114,"Complex change","Increase",135
"164","Air temperature directional change","Distance","Loss",14,9,114,"Complex change","Increase",94
"165","Air temperature directional change","Timing","Loss",152,13,114,"Increase","Increase",114
"166","Air temperature directional change","Frequency","Loss",86,4,114,"Increase","Increase",65
"167","Air temperature directional change","Duration","Loss",111,10,114,"Increase","Increase",103
"168","Air temperature directional change","Speed","Loss",89,8,114,"Increase","Increase",85
"169","Air temperature directional change","Feedbacks","Loss",126,10,114,"Complex change","Increase",101
"170","Air temperature directional change","Mechanism","Loss",85,8,114,"Complex change","Increase",86
"171","Air temperature directional change","Quantity","Trophic",175,24,154,"Increase","Complex change",168
"172","Air temperature directional change","Direction","Trophic",163,16,154,"Complex change","Complex change",134
"173","Air temperature directional change","Location","Trophic",200,18,154,"Complex change","Complex change",131
"174","Air temperature directional change","Distance","Trophic",14,13,154,"Complex change","Complex change",111
"175","Air temperature directional change","Timing","Trophic",152,18,154,"Increase","Complex change",125
"176","Air temperature directional change","Frequency","Trophic",86,10,154,"Increase","Complex change",78
"177","Air temperature directional change","Duration","Trophic",111,15,154,"Increase","Complex change",123
"178","Air temperature directional change","Speed","Trophic",89,11,154,"Increase","Complex change",85
"179","Air temperature directional change","Feedbacks","Trophic",126,15,154,"Complex change","Complex change",121
"180","Air temperature directional change","Mechanism","Trophic",85,11,154,"Complex change","Complex change",93
"181","Precipitation directional change","Quantity","Abundance",131,31,191,"Increase","Decrease",284
"182","Precipitation directional change","Direction","Abundance",149,21,191,"Complex change","Decrease",179
"183","Precipitation directional change","Location","Abundance",169,26,191,"Complex change","Decrease",224
"184","Precipitation directional change","Distance","Abundance",17,13,191,"Complex change","Decrease",137
"185","Precipitation directional change","Timing","Abundance",125,25,191,"Increase","Decrease",208
"186","Precipitation directional change","Frequency","Abundance",76,14,191,"Increase","Decrease",132
"187","Precipitation directional change","Duration","Abundance",94,19,191,"Increase","Decrease",170
"188","Precipitation directional change","Speed","Abundance",78,11,191,"Increase","Decrease",111
"189","Precipitation directional change","Feedbacks","Abundance",123,18,191,"Complex change","Decrease",170
"190","Precipitation directional change","Mechanism","Abundance",83,11,191,"Complex change","Decrease",112
"191","Precipitation directional change","Quantity","Connectivity",131,13,111,"Increase","Decrease",128
"192","Precipitation directional change","Direction","Connectivity",149,11,111,"Complex change","Decrease",113
"193","Precipitation directional change","Location","Connectivity",169,13,111,"Complex change","Decrease",115
"194","Precipitation directional change","Distance","Connectivity",17,9,111,"Complex change","Decrease",103
"195","Precipitation directional change","Timing","Connectivity",125,13,111,"Increase","Decrease",123
"196","Precipitation directional change","Frequency","Connectivity",76,9,111,"Increase","Decrease",93
"197","Precipitation directional change","Duration","Connectivity",94,12,111,"Increase","Decrease",116
"198","Precipitation directional change","Speed","Connectivity",78,8,111,"Increase","Decrease",93
"199","Precipitation directional change","Feedbacks","Connectivity",123,12,111,"Complex change","Decrease",118
"200","Precipitation directional change","Mechanism","Connectivity",83,9,111,"Complex change","Decrease",97
"201","Precipitation directional change","Quantity","Loss",131,18,123,"Increase","Increase",157
"202","Precipitation directional change","Direction","Loss",149,15,123,"Complex change","Increase",129
"203","Precipitation directional change","Location","Loss",169,16,123,"Complex change","Increase",135
"204","Precipitation directional change","Distance","Loss",17,10,123,"Complex change","Increase",94
"205","Precipitation directional change","Timing","Loss",125,12,123,"Increase","Increase",114
"206","Precipitation directional change","Frequency","Loss",76,6,123,"Increase","Increase",65
"207","Precipitation directional change","Duration","Loss",94,12,123,"Increase","Increase",103
"208","Precipitation directional change","Speed","Loss",78,11,123,"Increase","Increase",85
"209","Precipitation directional change","Feedbacks","Loss",123,12,123,"Complex change","Increase",101
"210","Precipitation directional change","Mechanism","Loss",83,9,123,"Complex change","Increase",86
"211","Precipitation directional change","Quantity","Trophic",131,18,118,"Increase","Complex change",168
"212","Precipitation directional change","Direction","Trophic",149,14,118,"Complex change","Complex change",134
"213","Precipitation directional change","Location","Trophic",169,14,118,"Complex change","Complex change",131
"214","Precipitation directional change","Distance","Trophic",17,9,118,"Complex change","Complex change",111
"215","Precipitation directional change","Timing","Trophic",125,13,118,"Increase","Complex change",125
"216","Precipitation directional change","Frequency","Trophic",76,7,118,"Increase","Complex change",78
"217","Precipitation directional change","Duration","Trophic",94,12,118,"Increase","Complex change",123
"218","Precipitation directional change","Speed","Trophic",78,8,118,"Increase","Complex change",85
"219","Precipitation directional change","Feedbacks","Trophic",123,12,118,"Complex change","Complex change",121
"220","Precipitation directional change","Mechanism","Trophic",83,9,118,"Complex change","Complex change",93
"221","Precipitation variability","Quantity","Abundance",102,25,166,"Increase","Decrease",284
"222","Precipitation variability","Direction","Abundance",127,18,166,"Complex change","Decrease",179
"223","Precipitation variability","Location","Abundance",122,19,166,"Complex change","Decrease",224
"224","Precipitation variability","Distance","Abundance",18,13,166,"Complex change","Decrease",137
"225","Precipitation variability","Timing","Abundance",117,23,166,"Increase","Decrease",208
"226","Precipitation variability","Frequency","Abundance",53,13,166,"Increase","Decrease",132
"227","Precipitation variability","Duration","Abundance",73,17,166,"Increase","Decrease",170
"228","Precipitation variability","Speed","Abundance",73,11,166,"Increase","Decrease",111
"229","Precipitation variability","Feedbacks","Abundance",102,15,166,"Complex change","Decrease",170
"230","Precipitation variability","Mechanism","Abundance",73,10,166,"Complex change","Decrease",112
"231","Precipitation variability","Quantity","Connectivity",102,11,92,"Increase","Decrease",128
"232","Precipitation variability","Direction","Connectivity",127,10,92,"Complex change","Decrease",113
"233","Precipitation variability","Location","Connectivity",122,9,92,"Complex change","Decrease",115
"234","Precipitation variability","Distance","Connectivity",18,8,92,"Complex change","Decrease",103
"235","Precipitation variability","Timing","Connectivity",117,11,92,"Increase","Decrease",123
"236","Precipitation variability","Frequency","Connectivity",53,6,92,"Increase","Decrease",93
"237","Precipitation variability","Duration","Connectivity",73,9,92,"Increase","Decrease",116
"238","Precipitation variability","Speed","Connectivity",73,8,92,"Increase","Decrease",93
"239","Precipitation variability","Feedbacks","Connectivity",102,10,92,"Complex change","Decrease",118
"240","Precipitation variability","Mechanism","Connectivity",73,8,92,"Complex change","Decrease",97
"241","Precipitation variability","Quantity","Loss",102,15,109,"Increase","Increase",157
"242","Precipitation variability","Direction","Loss",127,14,109,"Complex change","Increase",129
"243","Precipitation variability","Location","Loss",122,13,109,"Complex change","Increase",135
"244","Precipitation variability","Distance","Loss",18,9,109,"Complex change","Increase",94
"245","Precipitation variability","Timing","Loss",117,13,109,"Increase","Increase",114
"246","Precipitation variability","Frequency","Loss",53,6,109,"Increase","Increase",65
"247","Precipitation variability","Duration","Loss",73,11,109,"Increase","Increase",103
"248","Precipitation variability","Speed","Loss",73,8,109,"Increase","Increase",85
"249","Precipitation variability","Feedbacks","Loss",102,10,109,"Complex change","Increase",101
"250","Precipitation variability","Mechanism","Loss",73,8,109,"Complex change","Increase",86
"251","Precipitation variability","Quantity","Trophic",102,14,102,"Increase","Complex change",168
"252","Precipitation variability","Direction","Trophic",127,12,102,"Complex change","Complex change",134
"253","Precipitation variability","Location","Trophic",122,10,102,"Complex change","Complex change",131
"254","Precipitation variability","Distance","Trophic",18,8,102,"Complex change","Complex change",111
"255","Precipitation variability","Timing","Trophic",117,12,102,"Increase","Complex change",125
"256","Precipitation variability","Frequency","Trophic",53,6,102,"Increase","Complex change",78
"257","Precipitation variability","Duration","Trophic",73,11,102,"Increase","Complex change",123
"258","Precipitation variability","Speed","Trophic",73,8,102,"Increase","Complex change",85
"259","Precipitation variability","Feedbacks","Trophic",102,11,102,"Complex change","Complex change",121
"260","Precipitation variability","Mechanism","Trophic",73,8,102,"Complex change","Complex change",93
"261","Climate change  generic ","Quantity","Abundance",77,60,350,"Decrease","Decrease",284
"262","Climate change  generic ","Timing","Abundance",152,38,350,"Increase","Decrease",208
"263","Climate change  generic ","Other","Abundance",8,4,350,"Increase","Decrease",20
"264","Air temperature directional change","Direction","Composition",163,21,205,"Complex change","Increase",132
"265","Air temperature directional change","Distance","Composition",14,14,205,"Complex change","Increase",91
"266","Climate change  generic ","Quantity","Abundance",77,60,350,"Decrease","Decrease",284
"267","Climate change  generic ","Direction","Abundance",224,33,350,"Complex change","Decrease",179
"268","Climate change  generic ","Location","Abundance",272,46,350,"Complex change","Decrease",224
"269","Climate change  generic ","Timing","Abundance",152,38,350,"Increase","Decrease",208
"270","Climate change  generic ","Quantity","Composition",77,44,251,"Decrease","Complex change",191
"271","Climate change  generic ","Direction","Composition",224,24,251,"Complex change","Complex change",132
"272","Climate change  generic ","Location","Composition",272,28,251,"Complex change","Complex change",146
"273","Climate change  generic ","Timing","Composition",152,27,251,"Increase","Complex change",131
"274","Climate change  generic ","Quantity","Connectivity",77,22,192,"Decrease","Decrease",128
"275","Climate change  generic ","Direction","Connectivity",224,20,192,"Complex change","Decrease",113
"276","Climate change  generic ","Location","Connectivity",272,21,192,"Complex change","Decrease",115
"277","Climate change  generic ","Timing","Connectivity",152,19,192,"Increase","Decrease",123
"278","Climate change  generic ","Quantity","Loss",77,28,180,"Decrease","Increase",157
"279","Climate change  generic ","Direction","Loss",224,19,180,"Complex change","Increase",129
"280","Climate change  generic ","Location","Loss",272,25,180,"Complex change","Increase",135
"281","Climate change  generic ","Timing","Loss",152,18,180,"Increase","Increase",114
"282","Climate change  generic ","Quantity","Trophic",77,27,185,"Decrease","Increase",168
"283","Climate change  generic ","Direction","Trophic",224,19,185,"Complex change","Increase",134
"284","Climate change  generic ","Location","Trophic",272,22,185,"Complex change","Increase",131
"285","Climate change  generic ","Timing","Trophic",152,19,185,"Increase","Increase",125
"286","Drought","Quantity","Abundance",40,27,153,"Decrease","Decrease",284
"287","Drought","Direction","Abundance",124,18,153,"Complex change","Decrease",179
"288","Drought","Location","Abundance",148,22,153,"Complex change","Decrease",224
"289","Drought","Timing","Abundance",95,16,153,"Increase","Decrease",208
"290","Drought","Quantity","Composition",40,16,88,"Decrease","Complex change",191
"291","Drought","Direction","Composition",124,10,88,"Complex change","Complex change",132
"292","Drought","Location","Composition",148,14,88,"Complex change","Complex change",146
"293","Drought","Timing","Composition",95,10,88,"Increase","Complex change",131
"294","Drought","Quantity","Connectivity",40,11,97,"Decrease","Decrease",128
"295","Drought","Direction","Connectivity",124,10,97,"Complex change","Decrease",113
"296","Drought","Location","Connectivity",148,12,97,"Complex change","Decrease",115
"297","Drought","Timing","Connectivity",95,10,97,"Increase","Decrease",123
"298","Drought","Quantity","Loss",40,15,109,"Decrease","Increase",157
"299","Drought","Direction","Loss",124,13,109,"Complex change","Increase",129
"300","Drought","Location","Loss",148,14,109,"Complex change","Increase",135
"301","Drought","Timing","Loss",95,12,109,"Increase","Increase",114
"302","Drought","Quantity","Trophic",40,10,77,"Decrease","Increase",168
"303","Drought","Direction","Trophic",124,8,77,"Complex change","Increase",134
"304","Drought","Location","Trophic",148,10,77,"Complex change","Increase",131
"305","Drought","Timing","Trophic",95,8,77,"Increase","Increase",125
"306","Air temperature directional change","Quantity","Abundance",56,45,229,"Decrease","Decrease",284
"307","Air temperature directional change","Direction","Abundance",163,20,229,"Complex change","Decrease",179
"308","Air temperature directional change","Location","Abundance",200,32,229,"Complex change","Decrease",224
"309","Air temperature directional change","Timing","Abundance",152,31,229,"Increase","Decrease",208
"310","Air temperature directional change","Quantity","Composition",56,37,205,"Decrease","Complex change",191
"311","Air temperature directional change","Direction","Composition",163,21,205,"Complex change","Complex change",132
"312","Air temperature directional change","Location","Composition",200,29,205,"Complex change","Complex change",146
"313","Air temperature directional change","Timing","Composition",152,24,205,"Increase","Complex change",131
"314","Air temperature directional change","Quantity","Connectivity",56,13,118,"Decrease","Decrease",128
"315","Air temperature directional change","Direction","Connectivity",163,11,118,"Complex change","Decrease",113
"316","Air temperature directional change","Location","Connectivity",200,14,118,"Complex change","Decrease",115
"317","Air temperature directional change","Timing","Connectivity",152,14,118,"Increase","Decrease",123
"318","Air temperature directional change","Quantity","Loss",56,20,114,"Decrease","Increase",157
"319","Air temperature directional change","Direction","Loss",163,14,114,"Complex change","Increase",129
"320","Air temperature directional change","Location","Loss",200,16,114,"Complex change","Increase",135
"321","Air temperature directional change","Timing","Loss",152,13,114,"Increase","Increase",114
"322","Air temperature directional change","Quantity","Trophic",56,24,154,"Decrease","Increase",168
"323","Air temperature directional change","Direction","Trophic",163,16,154,"Complex change","Increase",134
"324","Air temperature directional change","Location","Trophic",200,18,154,"Complex change","Increase",131
"325","Air temperature directional change","Timing","Trophic",152,18,154,"Increase","Increase",125
"326","Precipitation directional change","Quantity","Abundance",40,31,191,"Decrease","Decrease",284
"327","Precipitation directional change","Direction","Abundance",149,21,191,"Complex change","Decrease",179
"328","Precipitation directional change","Location","Abundance",169,26,191,"Complex change","Decrease",224
"329","Precipitation directional change","Timing","Abundance",125,25,191,"Increase","Decrease",208
"330","Precipitation directional change","Quantity","Composition",40,19,120,"Decrease","Complex change",191
"331","Precipitation directional change","Direction","Composition",149,14,120,"Complex change","Complex change",132
"332","Precipitation directional change","Location","Composition",169,18,120,"Complex change","Complex change",146
"333","Precipitation directional change","Timing","Composition",125,14,120,"Increase","Complex change",131
"334","Precipitation directional change","Quantity","Connectivity",40,13,111,"Decrease","Decrease",128
"335","Precipitation directional change","Direction","Connectivity",149,11,111,"Complex change","Decrease",113
"336","Precipitation directional change","Location","Connectivity",169,13,111,"Complex change","Decrease",115
"337","Precipitation directional change","Timing","Connectivity",125,13,111,"Increase","Decrease",123
"338","Precipitation directional change","Quantity","Loss",40,18,123,"Decrease","Increase",157
"339","Precipitation directional change","Direction","Loss",149,15,123,"Complex change","Increase",129
"340","Precipitation directional change","Location","Loss",169,16,123,"Complex change","Increase",135
"341","Precipitation directional change","Timing","Loss",125,12,123,"Increase","Increase",114
"342","Precipitation directional change","Quantity","Trophic",40,18,118,"Decrease","Increase",168
"343","Precipitation directional change","Direction","Trophic",149,14,118,"Complex change","Increase",134
"344","Precipitation directional change","Location","Trophic",169,14,118,"Complex change","Increase",131
"345","Precipitation directional change","Timing","Trophic",125,13,118,"Increase","Increase",125
"346","Precipitation variability","Quantity","Abundance",28,25,166,"Decrease","Decrease",284
"347","Precipitation variability","Direction","Abundance",127,18,166,"Complex change","Decrease",179
"348","Precipitation variability","Location","Abundance",122,19,166,"Complex change","Decrease",224
"349","Precipitation variability","Timing","Abundance",117,23,166,"Increase","Decrease",208
"350","Precipitation variability","Quantity","Composition",28,16,112,"Decrease","Complex change",191
"351","Precipitation variability","Direction","Composition",127,14,112,"Complex change","Complex change",132
"352","Precipitation variability","Location","Composition",122,12,112,"Complex change","Complex change",146
"353","Precipitation variability","Timing","Composition",117,15,112,"Increase","Complex change",131
"354","Precipitation variability","Quantity","Connectivity",28,11,92,"Decrease","Decrease",128
"355","Precipitation variability","Direction","Connectivity",127,10,92,"Complex change","Decrease",113
"356","Precipitation variability","Location","Connectivity",122,9,92,"Complex change","Decrease",115
"357","Precipitation variability","Timing","Connectivity",117,11,92,"Increase","Decrease",123
"358","Precipitation variability","Quantity","Loss",28,15,109,"Decrease","Increase",157
"359","Precipitation variability","Direction","Loss",127,14,109,"Complex change","Increase",129
