"","impact","direction","X2.1.Flow.Type","n","prop"
"76","Trophic","Complex change","Sociocultural",2,0.00349040139616056
"77","Trophic","Decrease","Sociocultural",2,0.00349040139616056
"78","Trophic","No change (measured)","Biotic",2,0.00349040139616056
"79","Urbanization","No change (measured)","Biotic",2,0.00349040139616056
"80","Abundance","Decrease","Human movement",1,0.00174520069808028
"81","Composition","Complex change","Human movement",1,0.00174520069808028
"82","Composition","Decrease","Biotic",1,0.00174520069808028
"83","Composition","Decrease","Physical",1,0.00174520069808028
"84","Connectivity","Complex change","Physical",1,0.00174520069808028
"85","Connectivity","Increase","Physical",1,0.00174520069808028
"86","Connectivity","No change (measured)","Biotic",1,0.00174520069808028
"87","Disease","Increase","Sociocultural",1,0.00174520069808028
"88","Genetics","Increase","Biotic",1,0.00174520069808028
"89","Genetics","Increase","Sociocultural",1,0.00174520069808028
"90","Habitat Loss","Decrease","Human movement",1,0.00174520069808028
"91","Habitat Loss","Decrease","Physical",1,0.00174520069808028
"92","Habitat Loss","Increase","Sociocultural",1,0.00174520069808028
"93","Habitat Loss","No change (measured)","Biotic",1,0.00174520069808028
"94","Habitat Restoration","Complex change","Physical",1,0.00174520069808028
"95","Habitat Restoration","Increase","Human movement",1,0.00174520069808028
"96","Habitat Restoration","No change (measured)","Biotic",1,0.00174520069808028
"97","Indigenous Knowledge","Complex change","Sociocultural",1,0.00174520069808028
"98","Indigenous Knowledge","Decrease","Human movement",1,0.00174520069808028
"99","Invasion","Increase","Sociocultural",1,0.00174520069808028
"100","Loss","Complex change","Sociocultural",1,0.00174520069808028
"101","Loss","Decrease","Physical",1,0.00174520069808028
"102","Loss","No change (measured)","Physical",1,0.00174520069808028
"103","Management","Decrease","Sociocultural",1,0.00174520069808028
"104","Management","No change (measured)","Biotic",1,0.00174520069808028
"105","Management","No change (measured)","Physical",1,0.00174520069808028
"106","Management","No change (measured)","Sociocultural",1,0.00174520069808028
"107","Other","Complex change","Human movement",1,0.00174520069808028
"108","Other","Complex change","Physical",1,0.00174520069808028
"109","Other","No change (measured)","Biotic",1,0.00174520069808028
"110","Other","No change (measured)","Physical",1,0.00174520069808028
"111","Richness","Decrease","Physical",1,0.00174520069808028
"112","Trophic","Complex change","Human movement",1,0.00174520069808028
"113","Urbanization","Complex change","Human movement",1,0.00174520069808028
"114","Urbanization","Decrease","Biotic",1,0.00174520069808028
