"","impact","ID_DOI_by_Flow","X2.1.Flow.Type","X2.2.Subtype","DOI","direction","impact.group"
"46","Abundance",77,"Biotic","range-shift","10.1641/B581007	","Complex change","good"
"47","Abundance",79,"Biotic","disease spread","10.1111/j.1439-0329.2010.00656.x","Complex change","good"
"48","Abundance",79,"Biotic","range-shift","10.1111/j.1439-0329.2010.00656.x","Complex change","good"
"49","Abundance",80,"Biotic","range-shift","10.1111/j.1466-8238.2009.00519.x	","Complex change","good"
"50","Abundance",84,"Biotic","range-shift","10.3133/ofr20201125","Decrease","good"
"51","Abundance",85,"Biotic","migration","10.3389/fevo.2019.00099","Decrease","good"
"52","Abundance",87,"Physical","wildfire","https://doi.org/10.1002/ece3.8026","Decrease","good"
"53","Abundance",88,"Biotic","range-shift","https://doi.org/10.1111/eva.13223","Decrease","good"
"54","Abundance",88,"Biotic","gene flow","https://doi.org/10.1111/eva.13223","Decrease","good"
"55","Abundance",90,"Biotic","range-shift","https://doi.org/10.1111/mam.12284","Decrease","good"
"56","Abundance",91,"Sociocultural","governance","Anderson, K.; 2022; Food Policy","Complex change","good"
"57","Abundance",100,"Biotic","disease spread","10.1089/vbz.2023.0152	","Increase","good"
"58","Abundance",100,"Biotic","range-shift","10.1089/vbz.2023.0152	","Increase","good"
"59","Abundance",102,"Physical","surface water quantity","https://doi.org/10.1016/j.jhydrol.2019.124360","Complex change","good"
"60","Abundance",103,"Biotic","range-shift","DOI: 10.1111/fwb.13570","Complex change","good"
"61","Abundance",105,"Physical","wind","https://www.taylorfrancis.com/chapters/edit/10.1201/9781315226781-33/environmental-evaluation-lessons-learned-case-studies-bosun-banjoko-saeid-eslamian","Decrease","good"
"62","Abundance",108,"Physical","wildfire","https://doi.org/10.1177/1178622120950272","Complex change","good"
"63","Abundance",115,"Physical","surface water quantity","10.1002/wcc.588","Decrease","good"
"64","Abundance",117,"Biotic","range-shift","10.5751/ES-11988-250443","Complex change","good"
"65","Abundance",119,"Biotic","range-shift","https://research.fs.usda.gov/treesearch/54139","Decrease","good"
"66","Abundance",127,"Biotic","range-shift","10.1016/j.scitotenv.2021.145788","Decrease","good"
"67","Abundance",129,"Biotic","disease spread","https://doi.org/10.3390/pathogens12070937","Decrease","good"
"68","Abundance",129,"Biotic","range-shift","https://doi.org/10.3390/pathogens12070937","Decrease","good"
"69","Abundance",132,"Biotic","disease spread","https://research.fs.usda.gov/treesearch/54577","Decrease","good"
"70","Abundance",132,"Biotic","range-shift","https://research.fs.usda.gov/treesearch/54577","Decrease","good"
"71","Abundance",133,"Biotic","range-shift","10.1579/0044-7447(2006)35[381:AOOEOC]2.0.CO;2","Complex change","good"
"72","Abundance",136,"Physical","surface water quantity","https://doi.org/10.1579/0044-7447(2006)35[160:CEOCWA]2.0.CO;2","Complex change","good"
"73","Abundance",138,"Biotic","range-shift","https://doi.org/10.1007/s10530-020-02244-2","Complex change","good"
"74","Abundance",141,"Biotic","range-shift","10.1111/gcb.14957","Decrease","good"
"75","Abundance",143,"Biotic","disease spread","10.1186/s13071-023-05887-x	","Increase","good"
"76","Abundance",143,"Biotic","range-shift","10.1186/s13071-023-05887-x	","Increase","good"
"77","Abundance",150,"Biotic","migration","10.1017/S0959270908000439","Decrease","good"
"78","Abundance",151,"Biotic","migration","10.3390/insects15010040","Decrease","good"
"79","Abundance",152,"Biotic","migration","10.1111/faf.12536","Complex change","good"
"80","Abundance",153,"Biotic","disease spread","https://doi.org/10.1016/j.foreco.2018.03.011","Decrease","good"
"81","Abundance",153,"Biotic","range-shift","https://doi.org/10.1016/j.foreco.2018.03.011","Decrease","good"
"82","Abundance",154,"Biotic","migration","10.3390/f8040115","Complex change","good"
"83","Abundance",155,"Biotic","range-shift","10.1111/fwb.13873","Increase","good"
"84","Abundance",161,"Biotic","range-shift","10.3390/tropicalmed7110388","Increase","good"
"85","Abundance",163,"Biotic","range-shift","https://doi.org/10.1139/X08-171","Decrease","good"
"86","Abundance",165,"Biotic","range-shift","https://ajph.aphapublications.org/doi/full/10.2105/AJPH.2011.300520","Decrease","good"
"87","Abundance",167,"Biotic","range-shift","10.1146/annurev-ecolsys-102710-145015","Decrease","good"
"88","Abundance",168,"Physical","sea ice retreat","http://dx.doi.org/10.1016/j.pocean.2015.07.011","Complex change","good"
"89","Abundance",169,"Biotic","range-shift","10.1007/978-1-4419-8692-4_4","Decrease","good"
"90","Abundance",172,"Biotic","range-shift","10.1894/0038-4909-65.2.161","Decrease","good"
"91","Abundance",173,"Biotic","range-shift","10.7717/peerj.11","Complex change","good"
"92","Abundance",175,"Biotic","range-shift","10.1126/science.aai9214","Decrease","good"
"93","Abundance",176,"Biotic","range-shift","10.1139/er-2017-0046","Decrease","good"
"94","Abundance",178,"Biotic","biome-shift","https://doi.org/10.1139/cjfr-2022-0282","Complex change","good"
"95","Abundance",185,"Biotic","range-shift","https://doi.org/10.1002/ece3.10277","Complex change","good"
"96","Abundance",186,"Physical","glacial melt","doi:10.1093/biosci/biaa015","Complex change","good"
"97","Abundance",187,"Sociocultural","knowledge transfer","10.1007/s10113-024-02212-9","Decrease","good"
"98","Abundance",188,"Sociocultural","knowledge transfer","10.1002/ppp3.10500","Decrease","good"
"99","Abundance",190,"Physical","surface water quantity","10.1007/s10584-015-1355-9	","Decrease","good"
"100","Abundance",195,"Biotic","migration","10.3133/ofr20201125","Decrease","good"
"101","Abundance",196,"Biotic","migration","https://doi.org/10.1002/ece3.8026","Decrease","good"
"102","Abundance",197,"Physical","wildfire","https://doi.org/10.1016/j.jhydrol.2019.124360","Complex change","good"
"103","Abundance",201,"Biotic","range-shift","https://research.fs.usda.gov/treesearch/54139","Decrease","good"
"104","Abundance",207,"Biotic","gene flow","10.1111/j.1744-7917.2010.01367.x","Complex change","good"
"105","Abundance",208,"Biotic","disease spread","10.3390/tropicalmed7110388","Increase","good"
"106","Abundance",210,"Biotic","gene flow","10.1894/0038-4909-65.2.161","Decrease","good"
"107","Abundance",211,"Physical","ocean current","10.1007/BF02691304","Decrease","good"
"108","Abundance",212,"Biotic","range-shift","https://doi.org/10.1139/cjfr-2022-0282","Decrease","good"
"109","Abundance",213,"Biotic","disease spread","10.3389/fpubh.2021.627654","Decrease","good"
"110","Abundance",213,"Biotic","range-shift","10.3389/fpubh.2021.627654","Decrease","good"
"111","Abundance",216,"Biotic","range-shift","doi:10.1093/biosci/biaa015","Complex change","good"
"112","Abundance",218,"Physical","glacial melt","10.1007/s10584-015-1355-9	","Complex change","good"
"113","Abundance",222,"Biotic","biome-shift","https://doi.org/10.1177/1178622120950272","Complex change","good"
"114","Abundance",223,"Sociocultural","knowledge transfer","https://doi.org/10.1139/cjfr-2022-0282","Decrease","good"
"115","Abundance",229,"Sociocultural","knowledge transfer","https://doi.org/10.1139/cjfr-2022-0282","Decrease","good"
"116","Abundance",233,"Sociocultural","knowledge transfer","DOI: 10.1111/fwb.13570","Complex change","good"
"117","Abundance",76,"Sociocultural","governance","10.1111/gcb.16109","Increase","good"
"118","Abundance",76,"Sociocultural","diplomatic/financial aid","10.1111/gcb.16109","Increase","good"
"119","Abundance",134,"Physical","surface water quantity","https://doi.org/10.1002/ieam.1360","Increase","good"
"120","Abundance",135,"Physical","groundwater","https://doi.org/10.1002/ieam.1360","Increase","good"
"121","Composition",3,"Human movement","displacement","10.1007/s10113-024-02212-9","Complex change","neutral"
"122","Composition",9,"Biotic","range-shift","https://doi.org/10.3390/f11111176","Increase","neutral"
"123","Composition",10,"Biotic","migration","10.1016/j.rama.2023.07.002","Complex change","neutral"
"124","Composition",11,"Biotic","migration","doi: 10.3354/cr01238","Complex change","neutral"
"125","Composition",12,"Biotic","range-shift","10.1016/S0065-2504(04)35010-5","Complex change","neutral"
"126","Composition",13,"Biotic","migration","10.1007/s10641-023-01449-3","Complex change","neutral"
"127","Composition",14,"Biotic","migration","10.1525/cond.2009.080096","Complex change","neutral"
"128","Composition",20,"Biotic","migration","10.1650/CONDOR-17-20.1","Complex change","neutral"
"129","Composition",22,"Biotic","biome-shift","10.1111/gcb.16770","Complex change","neutral"
"130","Composition",24,"Biotic","migration","10.1890/09-0395.1","Complex change","neutral"
"131","Composition",25,"Biotic","migration","10.1016/j.envint.2018.06.018","Complex change","neutral"
"132","Composition",25,"Biotic","disease spread","10.1016/j.envint.2018.06.018","Complex change","neutral"
"133","Composition",25,"Biotic","range-shift","10.1016/j.envint.2018.06.018","Complex change","neutral"
"134","Composition",29,"Physical","wildfire","http://dx.doi.org/10.1139/a97-008	","Increase","neutral"
"135","Composition",31,"Physical","snow melt runoff","https://onlinelibrary.wiley.com/doi/10.1002/hyp.8367","Complex change","neutral"
"136","Composition",33,"Biotic","range-shift","10.1007/s00300-023-03133-9","Complex change","neutral"
"137","Composition",34,"Physical","wildfire","10.1016/S0048-9697(00)00524-6","Increase","neutral"
"138","Composition",39,"Biotic","range-shift","10.1007/s10531-013-0525-1	","Complex change","neutral"
"139","Composition",40,"Biotic","range-shift","10.1111/gcb.16111","Complex change","neutral"
"140","Composition",42,"Biotic","range-shift","10.1038/s41579-023-00900-7","Increase","neutral"
"141","Composition",43,"Biotic","range-shift","10.2737/NRS-GTR-99","Complex change","neutral"
"142","Composition",44,"Biotic","range-shift","http://dx.doi.org/10.1007/s11295-024-01645-x	","Complex change","neutral"
"143","Composition",47,"Biotic","range-shift","10.1002/eco.259	","Complex change","neutral"
"144","Composition",52,"Biotic","range-shift","10.1111/jbi.13465","Complex change","neutral"
"145","Composition",54,"Biotic","range-shift","http://dx.doi.org/10.14745/ccdr.v45i04a04","Complex change","neutral"
"146","Composition",54,"Biotic","disease spread","http://dx.doi.org/10.14745/ccdr.v45i04a04","Complex change","neutral"
"147","Composition",55,"Biotic","migration","http://dx.doi.org/10.1093/aesa/saad038","Complex change","neutral"
"148","Composition",55,"Biotic","disease spread","http://dx.doi.org/10.1093/aesa/saad038","Complex change","neutral"
"149","Composition",55,"Biotic","range-shift","http://dx.doi.org/10.1093/aesa/saad038","Complex change","neutral"
"150","Composition",56,"Biotic","disease spread","10.1016/j.foreco.2018.02.049	","Increase","neutral"
"151","Composition",56,"Biotic","range-shift","10.1016/j.foreco.2018.02.049	","Increase","neutral"
"152","Composition",61,"Biotic","disease spread","http://dx.doi.org/10.3390/ijerph19020893","Increase","neutral"
"153","Composition",61,"Biotic","range-shift","http://dx.doi.org/10.3390/ijerph19020893","Increase","neutral"
"154","Composition",65,"Biotic","disease spread","http://dx.doi.org/10.3390/pathogens9070589	","Complex change","neutral"
"155","Composition",65,"Biotic","range-shift","http://dx.doi.org/10.3390/pathogens9070589	","Complex change","neutral"
"156","Composition",68,"Physical","surface water quantity","10.1139/er-2022-0114	","Increase","neutral"
"157","Composition",70,"Biotic","disease spread","10.5424/fs/2012212-02230	","Complex change","neutral"
"158","Composition",70,"Biotic","range-shift","10.5424/fs/2012212-02230	","Complex change","neutral"
"159","Composition",72,"Biotic","range-shift","https://doi.org/10.1111/j.1523-1739.2008.00950.x","Complex change","neutral"
"160","Composition",75,"Biotic","range-shift","10.1016/j.jembe.2011.02.020	","No change (measured)","neutral"
"161","Composition",79,"Biotic","disease spread","10.1111/j.1439-0329.2010.00656.x","Complex change","neutral"
"162","Composition",79,"Biotic","range-shift","10.1111/j.1439-0329.2010.00656.x","Complex change","neutral"
"163","Composition",80,"Biotic","range-shift","10.1111/j.1466-8238.2009.00519.x	","Complex change","neutral"
"164","Composition",81,"Biotic","range-shift","10.12933/therya-19-749","Increase","neutral"
"165","Composition",85,"Biotic","migration","10.3389/fevo.2019.00099","No change (measured)","neutral"
"166","Composition",94,"Physical","surface water quantity","https://www.researchgate.net/profile/Jan-Ciborowski/publication/352652269_An_ecosystem_health_assessment_of_the_Detroit_River_and_western_Lake_Erie/links/60e936321c28af3458598682/An-ecosystem-health-assessment-of-the-Detroit-River-and-western-Lake-Erie.pdf","Complex change","neutral"
"167","Composition",96,"Physical","nutrient and sediment flow","https://iwaponline.com/wqrj/article/55/1/1/69781/A-global-scan-of-how-the-issue-of-nutrient-loading","Increase","neutral"
"168","Composition",102,"Physical","surface water quantity","https://doi.org/10.1016/j.jhydrol.2019.124360","Complex change","neutral"
"169","Composition",108,"Physical","wildfire","https://doi.org/10.1177/1178622120950272","Complex change","neutral"
"170","Composition",111,"Physical","pollution flow","https://doi.org/10.1016/j.earscirev.2020.103446","Complex change","neutral"
"171","Composition",117,"Biotic","range-shift","10.5751/ES-11988-250443","Complex change","neutral"
"172","Composition",123,"Biotic","range-shift","https://doi.org/10.1007/s11629-020-6221-1","No change (measured)","neutral"
"173","Composition",124,"Biotic","biome-shift","https://doi.org/10.1016/j.foreco.2011.05.004","Increase","neutral"
"174","Composition",125,"Sociocultural","knowledge transfer","https://doi.org/10.1016/j.foreco.2023.120854","Complex change","neutral"
"175","Composition",126,"Biotic","gene flow","https://doi.org/10.1016/j.foreco.2023.120854","Complex change","neutral"
"176","Composition",127,"Biotic","range-shift","10.1016/j.scitotenv.2021.145788","Complex change","neutral"
"177","Composition",132,"Biotic","disease spread","https://research.fs.usda.gov/treesearch/54577","Increase","neutral"
"178","Composition",132,"Biotic","range-shift","https://research.fs.usda.gov/treesearch/54577","Increase","neutral"
"179","Composition",133,"Biotic","range-shift","10.1579/0044-7447(2006)35[381:AOOEOC]2.0.CO;2","Complex change","neutral"
"180","Composition",137,"Sociocultural","knowledge transfer","https://doi.org/10.1139/er-2022-0130","Complex change","neutral"
"181","Composition",138,"Biotic","range-shift","https://doi.org/10.1007/s10530-020-02244-2","Complex change","neutral"
"182","Composition",140,"Biotic","range-shift","https://doi.org/10.1111/j.1749-8198.2010.00342.x","Complex change","neutral"
"183","Composition",141,"Biotic","range-shift","10.1111/gcb.14957","Complex change","neutral"
"184","Composition",152,"Biotic","migration","10.1111/faf.12536","Complex change","neutral"
"185","Composition",155,"Biotic","range-shift","10.1111/fwb.13873","Complex change","neutral"
"186","Composition",156,"Physical","pollution flow","https://doi.org/10.1016/j.scitotenv.2024.171490","Complex change","neutral"
"187","Composition",159,"Biotic","range-shift","10.1111/j.1744-7917.2010.01367.x","Complex change","neutral"
"188","Composition",161,"Biotic","range-shift","10.3390/tropicalmed7110388","Complex change","neutral"
"189","Composition",163,"Biotic","range-shift","https://doi.org/10.1139/X08-171","Complex change","neutral"
"190","Composition",167,"Biotic","range-shift","10.1146/annurev-ecolsys-102710-145015","Complex change","neutral"
"191","Composition",168,"Physical","sea ice retreat","http://dx.doi.org/10.1016/j.pocean.2015.07.011","Increase","neutral"
"192","Composition",169,"Biotic","range-shift","10.1007/978-1-4419-8692-4_4","Complex change","neutral"
"193","Composition",173,"Biotic","range-shift","10.7717/peerj.11","Complex change","neutral"
"194","Composition",175,"Biotic","range-shift","10.1126/science.aai9214","Complex change","neutral"
"195","Composition",185,"Biotic","range-shift","https://doi.org/10.1002/ece3.10277","Increase","neutral"
"196","Composition",186,"Physical","glacial melt","doi:10.1093/biosci/biaa015","Complex change","neutral"
"197","Composition",187,"Sociocultural","knowledge transfer","10.1007/s10113-024-02212-9","Complex change","neutral"
"198","Composition",188,"Sociocultural","knowledge transfer","10.1002/ppp3.10500","Complex change","neutral"
"199","Composition",192,"Biotic","range-shift","http://dx.doi.org/10.1139/a97-008	","Increase","neutral"
"200","Composition",197,"Physical","wildfire","https://doi.org/10.1016/j.jhydrol.2019.124360","Complex change","neutral"
"201","Composition",201,"Biotic","range-shift","https://research.fs.usda.gov/treesearch/54139","Decrease","neutral"
"202","Composition",207,"Biotic","gene flow","10.1111/j.1744-7917.2010.01367.x","Complex change","neutral"
"203","Composition",208,"Biotic","disease spread","10.3390/tropicalmed7110388","Complex change","neutral"
"204","Composition",211,"Physical","ocean current","10.1007/BF02691304","Decrease","neutral"
"205","Composition",216,"Biotic","range-shift","doi:10.1093/biosci/biaa015","Complex change","neutral"
"206","Composition",218,"Physical","glacial melt","10.1007/s10584-015-1355-9	","Complex change","neutral"
"207","Composition",229,"Sociocultural","knowledge transfer","https://doi.org/10.1139/cjfr-2022-0282","Complex change","neutral"
"208","Composition",233,"Sociocultural","knowledge transfer","DOI: 10.1111/fwb.13570","Complex change","neutral"
"209","Composition",134,"Physical","surface water quantity","https://doi.org/10.1002/ieam.1360","Increase","neutral"
"210","Composition",135,"Physical","groundwater","https://doi.org/10.1002/ieam.1360","Increase","neutral"
"211","Connectivity",1,"Human movement","displacement","10.1177/01979183221074343","Decrease","good"
"212","Connectivity",3,"Human movement","displacement","10.1007/s10113-024-02212-9","Decrease","good"
"213","Connectivity",6,"Biotic","biome-shift","10.1002/ppp3.10500","Decrease","good"
"214","Connectivity",10,"Biotic","migration","10.1016/j.rama.2023.07.002","Decrease","good"
"215","Connectivity",14,"Biotic","migration","10.1525/cond.2009.080096","Complex change","good"
"216","Connectivity",20,"Biotic","migration","10.1650/CONDOR-17-20.1","Decrease","good"
"217","Connectivity",24,"Biotic","migration","10.1890/09-0395.1","Complex change","good"
"218","Connectivity",25,"Biotic","migration","10.1016/j.envint.2018.06.018","Complex change","good"
"219","Connectivity",25,"Biotic","disease spread","10.1016/j.envint.2018.06.018","Complex change","good"
"220","Connectivity",25,"Biotic","range-shift","10.1016/j.envint.2018.06.018","Complex change","good"
"221","Connectivity",29,"Physical","wildfire","http://dx.doi.org/10.1139/a97-008	","Decrease","good"
"222","Connectivity",46,"Sociocultural","governance","10.5751/ES-08879-220131","Decrease","good"
"223","Connectivity",54,"Biotic","range-shift","http://dx.doi.org/10.14745/ccdr.v45i04a04","No change (measured)","good"
"224","Connectivity",54,"Biotic","disease spread","http://dx.doi.org/10.14745/ccdr.v45i04a04","No change (measured)","good"
"225","Connectivity",57,"Biotic","migration","https://doi.org/10.1080/23308249.2024.2341023","Complex change","good"
"226","Connectivity",58,"Biotic","range-shift","dx.doi.org/10.1139/cjz-2019-0207","Increase","good"
"227","Connectivity",90,"Biotic","range-shift","https://doi.org/10.1111/mam.12284","Decrease","good"
"228","Connectivity",102,"Physical","surface water quantity","https://doi.org/10.1016/j.jhydrol.2019.124360","Complex change","good"
"229","Connectivity",136,"Physical","surface water quantity","https://doi.org/10.1579/0044-7447(2006)35[160:CEOCWA]2.0.CO;2","Decrease","good"
"230","Connectivity",150,"Biotic","migration","10.1017/S0959270908000439","Decrease","good"
"231","Connectivity",155,"Biotic","range-shift","10.1111/fwb.13873","Complex change","good"
"232","Connectivity",159,"Biotic","range-shift","10.1111/j.1744-7917.2010.01367.x","Complex change","good"
"233","Connectivity",168,"Physical","sea ice retreat","http://dx.doi.org/10.1016/j.pocean.2015.07.011","Increase","good"
"234","Connectivity",169,"Biotic","range-shift","10.1007/978-1-4419-8692-4_4","Decrease","good"
"235","Connectivity",173,"Biotic","range-shift","10.7717/peerj.11","Decrease","good"
"236","Connectivity",175,"Biotic","range-shift","10.1126/science.aai9214","Decrease","good"
"237","Connectivity",187,"Sociocultural","knowledge transfer","10.1007/s10113-024-02212-9","Decrease","good"
"238","Connectivity",188,"Sociocultural","knowledge transfer","10.1002/ppp3.10500","Decrease","good"
"239","Connectivity",192,"Biotic","range-shift","http://dx.doi.org/10.1139/a97-008	","Decrease","good"
"240","Connectivity",201,"Biotic","range-shift","https://research.fs.usda.gov/treesearch/54139","Increase","good"
"241","Connectivity",207,"Biotic","gene flow","10.1111/j.1744-7917.2010.01367.x","Complex change","good"
"242","Connectivity",210,"Biotic","gene flow","10.1894/0038-4909-65.2.161","Decrease","good"
"243","Connectivity",76,"Sociocultural","governance","10.1111/gcb.16109","Increase","good"
"244","Connectivity",76,"Sociocultural","diplomatic/financial aid","10.1111/gcb.16109","Increase","good"
"245","Disease",10,"Biotic","migration","10.1016/j.rama.2023.07.002","No change (measured)","bad"
"246","Disease",12,"Biotic","range-shift","10.1016/S0065-2504(04)35010-5","Complex change","bad"
"247","Disease",25,"Biotic","migration","10.1016/j.envint.2018.06.018","Increase","bad"
"248","Disease",25,"Biotic","disease spread","10.1016/j.envint.2018.06.018","Increase","bad"
"249","Disease",25,"Biotic","range-shift","10.1016/j.envint.2018.06.018","Increase","bad"
"250","Disease",45,"Biotic","range-shift","10.1002/arch.21327","Complex change","bad"
"251","Disease",54,"Biotic","range-shift","http://dx.doi.org/10.14745/ccdr.v45i04a04","Increase","bad"
"252","Disease",54,"Biotic","disease spread","http://dx.doi.org/10.14745/ccdr.v45i04a04","Increase","bad"
"253","Disease",55,"Biotic","migration","http://dx.doi.org/10.1093/aesa/saad038","Increase","bad"
"254","Disease",55,"Biotic","disease spread","http://dx.doi.org/10.1093/aesa/saad038","Increase","bad"
"255","Disease",55,"Biotic","range-shift","http://dx.doi.org/10.1093/aesa/saad038","Increase","bad"
"256","Disease",56,"Biotic","disease spread","10.1016/j.foreco.2018.02.049	","Increase","bad"
"257","Disease",56,"Biotic","range-shift","10.1016/j.foreco.2018.02.049	","Increase","bad"
"258","Disease",59,"Biotic","disease spread","doi: 10.14745/ccdr.v45i04a01","Increase","bad"
"259","Disease",59,"Biotic","range-shift","doi: 10.14745/ccdr.v45i04a01","Increase","bad"
"260","Disease",60,"Biotic","range-shift","10.1002/ecs2.4376	","Increase","bad"
"261","Disease",60,"Biotic","disease spread","10.1002/ecs2.4376	","Increase","bad"
"262","Disease",60,"Biotic","range-shift","10.1002/ecs2.4376	","Increase","bad"
"263","Disease",61,"Biotic","disease spread","http://dx.doi.org/10.3390/ijerph19020893","Increase","bad"
"264","Disease",61,"Biotic","range-shift","http://dx.doi.org/10.3390/ijerph19020893","Increase","bad"
"265","Disease",63,"Biotic","disease spread","https://doi.org/10.3389/fpubh.2023.1018293","Increase","bad"
"266","Disease",63,"Biotic","range-shift","https://doi.org/10.3389/fpubh.2023.1018293","Increase","bad"
"267","Disease",64,"Biotic","disease spread","https://doi.org/10.3390/v14071531","Increase","bad"
"268","Disease",64,"Biotic","range-shift","https://doi.org/10.3390/v14071531","Increase","bad"
"269","Disease",65,"Biotic","disease spread","http://dx.doi.org/10.3390/pathogens9070589	","Increase","bad"
"270","Disease",65,"Biotic","range-shift","http://dx.doi.org/10.3390/pathogens9070589	","Increase","bad"
"271","Disease",71,"Biotic","disease spread","http://dx.doi.org/10.24321/0019.5138.202021	","Increase","bad"
"272","Disease",71,"Biotic","range-shift","http://dx.doi.org/10.24321/0019.5138.202021	","Increase","bad"
"273","Disease",77,"Biotic","disease spread","10.1641/B581007	","Increase","bad"
"274","Disease",77,"Biotic","range-shift","10.1641/B581007	","Increase","bad"
"275","Disease",78,"Biotic","disease spread","10.1007/s40121-022-00647-3	","Increase","bad"
"276","Disease",78,"Biotic","range-shift","10.1007/s40121-022-00647-3	","Increase","bad"
"277","Disease",81,"Biotic","range-shift","10.12933/therya-19-749","Increase","bad"
"278","Disease",82,"Biotic","disease spread","10.3390/insects12030225","Complex change","bad"
"279","Disease",82,"Biotic","range-shift","10.3390/insects12030225","Complex change","bad"
"280","Disease",85,"Biotic","migration","10.3389/fevo.2019.00099","No change (measured)","bad"
"281","Disease",100,"Biotic","disease spread","10.1089/vbz.2023.0152	","Increase","bad"
"282","Disease",100,"Biotic","range-shift","10.1089/vbz.2023.0152	","Increase","bad"
"283","Disease",107,"Biotic","range-shift","10.1016/j.ttbdis.2023.102286","Increase","bad"
"284","Disease",119,"Biotic","range-shift","https://research.fs.usda.gov/treesearch/54139","Increase","bad"
"285","Disease",129,"Biotic","disease spread","https://doi.org/10.3390/pathogens12070937","Increase","bad"
