"","ID_DOI_by_Flow","X2.1.Flow.Type","X2.2.Subtype","DOI","impact","direction"
"90",172,"Biotic","range-shift","10.1894/0038-4909-65.2.161","Abundance","Decrease"
"91",173,"Biotic","range-shift","10.7717/peerj.11","Abundance","Complex change"
"92",175,"Biotic","range-shift","10.1126/science.aai9214","Abundance","Decrease"
"93",176,"Biotic","range-shift","10.1139/er-2017-0046","Abundance","Decrease"
"94",178,"Biotic","biome-shift","https://doi.org/10.1139/cjfr-2022-0282","Abundance","Complex change"
"95",185,"Biotic","range-shift","https://doi.org/10.1002/ece3.10277","Abundance","Complex change"
"96",186,"Physical","glacial melt","doi:10.1093/biosci/biaa015","Abundance","Complex change"
"97",187,"Sociocultural","knowledge transfer","10.1007/s10113-024-02212-9","Abundance","Decrease"
"98",188,"Sociocultural","knowledge transfer","10.1002/ppp3.10500","Abundance","Decrease"
"99",190,"Physical","surface water quantity","10.1007/s10584-015-1355-9	","Abundance","Decrease"
"100",195,"Biotic","migration","10.3133/ofr20201125","Abundance","Decrease"
"101",196,"Biotic","migration","https://doi.org/10.1002/ece3.8026","Abundance","Decrease"
"102",197,"Physical","wildfire","https://doi.org/10.1016/j.jhydrol.2019.124360","Abundance","Complex change"
"103",201,"Biotic","range-shift","https://research.fs.usda.gov/treesearch/54139","Abundance","Decrease"
"104",207,"Biotic","gene flow","10.1111/j.1744-7917.2010.01367.x","Abundance","Complex change"
"105",208,"Biotic","disease spread","10.3390/tropicalmed7110388","Abundance","Increase"
"106",210,"Biotic","gene flow","10.1894/0038-4909-65.2.161","Abundance","Decrease"
"107",211,"Physical","ocean current","10.1007/BF02691304","Abundance","Decrease"
"108",212,"Biotic","range-shift","https://doi.org/10.1139/cjfr-2022-0282","Abundance","Decrease"
"109",213,"Biotic","disease spread","10.3389/fpubh.2021.627654","Abundance","Decrease"
"110",213,"Biotic","range-shift","10.3389/fpubh.2021.627654","Abundance","Decrease"
"111",216,"Biotic","range-shift","doi:10.1093/biosci/biaa015","Abundance","Complex change"
"112",218,"Physical","glacial melt","10.1007/s10584-015-1355-9	","Abundance","Complex change"
"113",222,"Biotic","biome-shift","https://doi.org/10.1177/1178622120950272","Abundance","Complex change"
"114",223,"Sociocultural","knowledge transfer","https://doi.org/10.1139/cjfr-2022-0282","Abundance","Decrease"
"115",229,"Sociocultural","knowledge transfer","https://doi.org/10.1139/cjfr-2022-0282","Abundance","Decrease"
"116",233,"Sociocultural","knowledge transfer","DOI: 10.1111/fwb.13570","Abundance","Complex change"
"117",76,"Sociocultural","governance","10.1111/gcb.16109","Abundance","Increase"
"118",76,"Sociocultural","diplomatic/financial aid","10.1111/gcb.16109","Abundance","Increase"
"119",134,"Physical","surface water quantity","https://doi.org/10.1002/ieam.1360","Abundance","Increase"
"120",135,"Physical","groundwater","https://doi.org/10.1002/ieam.1360","Abundance","Increase"
"121",7,"Physical","surface water quantity","doi: 10.1111/brv.12914","Richness","Complex change"
"122",10,"Biotic","migration","10.1016/j.rama.2023.07.002","Richness","Decrease"
"123",12,"Biotic","range-shift","10.1016/S0065-2504(04)35010-5","Richness","Complex change"
"124",14,"Biotic","migration","10.1525/cond.2009.080096","Richness","Complex change"
"125",20,"Biotic","migration","10.1650/CONDOR-17-20.1","Richness","Decrease"
"126",22,"Biotic","biome-shift","10.1111/gcb.16770","Richness","Complex change"
"127",24,"Biotic","migration","10.1890/09-0395.1","Richness","Complex change"
"128",40,"Biotic","range-shift","10.1111/gcb.16111","Richness","Complex change"
"129",42,"Biotic","range-shift","10.1038/s41579-023-00900-7","Richness","Decrease"
"130",43,"Biotic","range-shift","10.2737/NRS-GTR-99","Richness","Complex change"
"131",52,"Biotic","range-shift","10.1111/jbi.13465","Richness","Complex change"
"132",53,"Biotic","range-shift","https://doi.org/10.1177/194008291600900111","Richness","Decrease"
"133",54,"Biotic","range-shift","http://dx.doi.org/10.14745/ccdr.v45i04a04","Richness","Increase"
"134",54,"Biotic","disease spread","http://dx.doi.org/10.14745/ccdr.v45i04a04","Richness","Increase"
"135",55,"Biotic","migration","http://dx.doi.org/10.1093/aesa/saad038","Richness","Complex change"
"136",55,"Biotic","disease spread","http://dx.doi.org/10.1093/aesa/saad038","Richness","Complex change"
"137",55,"Biotic","range-shift","http://dx.doi.org/10.1093/aesa/saad038","Richness","Complex change"
"138",56,"Biotic","disease spread","10.1016/j.foreco.2018.02.049	","Richness","Complex change"
"139",56,"Biotic","range-shift","10.1016/j.foreco.2018.02.049	","Richness","Complex change"
"140",61,"Biotic","disease spread","http://dx.doi.org/10.3390/ijerph19020893","Richness","Increase"
"141",61,"Biotic","range-shift","http://dx.doi.org/10.3390/ijerph19020893","Richness","Increase"
"142",68,"Physical","surface water quantity","10.1139/er-2022-0114	","Richness","Increase"
"143",75,"Biotic","range-shift","10.1016/j.jembe.2011.02.020	","Richness","No change (measured)"
"144",77,"Biotic","disease spread","10.1641/B581007	","Richness","Complex change"
"145",77,"Biotic","range-shift","10.1641/B581007	","Richness","Complex change"
"146",80,"Biotic","range-shift","10.1111/j.1466-8238.2009.00519.x	","Richness","Complex change"
"147",84,"Biotic","range-shift","10.3133/ofr20201125","Richness","Decrease"
"148",85,"Biotic","migration","10.3389/fevo.2019.00099","Richness","No change (measured)"
"149",90,"Biotic","range-shift","https://doi.org/10.1111/mam.12284","Richness","Decrease"
"150",102,"Physical","surface water quantity","https://doi.org/10.1016/j.jhydrol.2019.124360","Richness","Complex change"
"151",106,"Biotic","range-shift","https://doi.org/10.1038/ s43017-020-0071-9","Richness","Decrease"
"152",117,"Biotic","range-shift","10.5751/ES-11988-250443","Richness","Complex change"
"153",127,"Biotic","range-shift","10.1016/j.scitotenv.2021.145788","Richness","Complex change"
"154",132,"Biotic","disease spread","https://research.fs.usda.gov/treesearch/54577","Richness","Decrease"
"155",132,"Biotic","range-shift","https://research.fs.usda.gov/treesearch/54577","Richness","Decrease"
"156",136,"Physical","surface water quantity","https://doi.org/10.1579/0044-7447(2006)35[160:CEOCWA]2.0.CO;2","Richness","Increase"
"157",138,"Biotic","range-shift","https://doi.org/10.1007/s10530-020-02244-2","Richness","Complex change"
"158",141,"Biotic","range-shift","10.1111/gcb.14957","Richness","Complex change"
"159",152,"Biotic","migration","10.1111/faf.12536","Richness","Complex change"
"160",155,"Biotic","range-shift","10.1111/fwb.13873","Richness","Increase"
"161",156,"Physical","pollution flow","https://doi.org/10.1016/j.scitotenv.2024.171490","Richness","Decrease"
"162",159,"Biotic","range-shift","10.1111/j.1744-7917.2010.01367.x","Richness","Complex change"
"163",167,"Biotic","range-shift","10.1146/annurev-ecolsys-102710-145015","Richness","Complex change"
"164",169,"Biotic","range-shift","10.1007/978-1-4419-8692-4_4","Richness","Complex change"
"165",173,"Biotic","range-shift","10.7717/peerj.11","Richness","Complex change"
"166",175,"Biotic","range-shift","10.1126/science.aai9214","Richness","Complex change"
"167",180,"Biotic","range-shift","http://dx.doi.org/10.1079/9781780641645.0305","Richness","Decrease"
"168",185,"Biotic","range-shift","https://doi.org/10.1002/ece3.10277","Richness","Complex change"
"169",186,"Physical","glacial melt","doi:10.1093/biosci/biaa015","Richness","Complex change"
"170",195,"Biotic","migration","10.3133/ofr20201125","Richness","Decrease"
"171",197,"Physical","wildfire","https://doi.org/10.1016/j.jhydrol.2019.124360","Richness","Complex change"
"172",205,"Physical","pollution flow","https://doi.org/10.1579/0044-7447(2006)35[160:CEOCWA]2.0.CO;2","Richness","Complex change"
"173",207,"Biotic","gene flow","10.1111/j.1744-7917.2010.01367.x","Richness","Complex change"
"174",216,"Biotic","range-shift","doi:10.1093/biosci/biaa015","Richness","Complex change"
"175",6,"Biotic","biome-shift","10.1002/ppp3.10500","Loss","Increase"
"176",10,"Biotic","migration","10.1016/j.rama.2023.07.002","Loss","Increase"
"177",12,"Biotic","range-shift","10.1016/S0065-2504(04)35010-5","Loss","Complex change"
"178",14,"Biotic","migration","10.1525/cond.2009.080096","Loss","Complex change"
"179",20,"Biotic","migration","10.1650/CONDOR-17-20.1","Loss","Complex change"
"180",22,"Biotic","biome-shift","10.1111/gcb.16770","Loss","Complex change"
"181",40,"Biotic","range-shift","10.1111/gcb.16111","Loss","Complex change"
"182",42,"Biotic","range-shift","10.1038/s41579-023-00900-7","Loss","Increase"
"183",43,"Biotic","range-shift","10.2737/NRS-GTR-99","Loss","Complex change"
"184",46,"Sociocultural","governance","10.5751/ES-08879-220131","Loss","Increase"
"185",52,"Biotic","range-shift","10.1111/jbi.13465","Loss","Increase"
"186",53,"Biotic","range-shift","https://doi.org/10.1177/194008291600900111","Loss","Decrease"
"187",54,"Biotic","range-shift","http://dx.doi.org/10.14745/ccdr.v45i04a04","Loss","No change (measured)"
"188",54,"Biotic","disease spread","http://dx.doi.org/10.14745/ccdr.v45i04a04","Loss","No change (measured)"
"189",75,"Biotic","range-shift","10.1016/j.jembe.2011.02.020	","Loss","No change (measured)"
"190",79,"Biotic","disease spread","10.1111/j.1439-0329.2010.00656.x","Loss","Complex change"
"191",79,"Biotic","range-shift","10.1111/j.1439-0329.2010.00656.x","Loss","Complex change"
"192",80,"Biotic","range-shift","10.1111/j.1466-8238.2009.00519.x	","Loss","Complex change"
"193",82,"Biotic","disease spread","10.3390/insects12030225","Loss","Complex change"
"194",82,"Biotic","range-shift","10.3390/insects12030225","Loss","Complex change"
"195",85,"Biotic","migration","10.3389/fevo.2019.00099","Loss","No change (measured)"
"196",88,"Biotic","range-shift","https://doi.org/10.1111/eva.13223","Loss","Increase"
"197",88,"Biotic","gene flow","https://doi.org/10.1111/eva.13223","Loss","Increase"
"198",90,"Biotic","range-shift","https://doi.org/10.1111/mam.12284","Loss","Decrease"
"199",102,"Physical","surface water quantity","https://doi.org/10.1016/j.jhydrol.2019.124360","Loss","No change (measured)"
"200",103,"Biotic","range-shift","DOI: 10.1111/fwb.13570","Loss","Complex change"
"201",117,"Biotic","range-shift","10.5751/ES-11988-250443","Loss","Complex change"
"202",127,"Biotic","range-shift","10.1016/j.scitotenv.2021.145788","Loss","Increase"
"203",132,"Biotic","disease spread","https://research.fs.usda.gov/treesearch/54577","Loss","Increase"
"204",132,"Biotic","range-shift","https://research.fs.usda.gov/treesearch/54577","Loss","Increase"
"205",136,"Physical","surface water quantity","https://doi.org/10.1579/0044-7447(2006)35[160:CEOCWA]2.0.CO;2","Loss","Increase"
"206",137,"Sociocultural","knowledge transfer","https://doi.org/10.1139/er-2022-0130","Loss","Increase"
"207",141,"Biotic","range-shift","10.1111/gcb.14957","Loss","Decrease"
"208",150,"Biotic","migration","10.1017/S0959270908000439","Loss","Increase"
"209",152,"Biotic","migration","10.1111/faf.12536","Loss","Complex change"
"210",156,"Physical","pollution flow","https://doi.org/10.1016/j.scitotenv.2024.171490","Loss","Increase"
"211",167,"Biotic","range-shift","10.1146/annurev-ecolsys-102710-145015","Loss","Increase"
"212",169,"Biotic","range-shift","10.1007/978-1-4419-8692-4_4","Loss","Increase"
"213",173,"Biotic","range-shift","10.7717/peerj.11","Loss","Increase"
"214",175,"Biotic","range-shift","10.1126/science.aai9214","Loss","Increase"
"215",185,"Biotic","range-shift","https://doi.org/10.1002/ece3.10277","Loss","Increase"
"216",186,"Physical","glacial melt","doi:10.1093/biosci/biaa015","Loss","Increase"
"217",188,"Sociocultural","knowledge transfer","10.1002/ppp3.10500","Loss","Increase"
"218",205,"Physical","pollution flow","https://doi.org/10.1579/0044-7447(2006)35[160:CEOCWA]2.0.CO;2","Loss","Increase"
"219",211,"Physical","ocean current","10.1007/BF02691304","Loss","Decrease"
"220",216,"Biotic","range-shift","doi:10.1093/biosci/biaa015","Loss","Complex change"
"221",233,"Sociocultural","knowledge transfer","DOI: 10.1111/fwb.13570","Loss","Complex change"
"222",76,"Sociocultural","governance","10.1111/gcb.16109","Loss","Decrease"
"223",76,"Sociocultural","diplomatic/financial aid","10.1111/gcb.16109","Loss","Decrease"
"224",10,"Biotic","migration","10.1016/j.rama.2023.07.002","Disease","No change (measured)"
"225",12,"Biotic","range-shift","10.1016/S0065-2504(04)35010-5","Disease","Complex change"
"226",25,"Biotic","migration","10.1016/j.envint.2018.06.018","Disease","Increase"
"227",25,"Biotic","disease spread","10.1016/j.envint.2018.06.018","Disease","Increase"
"228",25,"Biotic","range-shift","10.1016/j.envint.2018.06.018","Disease","Increase"
"229",45,"Biotic","range-shift","10.1002/arch.21327","Disease","Complex change"
"230",54,"Biotic","range-shift","http://dx.doi.org/10.14745/ccdr.v45i04a04","Disease","Increase"
"231",54,"Biotic","disease spread","http://dx.doi.org/10.14745/ccdr.v45i04a04","Disease","Increase"
"232",55,"Biotic","migration","http://dx.doi.org/10.1093/aesa/saad038","Disease","Increase"
"233",55,"Biotic","disease spread","http://dx.doi.org/10.1093/aesa/saad038","Disease","Increase"
"234",55,"Biotic","range-shift","http://dx.doi.org/10.1093/aesa/saad038","Disease","Increase"
"235",56,"Biotic","disease spread","10.1016/j.foreco.2018.02.049	","Disease","Increase"
"236",56,"Biotic","range-shift","10.1016/j.foreco.2018.02.049	","Disease","Increase"
"237",59,"Biotic","disease spread","doi: 10.14745/ccdr.v45i04a01","Disease","Increase"
"238",59,"Biotic","range-shift","doi: 10.14745/ccdr.v45i04a01","Disease","Increase"
"239",60,"Biotic","range-shift","10.1002/ecs2.4376	","Disease","Increase"
"240",60,"Biotic","disease spread","10.1002/ecs2.4376	","Disease","Increase"
"241",60,"Biotic","range-shift","10.1002/ecs2.4376	","Disease","Increase"
"242",61,"Biotic","disease spread","http://dx.doi.org/10.3390/ijerph19020893","Disease","Increase"
"243",61,"Biotic","range-shift","http://dx.doi.org/10.3390/ijerph19020893","Disease","Increase"
"244",63,"Biotic","disease spread","https://doi.org/10.3389/fpubh.2023.1018293","Disease","Increase"
"245",63,"Biotic","range-shift","https://doi.org/10.3389/fpubh.2023.1018293","Disease","Increase"
"246",64,"Biotic","disease spread","https://doi.org/10.3390/v14071531","Disease","Increase"
"247",64,"Biotic","range-shift","https://doi.org/10.3390/v14071531","Disease","Increase"
"248",65,"Biotic","disease spread","http://dx.doi.org/10.3390/pathogens9070589	","Disease","Increase"
"249",65,"Biotic","range-shift","http://dx.doi.org/10.3390/pathogens9070589	","Disease","Increase"
"250",71,"Biotic","disease spread","http://dx.doi.org/10.24321/0019.5138.202021	","Disease","Increase"
"251",71,"Biotic","range-shift","http://dx.doi.org/10.24321/0019.5138.202021	","Disease","Increase"
"252",77,"Biotic","disease spread","10.1641/B581007	","Disease","Increase"
"253",77,"Biotic","range-shift","10.1641/B581007	","Disease","Increase"
"254",78,"Biotic","disease spread","10.1007/s40121-022-00647-3	","Disease","Increase"
"255",78,"Biotic","range-shift","10.1007/s40121-022-00647-3	","Disease","Increase"
"256",81,"Biotic","range-shift","10.12933/therya-19-749","Disease","Increase"
"257",82,"Biotic","disease spread","10.3390/insects12030225","Disease","Complex change"
"258",82,"Biotic","range-shift","10.3390/insects12030225","Disease","Complex change"
"259",85,"Biotic","migration","10.3389/fevo.2019.00099","Disease","No change (measured)"
"260",100,"Biotic","disease spread","10.1089/vbz.2023.0152	","Disease","Increase"
"261",100,"Biotic","range-shift","10.1089/vbz.2023.0152	","Disease","Increase"
"262",107,"Biotic","range-shift","10.1016/j.ttbdis.2023.102286","Disease","Increase"
"263",119,"Biotic","range-shift","https://research.fs.usda.gov/treesearch/54139","Disease","Increase"
"264",129,"Biotic","disease spread","https://doi.org/10.3390/pathogens12070937","Disease","Increase"
"265",129,"Biotic","range-shift","https://doi.org/10.3390/pathogens12070937","Disease","Increase"
"266",131,"Biotic","range-shift","https://doi.org/10.1007/s11356-020-08896-w","Disease","Increase"
"267",132,"Biotic","disease spread","https://research.fs.usda.gov/treesearch/54577","Disease","Increase"
"268",132,"Biotic","range-shift","https://research.fs.usda.gov/treesearch/54577","Disease","Increase"
"269",139,"Biotic","disease spread","https://doi.org/10.3390/microorganisms9112317","Disease","Increase"
"270",139,"Biotic","range-shift","https://doi.org/10.3390/microorganisms9112317","Disease","Increase"
"271",141,"Biotic","range-shift","10.1111/gcb.14957","Disease","Increase"
"272",142,"Biotic","disease spread","https://doi.org/10.1093/mmy/myx037","Disease","Increase"
"273",142,"Biotic","range-shift","https://doi.org/10.1093/mmy/myx037","Disease","Increase"
"274",143,"Biotic","disease spread","10.1186/s13071-023-05887-x	","Disease","Increase"
"275",143,"Biotic","range-shift","10.1186/s13071-023-05887-x	","Disease","Increase"
"276",158,"Biotic","disease spread","10.3390/microorganisms9122412","Disease","Increase"
"277",158,"Biotic","range-shift","10.3390/microorganisms9122412","Disease","Increase"
"278",161,"Biotic","range-shift","10.3390/tropicalmed7110388","Disease","Increase"
"279",164,"Biotic","disease spread","https://doi.org/10.3390/ijerph15030478","Disease","Increase"
"280",165,"Biotic","range-shift","https://ajph.aphapublications.org/doi/full/10.2105/AJPH.2011.300520","Disease","Increase"
"281",167,"Biotic","range-shift","10.1146/annurev-ecolsys-102710-145015","Disease","Complex change"
"282",172,"Biotic","range-shift","10.1894/0038-4909-65.2.161","Disease","No change (measured)"
"283",173,"Biotic","range-shift","10.7717/peerj.11","Disease","Increase"
"284",175,"Biotic","range-shift","10.1126/science.aai9214","Disease","Increase"
"285",179,"Biotic","disease spread","10.3389/fpubh.2021.627654","Disease","Complex change"
"286",179,"Biotic","range-shift","10.3389/fpubh.2021.627654","Disease","Complex change"
"287",207,"Biotic","gene flow","10.1111/j.1744-7917.2010.01367.x","Disease","No change (measured)"
"288",208,"Biotic","disease spread","10.3390/tropicalmed7110388","Disease","Increase"
"289",209,"Biotic","range-shift","https://doi.org/10.3390/ijerph15030478","Disease","Increase"
"290",213,"Biotic","disease spread","10.3389/fpubh.2021.627654","Disease","Increase"
"291",213,"Biotic","range-shift","10.3389/fpubh.2021.627654","Disease","Increase"
"292",224,"Sociocultural","knowledge transfer","10.3389/fpubh.2021.627654","Disease","Increase"
"293",230,"Biotic","disease spread","10.3389/fpubh.2021.627654","Disease","Increase"
"294",230,"Biotic","range-shift","10.3389/fpubh.2021.627654","Disease","Increase"
"295",2,"Biotic","range-shift","10.1111/1365-2656.12755	","Invasion","Increase"
"296",10,"Biotic","migration","10.1016/j.rama.2023.07.002","Invasion","Increase"
"297",12,"Biotic","range-shift","10.1016/S0065-2504(04)35010-5","Invasion","Increase"
"298",42,"Biotic","range-shift","10.1038/s41579-023-00900-7","Invasion","Increase"
"299",43,"Biotic","range-shift","10.2737/NRS-GTR-99","Invasion","Complex change"
"300",54,"Biotic","range-shift","http://dx.doi.org/10.14745/ccdr.v45i04a04","Invasion","Increase"
"301",54,"Biotic","disease spread","http://dx.doi.org/10.14745/ccdr.v45i04a04","Invasion","Increase"
"302",55,"Biotic","migration","http://dx.doi.org/10.1093/aesa/saad038","Invasion","Increase"
"303",55,"Biotic","disease spread","http://dx.doi.org/10.1093/aesa/saad038","Invasion","Increase"
"304",55,"Biotic","range-shift","http://dx.doi.org/10.1093/aesa/saad038","Invasion","Increase"
"305",59,"Biotic","disease spread","doi: 10.14745/ccdr.v45i04a01","Invasion","Increase"
"306",59,"Biotic","range-shift","doi: 10.14745/ccdr.v45i04a01","Invasion","Increase"
"307",60,"Biotic","range-shift","10.1002/ecs2.4376	","Invasion","Increase"
"308",60,"Biotic","disease spread","10.1002/ecs2.4376	","Invasion","Increase"
"309",60,"Biotic","range-shift","10.1002/ecs2.4376	","Invasion","Increase"
"310",61,"Biotic","disease spread","http://dx.doi.org/10.3390/ijerph19020893","Invasion","Increase"
