Citation,DOI
"(Mitchell et.al., 2019, Genealogy)",https://doi.org/10.3390/genealogy4020051
"Martin, 2010, The German Marshall Fund of the United States",https://seors.unfccc.int/applications/seors/attachments/get_attachment?code=0O0WHMOE2QTBE8DK9QDYJRW08WYOYSCH
"Gawor, L.; Dolnicki, P., 2018, PRACE KOMISJI GEOGRAFII PRZEMYSLU POLSKIEGO TOWARZYSTWA GEOGRAFICZNEGO-STUDIES OF THE INDUSTRIAL GEOGRAPHY COMMISSION OF THE POLISH GEOGRAPHICAL SOCIETY","10.24917/20801653.322.20	"
"Weber, 1997, Environmental Reviews","http://dx.doi.org/10.1139/a97-008	"
"Malpeli et al., 2020, Environmental Evidence",https://doi.org/10.1186/s13750-020-00204-w
"Mu et al., 2011, Hydrological Processes",https://onlinelibrary.wiley.com/doi/10.1002/hyp.8367
A systematic review of the trophic ecology of eight ecologically and culturally important fish species in the North American Arctic; 2023; Polar Biology,10.1007/s00300-023-03133-9
"Flannigan, 2000 , Science of the Total Environment",10.1016/S0048-9697(00)00524-6
"Santos, 2024, Annals of the Entomological Society of America",10.1093/aesa/saad038
"Kehl, 2018, Journal of Water Resource and Protection",https://doi.org/10.4236/jwarp.2018.1011065
"Fischer et al., 2013, Biodiversity and Conservation","10.1007/s10531-013-0525-1	"
"Oslan, 2022, Global Change Biology",10.1111/gcb.16111
"Koubrak, O.; VanderZwaag, D. L.; 2020; Ecology and Society",10.5751/ES-11835-250442
"Singh, 2023, Nature Review Microbiology",10.1038/s41579-023-00900-7
"Rustad,2009, Changing climate, changing forests	",10.2737/NRS-GTR-99
"Tischekno et al., 2024, Tree Genetics and Genomes","http://dx.doi.org/10.1007/s11295-024-01645-x	"
"Esteve-Gassent, ARCHIVES OF INSECT BIOCHEMISTRY AND PHYSIOLOGY, 2016",10.1002/arch.21327
"Gunderson et al., 2017, Ecology and Society",10.5751/ES-08879-220131
"D' Odorico et al., 2011, Ecohydrology","10.1002/eco.259	"
"Craig, 2020, WIREs Water",https://doi.org/10.1002/wat2.1423
"Davis et. al., 2021, Canadian Science Publishing",https://doi.org/10.1139/as-2020-0032
"Rossi, 2014, Agricultural Water Management",10.1016/j.agwat.2014.07.030
"Mamet et al. 2018, Journal of Biogeography",10.1111/jbi.13465
"Taylor and Kumar, 2016, Tropical Conservation Science",https://doi.org/10.1177/194008291600900111
"Ng, V.; Rees, E. E.; Lindsay, L. R.; Drebot, M. A.; Brownstone, T.; Sadeghieh, T.; Khan, S. U., 2019,  Canada Communicable Disease Report",http://dx.doi.org/10.14745/ccdr.v45i04a04
"Costanza, K. K. L.; Whitney, T. D.; McIntir, C. D.; Livingston, W. H.; Gandhi, K. J. K., 2018, Forest Ecology and Management","10.1016/j.foreco.2018.02.049	"
"Dempson et al., 2024, Reviews in Fisheries Science & Aquaculture",https://doi.org/10.1080/23308249.2024.2341023
"Lefort et al., 2020, Canadian Journal of Zoology",dx.doi.org/10.1139/cjz-2019-0207
"Ogden and Gachon, 2019, Canada Communicable Disease Report",doi: 10.14745/ccdr.v45i04a01
"Chenery et al., 2022, Ecosphere","10.1002/ecs2.4376	"
"Leal Filho, W.; Ternova, L.; Parasnis, S. A.; Kovaleva, M.; Nagy, G. J., 2022, International Journal of Environmental Research and Public Health",http://dx.doi.org/10.3390/ijerph19020893
"Chapman, J.; Dearden, A.; Miller, A.; 2020; Journal of Marine Science and Engineering",10.3390/jmse8100739
"Yeh et al., 2023, Frontiers in Public Health",https://doi.org/10.3389/fpubh.2023.1018293
"Gass et al., 2022, Viruses",https://doi.org/10.3390/v14071531
"Habarugira, G.; Suen, W. W.; Hobson-Peters, J.; Hall, R. A.; Bielefeldt-Ohmann, H., 2020, Pathogens","http://dx.doi.org/10.3390/pathogens9070589	"
"Beatley, T.; 1991; COASTAL MANAGEMENT","10.1080/08920759109362128	"
"Sudlow et al., 2023, Environmental Reviews","10.1139/er-2022-0114	"
"Sturrock, R. N., 2012, Forest Systems","10.5424/fs/2012212-02230	"
"Sajal, Bhattacharya; Shakya, Sinha; Debasmita, Baidya; Rina, Tilak, 2020, Journal of Communicable Diseases, Special issue on COVID-19","http://dx.doi.org/10.24321/0019.5138.202021	"
"Rahel and Olden, 2008, Conservation Biology",https://doi.org/10.1111/j.1523-1739.2008.00950.x
"Krause-Jensen et al., 2020, Frontiers in Marine Science",https://doi.org/10.3389/fmars.2020.617324
"Santa et al., 2021, Parasitology","10.1017/S0031182021001426	"
"Merzouk, A.; Johnson, L. E., 2011, Journal of Experimental Marine Biology and Ecology","10.1016/j.jembe.2011.02.020	"
"LaDeau, S. L.; Marra, P. P.; Kilpatrick, A. M.; Calder, C. A.,  2008, BioScience","10.1641/B581007	"
"Semenza, J. C.; Rockl√∂v, J.; Ebi, K. L., 2022, Infectious Diseases and Therapy","10.1007/s40121-022-00647-3	"
"Schwandt, J. W.; Lockman, I. B.; Kliejunas, J. T.; Muir, J. A.,  2010,  Forest Pathology",10.1111/j.1439-0329.2010.00656.x
"Schwandt, J. W.; Lockman, I. B.; Kliejunas, J. T.; Muir, J. A.,  2010,  Forest Pathology",10.1111/j.1439-0329.2010.00656.x
"Sorte, C. J. B.; Williams, S. L.; Carlton, J. T., 2010, Global Ecology and Biogeography","10.1111/j.1466-8238.2009.00519.x	"
"Botero-Cañola et al., 2019, Therya",10.12933/therya-19-749
"Alkishe et al, 2021, Insects",10.3390/insects12030225
"Berlemann and Steinhardt, 2017, CESifo Economic Studies",10.1093/cesifo/ifx019
"Remingto2021, US Geological Survey",10.3133/ofr20201125
"Wilcox et al., 2019, Frontiers in Ecology and Evolution",10.3389/fevo.2019.00099
"May, 2013, Journal of Insect Conservation",10.1007/s10841-012-9540-x
"Jager, 2021, Ecology and Evolution",https://doi.org/10.1002/ece3.8026
"Ottenburghs, 2021, Evolutionary Applications",https://doi.org/10.1111/eva.13223
"Ottenburghs, 2021, Evolutionary Applications",https://doi.org/10.1111/eva.13223
"Caretta et al., 2023, Climatic Change",https://doi.org/10.1007/s10584-023-03573-6
"Pauli et al., 2022, Mammal Review",https://doi.org/10.1111/mam.12284
keiko.nomura@colorado.edu,"Anderson, K.; 2022; Food Policy"
"Reilly et al., 2018, General Technical Report - Pacific Northwest Research Station, USDA Forest Service",https://www.fs.usda.gov/pnw/pubs/pnw_gtr966_chapter2.pdf
"Hartig, 2021, Journal of Great Lakes Research",https://www.researchgate.net/profile/Jan-Ciborowski/publication/352652269_An_ecosystem_health_assessment_of_the_Detroit_River_and_western_Lake_Erie/links/60e936321c28af3458598682/An-ecosystem-health-assessment-of-the-Detroit-River-and-western-Lake-Erie.pdf
Foulon (2020) Water Quality Research Journal,https://iwaponline.com/wqrj/article/55/1/1/69781/A-global-scan-of-how-the-issue-of-nutrient-loading
"Cipollina et al., 2024, Review of Wolrd Economics","10.1007/s10290-024-00529-5	"
"Jokisch et al., 2019, Geography Compass","10.1111/gec3.12460	"
"Bergevin, M. D.; Ng, V.; Ludwig, A.; Sadeghieh, T.; Menzies, P.; Mubareka, S.; Clow, K. M., 2024, VECTOR-BORNE AND ZOONOTIC DISEASES","10.1089/vbz.2023.0152	"
"Baldwin-Cantello, W.; Tickner, D.; Wright, M.; Clark, M.; Cornelius, S.; Ellis, K.; Francis, A.; Ghazoul, J.; Gordon, J. E.; Matthews, N.; Milner-Gulland, E. J.; Smith, P.; Walmsley, S.; Young, L.; 2023; Climate Policy",10.1080/14693062.2023.2175637
"Robinne, 2020, Journal of Hydrology",https://doi.org/10.1016/j.jhydrol.2019.124360
"Knopp, 2020, Freshwater Biology",DOI: 10.1111/fwb.13570
"Thiri, M. A.; Villamayor-Tomas, S.; Scheidel, A.; Demaria, F., 2022, Ecological Economics ",10.1016/j.ecolecon.2022.107356
"Banjoko & Eslamian, 2016, Handbook of Drought and Water Scarcity",https://www.taylorfrancis.com/chapters/edit/10.1201/9781315226781-33/environmental-evaluation-lessons-learned-case-studies-bosun-banjoko-saeid-eslamian
"Lam et al, 2020, Nature Reviews Earth and Environment",https://doi.org/10.1038/ s43017-020-0071-9
"Eisen and Eisen, 2024, Ticks and Tick-borne Diseases",10.1016/j.ttbdis.2023.102286
"Laushman, 2020, air soil and water research",https://doi.org/10.1177/1178622120950272
"Tennberg, M., 2009, CLIMATE GOVERNANCE IN THE ARCTIC",https://doi.org/10.1007/978-1-4020-9542-9_11
"Hess et al, 2008, American Journal of Preventive Medicine",https://doi.org/10.1016/j.amepre.2008.08.024
"Zak et al., 2020, Earth-Science Reviews",https://doi.org/10.1016/j.earscirev.2020.103446
"Wu et al., 2022, Reviews of the Environmental Contamination and Toxicology",https://doi.org/10.1007/s44169-022-00016-8
"Miller et al., 2024, Biogeochemistry",https://doi.org/10.1007/s10533-023-01108-w
"Green, K. M.; Selgrath, J. C.; Frawley, T. H.; Oestreich, W. K.; Mansfield, E. J.; Urteaga, J.; Swanson, S. S.; Santana, F. N.; Green, S. J.; Naggea, J.; Crowder, L. B., 2021, Climate Change",10.1007/s10584-021-02965-w
"Gimeno et al., 2019, WIREs Climate Change",10.1002/wcc.588
"Peters-Lidard et al, 2021, Climatic Change",https://doi.org/10.1007/s10584-021-03057-5
"Engler, C.; 2020; Ecology and Society",10.5751/ES-11988-250443
"Lugo, A. E.; Medina, E.; McGinley, K.; 2014; Madera y Bosques",10.21829/myb.2014.200146
"Hayward, 2017, General Technical Report - Pacific Northwest Research Station, USDA Forest Service",https://research.fs.usda.gov/treesearch/54139
"Warner, R.; 2018; ECOLOGY LAW QUARTERLY",10.15779/Z38M61BQ0J
"Hansson et al, 2021,  Journal of Mountain Science",https://doi.org/10.1007/s11629-020-6221-1
"Perry, 2011, Forest ecology and management",https://doi.org/10.1016/j.foreco.2011.05.004
"Park, 2023, Forest Ecology and Management",https://doi.org/10.1016/j.foreco.2023.120854
"Park, 2023, Forest Ecology and Management",https://doi.org/10.1016/j.foreco.2023.120854
"Vasiliev & Greenwood 2021, Science of The Total Environment",10.1016/j.scitotenv.2021.145788
"Barratclough et al., 2023, Pathogens",https://doi.org/10.3390/pathogens12070937
"Galaz, V.; Tallberg, J.; Boin, A.; Ituarte-Lima, C.; Hey, E.; Olsson, P.; Westley, F.; 2017; Risk, Hazards & Crisis in Public Policy","http://dx.doi.org/10.1002/rhc3.12108	"
"El-Sayed, 2020, Environmental Science and Pollution Research",https://doi.org/10.1007/s11356-020-08896-w
"Keane, 2017, USFS report",https://research.fs.usda.gov/treesearch/54577
"Reist, 2006, Ambio",10.1579/0044-7447(2006)35[381:AOOEOC]2.0.CO;2
"Schindler, 2006, Ambio",https://doi.org/10.1579/0044-7447(2006)35[160:CEOCWA]2.0.CO;2
"Antwi, 2024, environmental review",https://doi.org/10.1139/er-2022-0130
"Gervais et al., 2020, Biological Invasions",https://doi.org/10.1007/s10530-020-02244-2
"Hasset & Thangamani, 2021, Microorganisms",https://doi.org/10.3390/microorganisms9112317
"Goldblum, 2010, Geography Compass",https://doi.org/10.1111/j.1749-8198.2010.00342.x
"Lennox, 2019, Global Change Biology Wiley",10.1111/gcb.14957
"Acheson et al., 2018, Medical Mycology",https://doi.org/10.1093/mmy/myx037
"Cuthbert et al., 2023, Parasites & Vectors","10.1186/s13071-023-05887-x	"
"Hayes, 2014, Reviews in Fish Biology and Fisheries",10.1007/s11160-014-9348-8
"Kirby et al., 2008, Bird Conservation International",10.1017/S0959270908000439
"James, 2024, Insects",10.3390/insects15010040
"Pettitt-Wade et al., 2021, Fish and Fisheries",10.1111/faf.12536
"Wyka et al., 2018, Forest Ecology and Management",https://doi.org/10.1016/j.foreco.2018.03.011
"Wunderle & Arendt, 2017, Forests",10.3390/f8040115
"Goedkoop et al. 2021, Freshwater Biology",10.1111/fwb.13873
"Ochs, 2024, Science of the Total Environment",https://doi.org/10.1016/j.scitotenv.2024.171490
"Hussain et al., 2021, Microorganisms",10.3390/microorganisms9122412
"Scriber 2011, Insect Science",10.1111/j.1744-7917.2010.01367.x
"Stephanson & Coe, 2017, Forests",https://doi.org/10.3390/f8050155
" Gleick & Chalecki, 1999, JAWRA.",DOI:10.1111/j.1752-1688.1999.tb04227.x
"Dukes et al., 2009, Canadian Journal of Forest Research",https://doi.org/10.1139/X08-171
"Sonenshine, 2018,  IJERPH ",https://doi.org/10.3390/ijerph15030478
"Embrey, 2012,  American Journal of Public Health",https://ajph.aphapublications.org/doi/full/10.2105/AJPH.2011.300520
" Barrett & Robertson, 2021, USFS report",https://research.fs.usda.gov/treesearch/62126
"Hampe & Jump 2011, Annual Review of Ecology, Evolution, and Systematics",10.1146/annurev-ecolsys-102710-145015
"Blum, 2015, Progress in Oceanography",http://dx.doi.org/10.1016/j.pocean.2015.07.011
"Parmesan 2001, “Fingerprints” of Climate Change: Adapted Behaviour and Shifting Species Ranges",10.1007/978-1-4419-8692-4_4
"Mukherjee and Fransen, 2024, World Development",10.1016/j.worlddev.2024.106600
"Obokata et al., 2014, Population and Environment",10.1007/s11111-014-0210-7
"Schlater et al. 2021, Southwestern Naturalist",10.1894/0038-4909-65.2.161
"Andrew et al. 2013, PeerJ",10.7717/peerj.11
"Serraglio et al., 2024, Journal of Human Rights Practice",https://doi.org/10.1093/jhuman/huad066
"Pecl et al. 2017, Science",10.1126/science.aai9214
"Mohan, 2009, Canadian Journal of Forest Research",10.1139/er-2017-0046
"Scavia, 2002, Estuaries",10.1007/BF02691304
"Boulanger, 2023, Canadian Journal of Forest Research",https://doi.org/10.1139/cjfr-2022-0282
"Keatts, 2021, Front. Public Health",10.3389/fpubh.2021.627654
"Westbrooks, 2014, CABI Invasives Series No.4",http://dx.doi.org/10.1079/9781780641645.0305
"Almulhim, 2024, Climate Action","https://doi.org/10.1038/s44168-024-00133-1	"
"Pagano, 2014, Water",10.3390/w6102862
"Drakard, 2023, Ecology and Evolution",https://doi.org/10.1002/ece3.10277
"Pitman, 2020, BioScience",doi:10.1093/biosci/biaa015
"Chi et al., 2024",10.1007/s10113-024-02212-9
"Mucioki, 2024",10.1002/ppp3.10500
"McMichael, 2012, Environ Health Perspect",10.1289/ehp.1104375
"Shanley, C. S., 2015, Climatic Change","10.1007/s10584-015-1355-9	"
"Moore, R.D.; 2009; Hydrological Processes",10.1002/hyp.7162
"Weber, 1997, Environmental Reviews","http://dx.doi.org/10.1139/a97-008	"
"Kehl, 2018, Journal of Water Resource and Protection",https://doi.org/10.4236/jwarp.2018.1011065
"Remingto2021, US Geological Survey",10.3133/ofr20201125
"Jager, 2021, Ecology and Evolution",https://doi.org/10.1002/ece3.8026
"Robinne, 2020, Journal of Hydrology",https://doi.org/10.1016/j.jhydrol.2019.124360
"Laushman, 2020, air soil and water research",https://doi.org/10.1177/1178622120950272
"Engler, C.; 2020; Ecology and Society",10.5751/ES-11988-250443
"Hayward, 2017, General Technical Report - Pacific Northwest Research Station, USDA Forest Service",https://research.fs.usda.gov/treesearch/54139
"Park, 2023, Forest Ecology and Management",https://doi.org/10.1016/j.foreco.2023.120854
"Schindler, 2006, Ambio",https://doi.org/10.1579/0044-7447(2006)35[160:CEOCWA]2.0.CO;2
"Antwi, 2024, environmental review",https://doi.org/10.1139/er-2022-0130
"Scriber 2011, Insect Science",10.1111/j.1744-7917.2010.01367.x
"Sonenshine, 2018,  IJERPH ",https://doi.org/10.3390/ijerph15030478
"Schlater et al. 2021, Southwestern Naturalist",10.1894/0038-4909-65.2.161
"Scavia, 2002, Estuaries",10.1007/BF02691304
"Boulanger, 2023, Canadian Journal of Forest Research",https://doi.org/10.1139/cjfr-2022-0282
"Keatts, 2021, Front. Public Health",10.3389/fpubh.2021.627654
"Pitman, 2020, BioScience",doi:10.1093/biosci/biaa015
"McMichael, 2012, Environ Health Perspect",10.1289/ehp.1104375
"Shanley, C. S., 2015, Climatic Change","10.1007/s10584-015-1355-9	"
"Moore, R.D.; 2009; Hydrological Processes",10.1002/hyp.7162
"Kehl, 2018, Journal of Water Resource and Protection",https://doi.org/10.4236/jwarp.2018.1011065
"Laushman, 2020, air soil and water research",https://doi.org/10.1177/1178622120950272
"Boulanger, 2023, Canadian Journal of Forest Research",https://doi.org/10.1139/cjfr-2022-0282
"Keatts, 2021, Front. Public Health",10.3389/fpubh.2021.627654
"Laushman, 2020, air soil and water research",https://doi.org/10.1177/1178622120950272
"Boulanger, 2023, Canadian Journal of Forest Research",https://doi.org/10.1139/cjfr-2022-0282
"Keatts, 2021, Front. Public Health",10.3389/fpubh.2021.627654
"Kehl, 2018, Journal of Water Resource and Protection",https://doi.org/10.4236/jwarp.2018.1011065
"Kehl, 2018, Journal of Water Resource and Protection",https://doi.org/10.4236/jwarp.2018.1011065
"Knopp, 2020, Freshwater Biology",DOI: 10.1111/fwb.13570
"Shin et al., 2021, Global Change Biology",10.1111/gcb.16109
"Shin et al., 2021, Global Change Biology",10.1111/gcb.16109
"Costa, D., 2021, Journal of Great Lakes Research","http://dx.doi.org/10.1016/j.jglr.2021.10.011	"
"Costa, D., 2021, Journal of Great Lakes Research","http://dx.doi.org/10.1016/j.jglr.2021.10.011	"
"Dube et al., 2012, INTEGRATED ENVIRONMENTAL ASSESSMENT AND MANAGEMENT",https://doi.org/10.1002/ieam.1360
"Dube et al., 2012, INTEGRATED ENVIRONMENTAL ASSESSMENT AND MANAGEMENT",https://doi.org/10.1002/ieam.1360
