"","Title","Authors","Abstract","Published Year","Published Month","Journal","Volume","Issue","Pages","Accession Number","DOI","Ref","Covidence #","Study","Notes","Tags","Sociocultural","Human movement","Biophysical","Biotic","IK","Intervention","Potentially relevant","save for other sections","Transboundary unclear","Original study","Perspective paper","Human_movement","Original_study"
"141","Achieving the 1.5 A°C objective: just implementation through a right to (sustainable) development approach","Gupta, J.; Arts, K.","Achieving the 1.5 A degrees C objective of the Paris Agreement on Climate Change in a just manner requires equitably sharing the responsibilities and rights that relate to this objective. This paper examines how international law concerning the Right to Promote (Sustainable) Development can contribute to determining what would be a """"just"""" approach to achieving the 1.5 A degrees C objective. This entails building on both the Right to Development (RtD) and the Right to Promote Sustainable Development (RtPSD). The RtD is a central notion within international human rights law and the RtPSD has been adopted under the UN Framework Convention on Climate Change (UNFCCC). Based on a literature review and legal analysis, we argue that, although the two Rights are prima facie different, in the context of the unanimously adopted Agenda 2030, including the SDGs, they partly complement and partly merge with each other. Together they provide a framework for assessing how a just transition towards a low greenhouse gas development process could be achieved and what this means for phasing out fossil fuels especially in the context of prospective oil producing countries.",2018,"FEB","INTERNATIONAL ENVIRONMENTAL AGREEMENTS-POLITICS LAW AND ECONOMICS","18","1","11-28","WOS:000424667800002","10.1007/s10784-017-9376-7","","#4665","Gupta 2018","DAVID GONZALEZ (2024-08-21 13:07:19)(Select): Global scale and type of instrument hints at transboundary in North America relevance. Included for this reason. ;","Sociocultural; Transboundary unclear",TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE
"142","Evidence for widespread changes in the structure, composition, and fire regimes of western North American forests","Hagmann, R. K.; Hessburg, P. F.; Prichard, S. J.; Povak, N. A.; Brown, P. M.; Fule, P. Z.; Keane, R. E.; Knapp, E. E.; Lydersen, J. M.; Metlen, K. L.; Reilly, M. J.; Meador, A. J. S.; Stephens, S. L.; Stevens, J. T.; Taylor, A. H.; Yocom, L. L.; Battaglia, M. A.; Churchill, D. J.; Daniels, L. D.; Falk, D. A.; Henson, P.; Johnston, J. D.; Krawchuk, M. A.; Levine, C. R.; Meigs, G. W.; Merschel, A. G.; North, M. P.; Safford, H. D.; Swetnam, T. W.; Waltz, A. E. M.","Implementation of wildfire- and climate-adaptation strategies in seasonally dry forests of western North America is impeded by numerous constraints and uncertainties. After more than a century of resource and land use change, some question the need for proactive management, particularly given novel social, ecological, and climatic conditions. To address this question, we first provide a framework for assessing changes in landscape conditions and fire regimes. Using this framework, we then evaluate evidence of change in contemporary conditions relative to those maintained by active fire regimes, i.e., those uninterrupted by a century or more of human-induced fire exclusion. The cumulative results of more than a century of research document a persistent and substantial fire deficit and widespread alterations to ecological structures and functions. These changes are not necessarily apparent at all spatial scales or in all dimensions of fire regimes and forest and nonforest conditions. Nonetheless, loss of the once abundant influence of low- and moderate-severity fires suggests that even the least fire-prone ecosystems may be affected by alteration of the surrounding landscape and, consequently, ecosystem functions. Vegetation spatial patterns in fire-excluded forested landscapes no longer reflect the heterogeneity maintained by interacting fires of active fire regimes. Live and dead vegetation (surface and canopy fuels) is generally more abundant and continuous than before European colonization. As a result, current conditions are more vulnerable to the direct and indirect effects of seasonal and episodic increases in drought and fire, especially under a rapidly warming climate. Long-term fire exclusion and contemporaneous social-ecological influences continue to extensively modify seasonally dry forested landscapes. Management that realigns or adapts fire-excluded conditions to seasonal and episodic increases in drought and fire can moderate ecosystem transitions as forests and human communities adapt to changing climatic and disturbance regimes. As adaptation strategies are developed, evaluated, and implemented, objective scientific evaluation of ongoing research and monitoring can aid differentiation of warranted and unwarranted uncertainties.",2021,"DEC","Ecological Applications","31","8","","WOS:000706158700001","10.1002/eap.2431","","#4731","Hagmann 2021","Tyler McIntosh (2024-08-23 08:36:57)(Select): c1: yes
c2: yes - shifts in fire, fire-impacts on landscapes, and fire management
c3: yes
c4: yes
c5: yes - example: fire regime map showing changes along the MT/ID northern border w/ Canada; ","Biophysical; Biotic; Sociocultural",TRUE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
"143","Adapting forest management to climate change: The state of science and applications in Canada and the United States","Halofsky, J. E.; Andrews-Key, S. A.; Edwards, J. E.; Johnston, M. H.; Nelson, H. W.; Peterson, D. L.; Schmitt, K. M.; Swanston, C. W.; Williamson, T. B.","Over the last decade, considerable progress has been made in developing vulnerability assessment tools and in applying these methodologies to identify and implement climate change adaptation approaches for forest ecosystems and forest management organizations in Canada and the United States. However, given that adaptation processes are in early stages, evaluation of approaches across agency, organizational, and geographic boundaries is critical. Thus, we conducted a qualitative comparison of three conceptual frameworks for climate change vulnerability assessment and adaptation efforts in the Canadian and United States forestry agency contexts. We focus our comparison on components of the conceptual frameworks, development process, intended users, similarities and differences in institutional contexts (geographic and organizational), and implementation. Finally, we present case studies to illustrate how the frameworks have been implemented on the ground and in different contexts. Despite different trajectories of development, the Canadian and US forest agencies have developed similar conceptual frameworks for vulnerability assessment and adaptation. We found that key components of the conceptual frameworks included: establishing a science-management partnership; evaluating current forest conditions and management objectives; conducting detailed science-based vulnerability assessments; developing adaptation approaches and on-the-ground tactics; implementing adaptation tactics; and monitoring outcomes and adjusting as needed. However, the contexts in which these frameworks are implemented vary considerably within and between countries, mostly because of differences in land ownership, management norms, and organizational cultures. On-the-ground applications, although slow to develop, are beginning to proliferate, providing examples that can be emulated by others. A strategy for accelerating implementation of adaptation in Canada and the United States is suggested, building on successes by federal agencies and extending to public, private, and crown lands.",2018,"AUG 1","Forest Ecology and Management","421","","84-97","WOS:000432758000009","10.1016/j.foreco.2018.02.037","","#4765","Halofsky 2018","","Intervention; Sociocultural",TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
"144","Climate Relicts: Past, Present, Future","Hampe, A.; Jump, A. S.; Futuyma, D. J.; Shaffer, H. B.; Simberloff, D.","Populations left behind during climate-driven range shifts can persist in enclaves of benign environmental conditions within an inhospitable regional climate. Such climate relicts exist in numerous plant and animal species worldwide, yet our knowledge of them is fragmented and lacks a general framework. Here we synthesize the empirical evidence considering (a) relict habitats, (b) abiotic and biotic constraints on population dynamics, (c) mechanisms promoting population persistence, and (d) uncertainties concerning their future prospects. We identify three major types of climate relicts: (a) those constrained primarily by climate-driven abiotic factors, (b) those restricted to areas that are inaccessible to antagonistic species for climatic reasons, and (c) those requiring a host or mutualistic species that is itself limited by climate. Understanding the formation and functioning of climate relicts is essential for their conservation and for our understanding of the response of species and populations to climate change.",2011,"","ANNUAL REVIEW OF ECOLOGY, EVOLUTION, AND SYSTEMATICS, VOL 42","42","","313-333","WOS:000299438300015","10.1146/annurev-ecolsys-102710-145015","","#4783","Hampe 2011","Laura  Dee (2024-08-21 07:30:03)(Select): great overview of climate impacts for biotic section, transboundary implicit
; Alice Gaalswyk (2024-08-21 06:30:16)(Select): reasonable assumption of transboundary species migration across North American borders ; ","Biotic; Transboundary unclear; save for other sections",FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE
"145","The state of glacier hydrology research in Canada","Hanly, K.; Marshall, S.; McDowell, G.","Glaciers across Canada are rapidly retreating, engendering significant implications for glacier-fed hydrological systems, ranging from aquatic ecology and groundwater recharge to downstream economic activities and traditional cultural values. Despite a well-developed body of literature regarding glacio-hydrological systems and dynamics, there has been no systematic assessment of this research to date. In response, this study adopted a systematic review methodology to examine the state of existing peer-reviewed glacio-hydrological literature in Canada (1900-2021). We found that peer-reviewed glacio-hydrological research in Canada emerged in the early 1950s and has substantially grown over the last two decades, with almost all work being done by natural scientists using field-based approaches to examine physical hydrology, water quantity and resources, and water quality in western Canada. There is a declining trend in research related to glacio-hydrological hazards and a relative lack of research related to glacier ecohydrology, human vulnerability, and adaptation. The absence of such work constrains our ability to adapt to the consequences of climatic change and other anthropogenic stressors. In highlighting these gaps, this study aims to inform research needs and contribute to evidence-based policy formation that supports regionally appropriate plans, enhancing our ability to navigate the current and future challenges facing glacio-hydrologic systems in Canada, including the human and non-human systems that depend on them. Partout au Canada, les glaciers reculent rapidement, ce qui entraine des consequences importantes pour les systemes hydrologiques alimentes par les glaciers, allant de l'ecologie aquatique et de la recharge des eaux souterraines aux activites economiques en aval et aux valeurs culturelles traditionnelles. Malgre un corpus de litterature bien developpe concernant les systemes et les dynamiques glacio-hydrologiques, il n'existe pas d'evaluation systematique de cette recherche a ce jour. En reponse, cette etude a adopte une methodologie d'examen systematique pour examiner l'etat de la litterature glacio-hydrologique existante evaluee par des pairs au Canada (1900-2021). Nous avons constate que la recherche glacio-hydrologique evaluee par des pairs au Canada a vu le jour au debut des annees 1950 et s'est considerablement developpee au cours des deux dernieres decennies, la quasi-totalite des travaux etant effectues par des specialistes des sciences naturelles utilisant des approches basees sur le terrain pour examiner l'hydrologie physique, la quantite et qualite d'eau et les ressources en eaux dans l'ouest du Canada. Il existe une tendance a la baisse dans la recherche liee aux risques glacio-hydrologiques et un manque relatif de recherche liee a l'ecohydrologie des glaciers, a la vulnerabilite humaine et a l'adaptation. L'absence de tels travaux limite notre capacite a nous adapter aux consequences du changement climatique et d'autres facteurs de stress anthropiques. En mettant en evidence ces lacunes, cette etude vise a eclairer les besoins de recherche et a contribuer a l'elaboration de politiques fondees sur des donnees probantes qui soutiennent des plans appropries a l'echelle regionale, ameliorant ainsi notre capacite a relever les defis actuels et futurs auxquels sont confrontes les systemes glacio-hydrologiques du Canada, y compris les facteurs humains et non-hydrologiques, et les systemes humains qui en dependent.",2023,"OCT 2","Canadian Water Resources Journal","48","4","475-496","WOS:001127505800001","10.1080/07011784.2023.2289805","","#4812","Hanly 2023","Colleen Miller (2024-08-29 02:44:43)(Select): """"In northern British
Columbia and Alaska, glacier retreat by 2100 is projected
to open 6146±1619km of new streams for
Pacific salmon, representing a habitat gain of up to
27% within the regions studied.""""; ","Biophysical; Transboundary unclear",FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE
"146","Emerging Viral Diseases of Tomato Crops","Hanssen, I. M.; Lapidot, M.; Thomma, Bphj","Viral diseases are an important limiting factor in many crop production systems. Because antiviral products are not available, control strategies rely on genetic resistance or hygienic measures to prevent viral diseases, or on eradication of diseased crops to control such diseases. Increasing international travel and trade of plant materials enhances the risk of introducing new viruses and their vectors into production systems. In addition, changing climate conditions can contribute to a successful spread of newly introduced viruses or their vectors and establishment of these organisms in areas that were previously unfavorable. Tomato is economically the most important vegetable crop worldwide and many viruses infecting tomato have been described, while new viral diseases keep emerging. Pepino mosaic virus is a rapidly emerging virus which has established itself as one of the most important viral diseases in tomato production worldwide over recent years. Begomovirus species and other whitefly-transmitted viruses are invading into new areas, and several recently described new viruses such as Tomato torrado virus and new Tospovirus species are rapidly spreading over large geographic areas. In this article, emerging viruses of tomato crops are discussed.",2010,"MAY","Molecular Plant-Microbe Interactions","23","5","539-548","WOS:000276845000001","10.1094/MPMI-23-5-0539","","#4831","Hanssen 2010","","Biotic; Transboundary unclear",FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE
"147","A review of modern treeline migration, the factors controlling it and the implications for carbon storage","Hansson, A.; Dargusch, P.; Shulmeister, J.","Numerous studies have reported that treelines are moving to higher elevations and higher latitudes. Most treelines are temperature limited and warmer climate expands the area in which trees are capable of growing. Hence, climate change has been assumed to be the main driver behind this treeline movement. The latest review of treeline studies was published in 2009 by Harsch et al. Since then, a plethora of papers have been published studying local treeline migration. Here we bring together this knowledge through a review of 142 treeline related publications, including 477 study locations. We summarize the information known about factors limiting tree-growth at and near treelines. Treeline migration is not only dependent on favorable growing conditions but also requires seedling establishment and survival above the current treeline. These conditions appear to have become favorable at many locations, particularly so in recent years. The review revealed that at 66% of these treeline sites forest cover had increased in elevational or latitudinal extent. The physical form of treelines influences how likely they are to migrate and can be used as an indicator when predicting future treeline movements. Our analysis also revealed that while a greater percentage of elevational treelines are moving, the latitudinal treelines are capable of moving at greater horizontal speed. This can potentially have substantial impacts on ecosystem carbon storage. To conclude the review, we present the three main hypotheses as to whether ecosystem carbon budgets will be reduced, increased or remain the same due to treeline migration. While the answer still remains under debate, we believe that all three hypotheses are likely to apply depending on the encroached ecosystem. Concerningly, evidence is emerging on how treeline migration may turn tundra landscapes from net sinks to net sources of carbon dioxide in the future.",2021,"FEB","Journal of Mountain Science","18","2","291-306","WOS:000615794600001","10.1007/s11629-020-6221-1","","#4832","Hansson 2021","","Biotic; Transboundary unclear",FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE
"148","An ecosystem health assessment of the Detroit River and western Lake Erie","Hartig, J. H.; Francoeur, S. N.; Ciborowski, J. J. H.; Gannon, J. E.; Sanders, C. E.; Galvao-Ferreira, P.; Knauss, C. R.; Gell, G.; Berk, K.","The Canada-U.S. State of the Strait Conference is a biennial forum with a 22-year history of assessing ecosystem status and providing advice to improve research, monitoring, and management of the Detroit River and western Lake Erie. The 2019 conference focused on assessing ecosystem health based on 61 indicators. Although there has been considerable improvement in the Detroit River since the 1960s, much additional cleanup is needed to restore ecosystem health. Western Lake Erie is now at risk of crossing several potential tipping points caused by the interactions of a variety of drivers and their stresses. This assessment identified eight environmental and natural resource challenges: climate change; population growth/transportation expansion/land use changes; chemicals of concern; human health/environmental justice; aquatic invasive species; habitat loss/degradation; nonpoint source pollution; and eutrophication/harmful algal blooms. Specific recommendations for addressing each challenge were also made. Climate change is the most pressing environmental challenge of our time and considered a ``threat multiplier"""" whereby warmer, wetter, and more extreme climatic conditions amplify other threats such as poor air quality effects on vulnerable residents, species changes, and nonpoint source runoff and combined sewer overflow events that contribute to eutrophication and can manifest as harmful algal blooms. Our assessment found that investments in monitoring and evaluation are insufficient and that the region's intellectual and environmental capital is not being leveraged sufficiently to address current challenges. Continued investment in this transnational network is essential to support ecosystembased management. (C) 2021 International Association for Great Lakes Research. Published by Elsevier B.V. All rights reserved.",2021,"AUG","Journal of Great Lakes Research","47","4","1241-1256","WOS:000674493000009","10.1016/j.jglr.2021.05.008","","#4889","Hartig 2021","","Biophysical",FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
"149","Threats, biodiversity drivers and restoration in temperate floodplain forests related to spatial scales","Havrdová, A.; Douda, J.; Doudová, J.","Floodplain forests offer a diversity of habitats and resources for a very wide range of plant and animal species. They also offer many benefits to humankind and are considered essential to the mitigation of the effects of climate change. Nevertheless, throughout the world they are suffering the most intense of anthropogenic pressures so are, of all ecosystems, among the most endangered. Here, we bring together and synthesise existing ecological understanding of the mechanisms underlying the high heterogeneity and diversity of temperate floodplain forests and of the pressures threatening their high biological value due to habitat homogenisation. Floodplain forests depend on the periodic disturbances under which they evolved, including fluvial dynamics, traditional management practices and the activities of herbivores. However, they have been heavily degraded by climate change, invasion of exotic species, river-flow regulation, landscape fragmentation, eutrophication and the cessation of traditional management. We can now observe two general trends in temperate floodplain forests: (1) Due to intensive landscape exploitation, they are now more open and thus prone to the spread of competitive species, including of invasive exotics and (2) Due to the cessation of traditional management, along with modified hydrological conditions, they are composed of species in the later successional stages (i.e., more shade-tolerant and mesic) while light-demanding species are quickly vanishing. Restoration practices have brought about contrasting results when restoration of floodplains to their natural states has been problematic. This is likely because of interplay between various natural and artificial processes not previously taken into proper consideration. We would like to draw attention to the fact that restoration projects or the preservation of existing floodplain forest ecosystems should combine the restoration of watercourses with the mitigation of other important threats acting at different scales of the landscape (spread of invasive species, eutrophication of watersheds and inappropriate forest management).",2023,"JAN 1","Science of the Total Environment","854","","","WOS:000867707800013","10.1016/j.scitotenv.2022.158743","","#4936","Havrdová 2023","Elliott Parsons (2024-10-30 13:20:41)(Select): 1 (yes it is a review), 2 = yes, climate change impacts on hydrology, flooding, 3 = yes, mentions composition of forests, 4 = North America = yes (review restricted to northern hemisphere)., 5 = 1 (highly likely - map 1 C shows Canada & US.; Anabel Kinsey (2024-10-15 11:48:30)(Select): Figure 3 shows species at the U.S.-Canada border and the rest of the paper discusses changing floodplain areas. This may be relevant to the transboundary flow. ; ","Biophysical; Biotic; Transboundary unclear",FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE
"150","Comparative estuarine and marine migration ecology of Atlantic salmon and steelhead: blue highways and open plains","Hayes, S. A.; Kocik, J. F.","This synthesis focuses on the estuarine and ocean ecology of Atlantic salmon (Salmo salar) and steelhead (Oncorhynchus mykiss) across their southern ranges in North America. General life history and ecology share many common traits including iteroparity, duration of freshwater (0-3 years) and marine (2-5 years) rearing, ocean emigration at relatively large sizes and strong surface orientation compared to other salmonids. Despite parallels in life history and anthropogenic pressures, several differences emerged for these species. First, steelhead have greater life history diversity and a broader geographic distribution. Generally, estuary habitats serve as short-term migration corridors for both species. However, some steelhead populations used lagoon habitat in south-coast watersheds. While both species are epipelagic, Atlantic salmon exhibit more vertical migration. Atlantic salmon tend to follow migratory highways-relatively narrow bands along the coastal shelf, then crossing the Atlantic to feed inshore and in fjords of West Greenland. Conversely, steelhead exit the coastal shelf quickly, dispersing across the Pacific, and rarely use coastal environments. Despite inhabiting rivers in warm dry Mediterranean climates, the extended range and stability of southern steelhead distribution is likely buffered by cool upwelled waters of the California Current. Whereas Atlantic salmon populations are restricted by warmer Northwest Atlantic circulation patterns lacking cool upwelling with greater susceptibility to warming associated with climate change. Determining the rate of marine habitat changes in the Atlantic and Pacific Oceans is important to the conservation of these species, including subtleties of temporal and spatial habitat use, and adaptability to ocean ecosystems under climate change.",2014,"SEP","Reviews in Fish Biology and Fisheries","24","3","757-780","WOS:000340455200006","10.1007/s11160-014-9348-8","","#4954","Hayes 2014","","Biotic",FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
"151","A synthesis of large-scale patterns in the planktonic prey of larval and juvenile cod (<i>Gadus morhua</i>)","Heath, M. R.; Lough, R. G.","Data from 40 published studies of the diet composition of larval and juvenile cod (Gadus morhua) from around the northern North Atlantic were summarized to assess generic patterns in ontogenetic and regional variability in the key prey. The results showed that larvae at the northern edge of the latitudinal range of cod depend primarily on development stages of the copepod Calanus finmarchicus, whilst those at the southern edge depend on Para- and Pseudocalanus species. Juvenile cod preyed on a wider range of taxa than larvae, but euphausiids were the main target prey. Analysis of regional variations in the relative abundances of C. finmarchicus and Para/Pseudocalanus spp. in the plankton, as estimated by the continuous plankton recorder (CPR) surveys, showed a similar geographical pattern to the larval cod stomach contents. Comparison of CPR data from the 1960s and 70s with data from the 1990s showed that the boundary between C. finmarchicus and Para/Pseudocalanus spp. dominance has shifted northwards on both sides of the Atlantic, whilst the abundance of euphausiids in the southern cod stock regions has declined. The results are discussed in relation to regional differences in the response of cod stocks to climate variability.",2007,"","FISHERIES OCEANOGRAPHY","16","2","169-185","WOS:000244543300006","10.1111/j.1365-2419.2006.00423.x","","#4990","Heath 2007","Anabel Kinsey (2024-10-23 07:40:13)(Select): Definitely relevant! """"presented evidence for a 1000-km northward extension in the distribution ranges of various warmwater species since the 1960s, and a corresponding northwards retreat of cold-water species. These changes were highly correlated with warming sea surface temperatures """"; ","Biotic; Transboundary unclear",FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE
"152","Impact assessment of coastal marine range shifts to support proactive management","Henry, A. K.; Sorte, C. J. B.","Climate change is reshuffling Earth's biota as species shift their current ranges to track suitable conditions, often in response to increasing habitat temperatures. While redistribution may be necessary for species persistence, there can also be impacts on existing communities upon arrival of novel, range-shifting species. Anticipating the beneficial versus deleterious impacts of range-shifting species is essential for determining whether active management is needed, which could include implementation of strategies from facilitation (eg managed relocation) to suppression (eg prevention and control). We used an impact assessment protocol developed for invasive species to evaluate potential consequences of range shifts in coastal marine ecosystems of North America. Our review demonstrates how invasion impact assessment combined with species vulnerability assessment could support decisions about management of range shifts. We found that similar to 50% of these shifting coastal species have had negative impacts in their expanded ranges. The importance of proactive management is likely to increase as the number and extent of range shifts accelerates.",2022,"APR","Frontiers in Ecology and the Environment","20","3","161-169","WOS:000730589200001","10.1002/fee.2447","","#5050","Henry 2022","","Biotic",FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
"153","Ecophysiological Effects of Groundwater Drawdown on Phreatophytes: Research Trends during the Last Three Decades","Hernandez, J. O.","A systematic synthesis of phreatophytes' responses to groundwater drawdown would provide a more complete picture of groundwater-related research aimed at the sustainable management of groundwater-dependent ecosystems amid climate change. Following the Preferred Reporting Items for Systematic Reviews and Meta-Analyses (PRISMA) guidelines, the ecophysiological effects of groundwater drawdown on phreatophytes and methodological approaches were synthesized from peer-reviewed articles published from 1988 to 2022. The highest relative count of studies was found in arid and semi-arid high-income countries, such as Australia and North America (18-24%), while the lowest relative count to no data was found in hyper-arid countries, such as north African countries (0-3.65%). The groundwater depth effects on phreatophyte ecophysiology had the highest relative count (53.65%), followed by large-scale tree plantation effects on the groundwater characteristics (44.37%) and groundwater depth and biological invasion relationship (1.99%). The results revealed that as the groundwater depth increased, the phreatophytic vegetation growth, productivity, and community structure decreased across the ecosystem types. A groundwater withdrawal also had a significant impact on the physiology of the phreatophytes, specifically on the transpiration rate, xylem water potential, hydraulic conductance, and photosynthetic rate. Many of the reviewed studies concluded that large-scale tree plantations can deplete groundwater resources due to an increased evapotranspiration rate. Further, species' diversity, evenness, dominance, composition, and distribution, as well as the Normalized Difference Vegetation Index (NDVI), are commonly measured parameters in the reviewed studies through vegetation and groundwater monitoring. Amid applied and contemporary problems, this synthesis may provide researchers with cues to conduct studies relevant to the integrated and sustainable conservation and management of groundwater-dependent ecosystems, particularly in data-poor, hyper-arid countries.",2022,"NOV","Land","11","11","","WOS:000895226100001","10.3390/land11112061","","#5072","Hernandez 2022","","Biotic; Transboundary unclear",FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE
"154","Climate Change The Importance of Place","Hess, J. J.; Malilay, J. N.; Parkinson, A. J.","Climate change-related risks are place-specific and path-dependent. Accordingly, location is an important determinant of hazardous exposure, and certain places will bear more risk than others. This article reviews the major environmental exposures associated with risky places in the U.S., including coastal regions, islands, the desert Southwest, vectorborne and zoonotic disease border regions, cities, and the U.S. Arctic (Alaska), with emphasis on exposures and vulnerable populations of concern. In addition to these hotspots, this study considers the ways in which the concept of place-the sense of human relationship with particular environments-Arill play a key role in motivating, developing, and deploying an effective public health response. In considering the importance of place, we highlight the concepts of community resilience and risk management, key aspects of a robust response to climate change in public health and other sectors.",2008,"NOV","AMERICAN JOURNAL OF PREVENTIVE MEDICINE","35","5","468-478","WOS:000260396600011","10.1016/j.amepre.2008.08.024","","#5099","Hess 2008","Anna LoPresti (2024-08-23 03:02:24)(Select): including for multiple reasons. the waterborne and foodborne diseases sections includes information on northward expansions into alaska which could reasonably be transboundary with canada. the islands section includes multiple examples of flow related to the US Pacific Islands including SLR impacting coastal ecosystems and by extension the flow of tourism.;","Biotic",FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
"155","Projected impacts of climate change on marine fish and fisheries","Hollowed, A. B.; Barange, M.; Beamish, R. J.; Brander, K.; Cochrane, K.; Drinkwater, K.; Foreman, M. G. G.; Hare, J. A.; Holt, J.; Ito, S.; Kim, S.; King, J. R.; Loeng, H.; MacKenzie, B. R.; Mueter, F. J.; Okey, T. A.; Peck, M. A.; Radchenko, V. I.; Rice, J. C.; Schirripa, M. J.; Yatsu, A.; Yamanaka, Y.","This paper reviews current literature on the projected effects of climate change on marine fish and shellfish, their fisheries, and fishery-dependent communities throughout the northern hemisphere. The review addresses the following issues: (i) expected impacts on ecosystem productivity and habitat quantity and quality; (ii) impacts of changes in production and habitat on marine fish and shellfish species including effects on the community species composition, spatial distributions, interactions, and vital rates of fish and shellfish; (iii) impacts on fisheries and their associatedcommunities; (iv) implications for food security and associated changes; and (v) uncertainty andmodelling skill assessment. Climate change will impact fish and shellfish, their fisheries, and fishery-dependent communities through a complex suite of linked processes. Integrated interdisciplinary research teams are forming in many regions to project these complex responses. National and international marine research organizations serve a key role in the coordination and integration of research to accelerate the production of projections of the effects of climate change on marine ecosystems and to move towards a future where relative impacts by region could be compared on a hemispheric or global level. Eight research foci were identified that will improve the projections of climate impacts on fish, fisheries, and fishery-dependent communities.",2013,"SEP","ICES Journal of Marine Science","70","5","1023-1037","WOS:000323597000011","10.1093/icesjms/fst081","","#5210","Hollowed 2013","","Biotic",FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
"156","The function of international business frameworks for governing companies' climate change-related actions toward the 2050 goals","Hori, S.; Syugyo, S.","At the 22nd Conference of the Parties in 2016, the roles of non-state actors in global climate change were emphasized with a particular focus on international frameworks for corporate activities. Frameworks are intended to serve as international governance to help regulate corporate actions. However, companies' climate-related activities are voluntary and produce several issues. The current research addresses the following questions: How do international business frameworks work for governing and enforcing the practical implementation of corporate activities? In the future, what functions are expected to work for business sectors ensuring the 2050 goals? This study examines the function of international business frameworks from different perspectives according to socio-environmental challenges, enforcement measures, organizers, and embedded problems. First, the development process of the motivation of corporate activities is examined, from Corporate Social Responsibility to the long-term vision. Second, we conduct a thorough review of the public and private regimes and identify three key components of private regimes to achieve effective, legitimate, and compliant functions: participation, accountability, and norms. These three components are not ensured by one regime, but by different types of international frameworks: industry associations, international organizations, and third parties. This study illustrates how these three types of frameworks work with the key components for enforcement. Furthermore, with increasing expectations for corporate actions, companies are creating their own visions and principles to attain the 2050 global goal. This paper demonstrates that the function of international frameworks is expected to strengthen in terms of supporting and governing a company's actions.",2020,"SEP","INTERNATIONAL ENVIRONMENTAL AGREEMENTS-POLITICS LAW AND ECONOMICS","20","3","541-557","WOS:000563128400006","10.1007/s10784-020-09475-7","","#5261","Hori 2020","Tyler McIntosh (2024-08-23 04:48:28)(Select): c1: yes
c2: yes, specifically on climate-related actions
c3: Yes: accepting general references to reducing damage to the environment
c4: yes, global, includes a specific mention of a framework that started in Canada and became international
c5: yes, specific focus on international frameworks; ","Sociocultural",TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
