"","Title","Authors","Abstract","Published Year","Published Month","Journal","Volume","Issue","Pages","Accession Number","DOI","Ref","Covidence #","Study","Notes","Tags","Sociocultural","Biophysical","Biotic","IK","Intervention","Potentially relevant","save for other sections","Transboundary unclear","Perspective paper","Human_movement","Original_study","socio_human","socio_biotic","socio_physical","human_biotic","biotic_physical"
"31","An ecosystem health assessment of the Detroit River and western Lake Erie","Hartig, J. H.; Francoeur, S. N.; Ciborowski, J. J. H.; Gannon, J. E.; Sanders, C. E.; Galvao-Ferreira, P.; Knauss, C. R.; Gell, G.; Berk, K.","The Canada-U.S. State of the Strait Conference is a biennial forum with a 22-year history of assessing ecosystem status and providing advice to improve research, monitoring, and management of the Detroit River and western Lake Erie. The 2019 conference focused on assessing ecosystem health based on 61 indicators. Although there has been considerable improvement in the Detroit River since the 1960s, much additional cleanup is needed to restore ecosystem health. Western Lake Erie is now at risk of crossing several potential tipping points caused by the interactions of a variety of drivers and their stresses. This assessment identified eight environmental and natural resource challenges: climate change; population growth/transportation expansion/land use changes; chemicals of concern; human health/environmental justice; aquatic invasive species; habitat loss/degradation; nonpoint source pollution; and eutrophication/harmful algal blooms. Specific recommendations for addressing each challenge were also made. Climate change is the most pressing environmental challenge of our time and considered a ``threat multiplier"""" whereby warmer, wetter, and more extreme climatic conditions amplify other threats such as poor air quality effects on vulnerable residents, species changes, and nonpoint source runoff and combined sewer overflow events that contribute to eutrophication and can manifest as harmful algal blooms. Our assessment found that investments in monitoring and evaluation are insufficient and that the region's intellectual and environmental capital is not being leveraged sufficiently to address current challenges. Continued investment in this transnational network is essential to support ecosystembased management. (C) 2021 International Association for Great Lakes Research. Published by Elsevier B.V. All rights reserved.",2021,"AUG","Journal of Great Lakes Research","47","4","1241-1256","WOS:000674493000009","10.1016/j.jglr.2021.05.008","","#4889","Hartig 2021","","Biophysical",FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
"32","Threats, biodiversity drivers and restoration in temperate floodplain forests related to spatial scales","Havrdová, A.; Douda, J.; Doudová, J.","Floodplain forests offer a diversity of habitats and resources for a very wide range of plant and animal species. They also offer many benefits to humankind and are considered essential to the mitigation of the effects of climate change. Nevertheless, throughout the world they are suffering the most intense of anthropogenic pressures so are, of all ecosystems, among the most endangered. Here, we bring together and synthesise existing ecological understanding of the mechanisms underlying the high heterogeneity and diversity of temperate floodplain forests and of the pressures threatening their high biological value due to habitat homogenisation. Floodplain forests depend on the periodic disturbances under which they evolved, including fluvial dynamics, traditional management practices and the activities of herbivores. However, they have been heavily degraded by climate change, invasion of exotic species, river-flow regulation, landscape fragmentation, eutrophication and the cessation of traditional management. We can now observe two general trends in temperate floodplain forests: (1) Due to intensive landscape exploitation, they are now more open and thus prone to the spread of competitive species, including of invasive exotics and (2) Due to the cessation of traditional management, along with modified hydrological conditions, they are composed of species in the later successional stages (i.e., more shade-tolerant and mesic) while light-demanding species are quickly vanishing. Restoration practices have brought about contrasting results when restoration of floodplains to their natural states has been problematic. This is likely because of interplay between various natural and artificial processes not previously taken into proper consideration. We would like to draw attention to the fact that restoration projects or the preservation of existing floodplain forest ecosystems should combine the restoration of watercourses with the mitigation of other important threats acting at different scales of the landscape (spread of invasive species, eutrophication of watersheds and inappropriate forest management).",2023,"JAN 1","Science of the Total Environment","854","","","WOS:000867707800013","10.1016/j.scitotenv.2022.158743","","#4936","Havrdová 2023","Elliott Parsons (2024-10-30 13:20:41)(Select): 1 (yes it is a review), 2 = yes, climate change impacts on hydrology, flooding, 3 = yes, mentions composition of forests, 4 = North America = yes (review restricted to northern hemisphere)., 5 = 1 (highly likely - map 1 C shows Canada & US.; Anabel Kinsey (2024-10-15 11:48:30)(Select): Figure 3 shows species at the U.S.-Canada border and the rest of the paper discusses changing floodplain areas. This may be relevant to the transboundary flow. ; ","Biophysical; Biotic; Transboundary unclear",FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE
"33","IMPACTS OF CLIMATE CHANGE ON VEGETATION DISTRIBUTION NO. 2-CLIMATE CHANGE INDUCED VEGETATION SHIFTS IN THE NEW WORLD","Hufnagel, L.; Garamvölgyi, A.","After giving an overview of climate change induced vegetation shifts in the Palearctic region in our previous paper, in this article we review literature available in Web of Science on North and South America. We study different geographical regions such as Canada, Alaska, California, Southwestern, Eastern and Southeastern USA, the Great Lakes region, the Great Plains, intermontane basins and plateaus, Rocky Mountains and the Cascades as well as Central and South America. We summarize main results of relevant field studies, experiments and model simulations. Predicted environmental changes include temperature increases, altering precipitation patterns, droughts, permafrost thaw and ground subsidence in arctic regions, enhanced El Nino Southern Oscillation, sea level rise, increasing salinity of the vadose zone, snowpack declines and various disturbances. All vegetation types are affected by these changes, to the most important phenomena belong e.g. reduction of arctic and alpine communities, decreasing area of taiga, shrub encroachment in tundra areas, northward expansion of the tree line, reduction in wetland areas, invasion, altering forest regeneration patterns, decrease in dominance of conifer species, increased cover of salt-tolerant plant species in tidal marshes, expansion of grassland, compositional and structural changes of grasslands and forests, drying up of bogs, landward migration of mangroves, savannification of forests, expansion of chaparral as well as upward migration of species in the mountains.",2014,"","Applied Ecology and Environmental Research","12","2","355-422","WOS:000342047000004","10.15666/aeer/1202_355422","","#5375","Hufnagel 2014","Laura  Dee (2024-08-21 03:09:37)(Select): highly relevant! I am assuming the range shifts will cross borders or many are implicitly transboundary and North America across borders is included;","Biophysical",FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
"34","Resilience of terrestrial and aquatic fauna to historical and future wildfire regimes in western North America","Jager, H. I.; Long, J. W.; Malison, R. L.; Murphy, B. P.; Rust, A.; Silva, L. G. M.; Sollmann, R.; Steel, Z. L.; Bowen, M. D.; Dunham, J. B.; Ebersole, J. L.; Flitcroft, R. L.","Wildfires in many western North American forests are becoming more frequent, larger, and severe, with changed seasonal patterns. In response, coniferous forest ecosystems will transition toward dominance by fire-adapted hardwoods, shrubs, meadows, and grasslands, which may benefit some faunal communities, but not others. We describe factors that limit and promote faunal resilience to shifting wildfire regimes for terrestrial and aquatic ecosystems. We highlight the potential value of interspersed nonforest patches to terrestrial wildlife. Similarly, we review watershed thresholds and factors that control the resilience of aquatic ecosystems to wildfire, mediated by thermal changes and chemical, debris, and sediment loadings. We present a 2-dimensional life history framework to describe temporal and spatial life history traits that species use to resist wildfire effects or to recover after wildfire disturbance at a metapopulation scale. The role of fire refuge is explored for metapopulations of species. In aquatic systems, recovery of assemblages postfire may be faster for smaller fires where unburned tributary basins or instream structures provide refuge from debris and sediment flows. We envision that more-frequent, lower-severity fires will favor opportunistic species and that less-frequent high-severity fires will favor better competitors. Along the spatial dimension, we hypothesize that fire regimes that are predictable and generate burned patches in close proximity to refuge will favor species that move to refuges and later recolonize, whereas fire regimes that tend to generate less-severely burned patches may favor species that shelter in place. Looking beyond the trees to forest fauna, we consider mitigation options to enhance resilience and buy time for species facing a no-analog future.",2021,"SEP","Ecology and Evolution","11","18","12259-12284","WOS:000691017000001","10.1002/ece3.8026","","#5618","Jager 2021","Elliott Parsons (2024-08-27 10:12:54)(Select): Yes, it is a review (1=yes), 2 = yes, flows are biotic, e.g. """"fire regimes that are seasonally predictable and produce intermediate-sized patches favor migratory species..."""" and this is about how climate change shifts wildfire regimes. 3 yes (biodiversity mentioned throughout, """"wildlife""""). 4 - within NA, yes. 5 (fig 1 map shows AK and entire Western US, and though the border is cropped, it is implied that the fire regimes occur across borders. As well, burn severity will affect migratory behavior which is a transboundary process.; ","Biophysical; Transboundary unclear",FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
"35","Systematic review of documented Indigenous Knowledge of freshwater biodiversity in the circumpolar Arctic","Knopp, J. A.; Levenstein, B.; Watson, A.; Ivanova, I.; Lento, J.","Indigenous Peoples in the Arctic have for millennia relied on freshwaters for drinking water and freshwater species that comprise important subsistence harvests, which promotes a strong connection to the land and unique understanding of organisms and ecosystem processes and changes. Despite the importance of freshwater biodiversity and ecosystem services to Arctic Indigenous communities, there have been limited attempts to summarise available Indigenous Knowledge (IK) regarding Arctic freshwater systems and to understand how conservation can benefit from this knowledge base. This paper presents a systematic review of literature documenting circumpolar Arctic IK with a focus on freshwater biodiversity in Canada, Greenland, Fennoscandia (Norway, Sweden, and Finland), Russia, and the U.S.A. (Alaska). Standardised search terms and methodologies were used to locate relevant documents using Google Scholar and Google Advanced search engines. Thematic coding was used to identify freshwater biodiversity themes within the identified documents. Documented IK of freshwater biodiversity was found from all five geographic regions and included data on both species presence and habitat changes with potential to affect biodiversity. Canada had the highest number of relevant documents (n = 127), followed by the U.S.A. (Alaska;n = 116), Fennoscandia (n = 38), Russia (n = 27), and Greenland (n = 5). The number of relevant documents with IK published per year was highest in most recent years, from 2010 onwards, in all geographic regions. Fish represented the highest number of faunal observations with 59 species observed, approximately half of which were Salmonidae (29 species). Local-scale assessment of fish diversity found observations of the highest number of species (11-25) in Alaska, and individual observations of 6-10 species were found throughout Alaska, mainland areas of Canada, and the Kola Peninsula in Russia. Documented IK also contributed new information on historical fish diversity and indicated local-scale loss or gain of species. Such information is of vital importance to provide long-term records of fish composition and abundance, especially when this information does not exist in other knowledge bases such as western science datasets. Indigenous Knowledge included observations of changes in freshwater and terrestrial habitat associated with a warming climate, such as: decreasing water levels and more draining/drying of lakes and rivers, a shorter period of ice cover (late freeze and early break-up), decreasing ice thickness, and increasing occurrence of permafrost thaw and eroding banks. Such observations by those who actively rely on Arctic freshwater ecosystem services are important because they signify that change is occurring and that action is needed to mitigate the impacts on freshwater habitats and the biodiversity therein. This study demonstrates that previously documented IK provides valuable information towards determining freshwater biodiversity baselines and patterns of change in the circumpolar Arctic. However, these results do not sufficiently cover the depth and breadth of IK on freshwater biodiversity and ecology held by Indigenous communities. Further work incorporating Indigenous worldviews around freshwater ecology would provide context to the knowledge collected and a deeper understanding of Arctic circumpolar freshwater environments.",2022,"JAN","Freshwater Biology","67","1","194-209","WOS:000546714600001","10.1111/fwb.13570","","#6344","Knopp 2022","","Biophysical",FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
"36","A systematic review of the effects of climate variability and change on black and brown bear ecology and interactions with humans","Kurth, K. A.; Malpeli, K. C.; Clark, J. D.; Johnson, H. E.; Manen, F. T. V.","Climate change poses a pervasive threat to humans and wildlife by altering resource availability, changing cooccurrences, and directly or indirectly influencing human-wildlife interactions. For many wildlife agencies in North America, managing bears (Ursus spp.) and human-bear interactions is a priority, yet the direct and indirect effects of climate change are exacerbating management challenges. Understanding the underlying ecological drivers of bear responses to climate variability and change, and the implications for conflict, will be critical for maintaining human-bear coexistence in North America. We synthesized 120 articles that identified direct and indirect mechanisms by which climate variability and change affect brown bears (Ursus arctos) and American black bears (Ursus americanus) in North America. The literature focused on examining climate impacts on bear diet, body size, habitat selection, space use, activity, denning chronology, and population demographics and dynamics. Across these categories, we summarized the documented and projected bear responses and resulting implications for human-bear interactions. Climate-driven changes in natural food availability were frequently implicated in influencing bear behavior and demography, and creating conditions under which interactions with humans are likely to increase. Bears in North America may face increased challenges as habitat and natural food availability continue to be altered by climate change. Our review provides a foundation upon which to identify climate drivers of bear ecology, conditions conducive to human-bear interactions, and adaptive management strategies. Given substantial evidence of climate impacts to bears, incorporating climate considerations into bear management can help managers strategically allocate resources and promote human-bear coexistence.",2024,"MAR","Biological Conservation","291","","","WOS:001187659800001","10.1016/j.biocon.2024.110500","","#6605","Kurth 2024","","Biophysical; Transboundary unclear",FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
"37","Analysis of the Effect of Climate Warming on Paludification Processes: Will Soil Conditions Limit the Adaptation of Northern Boreal Forests to Climate Change? A Synthesis","Laamrani, A.; Valeria, O.; Chehbouni, A.; Bergeron, Y.","Northern boreal forests are characterized by accumulation of accumulation of peat (e.g., known as paludification). The functioning of northern boreal forest species and their capacity to adapt to environmental changes appear to depend on soil conditions. Climate warming is expected to have particularly pronounced effects on paludified boreal ecosystems and can alter current forest species composition and adaptation by changing soil conditions such as moisture, temperature regimes, and soil respiration. In this paper, we review and synthesize results from various reported studies (i.e., 88 research articles cited hereafter) to assess the effects of climatic warming on soil conditions of paludified forests in North America. Predictions that global warming may increase the decomposition rate must be considered in combination with its impact on soil moisture, which appears to be a limiting factor. Local adaptation or acclimation to current climatic conditions is occurring in boreal forests, which is likely to be important for continued ecosystem stability in the context of climate change. The most commonly cited response of boreal forest species to global warming is a northward migration that tracks the climate and soil conditions (e.g., temperature and moisture) to which they are adapted. Yet, some constraints may influence this kind of adaptation, such as water availability, changes in fire regimes, decomposer adaptations, and the dynamic of peat accumulation. In this paper, as a study case, we examined an example of potential effects of climatic warming on future paludification changes in the eastern lowland region of Canada through three different combined hypothetical scenarios based on temperature and precipitation (e.g., unchanged, increase, or decrease). An increase scenario in precipitation will likely favor peat accumulation in boreal forest stands prone to paludification and facilitate forested peatland expansion into upland forest, while decreased or unchanged precipitation combined with an increase in temperature will probably favor succession of forested peatlands to upland boreal forests. Each of the three scenarios were discussed in this study, and consequent silvicultural treatment options were suggested for each scenario to cope with anticipated soil and species changes in the boreal forests. We concluded that, despite the fact boreal soils will not constrain adaptation of boreal forests, some consequences of climatic warming may reduce the ability of certain species to respond to natural disturbances such as pest and disease outbreaks, and extreme weather events.",2020,"NOV","Forests","11","11","","WOS:000593215700001","10.3390/f11111176","","#6637","Laamrani 2020","","Biophysical; Biotic; Intervention; Transboundary unclear",FALSE,TRUE,TRUE,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE
"38","Climate change, tropical fisheries and prospects for sustainable development","Lam, V. W. Y.; Allison, E. H.; Bell, J. D.; Blythe, J.; Cheung, W. W. L.; Frölicher, T. L.; Gasalla, M. A.; Sumaila, U. R.","Tropical fisheries substantially contribute to the well-being of societies in both the tropics and the extratropics, the latter through 'telecoupling' - linkages between distant human-natural systems. Tropical marine habitats and fish stocks, however, are vulnerable to the physical and biogeochemical oceanic changes associated with rising greenhouse gases. These changes to fish stocks, and subsequent impacts on fish production, have substantial implications for the UN Sustainable Development Goals. In this Review, we synthesize the effects of climate change on tropical marine fisheries, highlighting the socio-economic impacts to both tropical and extratropical nations, and discuss potential adaptation measures. Driven by ocean warming, acidification, deoxygenation and sea-level rise, the maximum catch potential of tropical fish stocks in some tropical exclusive economic zones is projected to decline by up to 40% by the 2050s under the RCP8.5 emissions scenario, relative to the 2000s. Climate-driven reductions in fisheries production and alterations in fish-species composition will subsequently increase the vulnerability of tropical countries with limited adaptive capacity. Thus, given the billions of people dependent on tropical marine fisheries in some capacity, there is a clear need to account for the effects of climate change on these resources and identify practical adaptations when building climate-resilient sustainable-development pathways. Stressors arising from anthropogenic climate change threaten tropical fisheries and, in turn, those extratropical nations reliant on them. This Review discusses the impact of climate change on tropical fish stocks and catch potential, the corresponding telecoupling and subsequent adaptation measures.",2020,"SEP","NATURE REVIEWS EARTH & ENVIRONMENT","1","9","440-454","WOS:000649448400006","10.1038/s43017-020-0071-9","","#6678","Lam 2020","Elliott Parsons (2024-08-17 09:49:05)(Select): review =yes, flows = biotic (marine tropical fish), and sociocultural (fishing), climate change is mentioned as a factor (yes=2), biodiversity = yes (marine fisheries), NA (4=yes, Pacific Islands are mentioned), 5 = yes (esp. due to telecoupling - people eating Marine fish that are transported away from where they are caught).; ","Biophysical; Transboundary unclear",FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
"39","Wildfire Risk and Hazardous Fuel Reduction Treatments Along the US-Mexico Border: A Review of the Science (1986-2019)","Laushman, K. M.; Munson, S. M.; Villarreal, M. L.","The ecosystems along the border between the United States and Mexico are at increasing risk to wildfire due to interactions among climate, land-use, and fuel loads. A wide range of fuel treatments have been implemented to mitigate wildfire and its threats to valued resources, yet we have little information about treatment effectiveness. To fill critical knowledge gaps, we reviewed wildfire risk and fuel treatment studies that were conducted near the US-Mexico border and published in the peer-reviewed literature between 1986 and 2019. The number of studies has grown during this time in warm desert to forest ecosystems on primarily federal lands. The most common study topics included fire effects on native species, the role of invasive species and woody encroachment on wildfire risk, historical fire regimes, and remote sensing and modeling to study wildfire risk across the landscape. A majority of fuel treatment studies focused on prescribed burns, and fuel treatments collectively had mixed effects on mitigating future wildfire risk and threats to ecosystems depending on vegetation and fire characteristics. The diversity of ecosystems and land ownership along the US-Mexico border present unique challenges for understanding and managing wildfire risk, and also create opportunities for collaboration and cross-site studies to promote knowledge across broad environmental gradients.",2020,"SEP","AIR SOIL AND WATER RESEARCH","13","","","WOS:000570728900001","10.1177/1178622120950272","","#6763","Laushman 2020","","Biophysical",FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
"40","The Relationship Between US East Coast Sea Level and the Atlantic Meridional Overturning Circulation: A Review","Little, C. M.; Hu, A. X.; Hughes, C. W.; McCarthy, G. D.; Piecuch, C. G.; Ponte, R. M.; Thomas, M. D.","Scientific and societal interest in the relationship between the Atlantic Meridional Overturning Circulation (AMOC) and U.S. East Coast sea level has intensified over the past decade, largely due to (1) projected, and potentially ongoing, enhancement of sea level rise associated with AMOC weakening and (2) the potential for observations of U.S. East Coast sea level to inform reconstructions of North Atlantic circulation and climate. These implications have inspired a wealth of model- and observation-based analyses. Here, we review this research, finding consistent support in numerical models for an antiphase relationship between AMOC strength and dynamic sea level. However, simulations exhibit substantial along-coast and intermodel differences in the amplitude of AMOC-associated dynamic sea level variability. Observational analyses focusing on shorter (generally less than decadal) timescales show robust relationships between some components of the North Atlantic large-scale circulation and coastal sea level variability, but the causal relationships between different observational metrics, AMOC, and sea level are often unclear. We highlight the importance of existing and future research seeking to understand relationships between AMOC and its component currents, the role of ageostrophic processes near the coast, and the interplay of local and remote forcing. Such research will help reconcile the results of different numerical simulations with each other and with observations, inform the physical origins of covariability, and reveal the sensitivity of scaling relationships to forcing, timescale, and model representation. This information will, in turn, provide a more complete characterization of uncertainty in relevant relationships, leading to more robust reconstructions and projections.",2019,"SEP","JOURNAL OF GEOPHYSICAL RESEARCH-OCEANS","124","9","6435-6458","WOS:000492197000001","10.1029/2019JC015152","","#7208","Little 2019","","Biophysical",FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
"41","Changes in the global cryosphere and their impacts: A review and new perspective","Liu, S. Y.; Wu, T. H.; Wang, X.; Wu, X. D.; Yao, X. J.; Liu, Q.; Zhang, Y.; Wei, J. F.; Zhu, X. F.","As one of the five components of Earth's climatic system, the cryosphere has been undergoing rapid shrinking due to global warming. Studies on the formation, evolution, distribution and dynamics of cryospheric components and their interactions with the human system are of increasing importance to society. In recent decades, the mass loss of glaciers, including the Greenland and Antarctic ice sheets, has accelerated. The extent of sea ice and snow cover has been shrinking, and permafrost has been degrading. The main sustainable development goals in cryospheric regions have been impacted. The shrinking of the cryosphere results in sea-level rise, which is currently affecting, or is soon expected to affect, 17 coastal megacities and some small island countries. In East Asia, South Asia and North America, climate anomalies are closely related to the extent of Arctic sea ice and snow cover in the Northern Hemisphere. Increasing freshwater melting from the ice sheets and sea ice may be one reason for the slowdown in Atlantic meridional overturning circulation in the Arctic and Southern Oceans. The foundations of ports and infrastructure in the circum-Arctic permafrost regions suffer from the consequences of permafrost degradation. In high plateaus and mountainous regions, the cryosphere's shrinking has led to fluctuations in river runoff, caused water shortages and increased flooding risks in certain areas. These changes in cryospheric components have shown significant heterogeneity at different temporal and spatial scales. Our results suggest that the quantitative evaluation of future changes in the cryosphere still needs to be improved by enhancing existing observations and model simulations. Theoretical and methodological innovations are required to strengthen social economies' resilience to the impact of cryospheric change.",2020,"DEC","Sciences in Cold and Arid Regions","12","6","343-354","WOS:000608477500003","10.3724/SP.J.1226.2020.00343","","#7263","Liu 2020","Elliott Parsons (2024-08-27 04:35:26)(Select): Paper is a review (1=yes), climate change is included and it affects both biophysical and biotic flows (2=yes), they do relate it to biodiversity (3=yes), it is global so 4=yes, and yes, there is reason to believe flows will be transboundary (movement of water, species, etc.), so 5=yes.; ","Biophysical; Transboundary unclear",FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
"42","What are the effects of climate variability and change on ungulate life-histories, population dynamics, and migration in North America? A systematic map protocol","Malpeli, K. C.; Weiskopf, S. R.; Thompson, L.; Hardy, A. R.","Background: Climate is an important driver of ungulate life-histories, population dynamics, and migratory behaviors, and can affect the growth, development, fecundity, dispersal, and demographic trends of populations. Changes in temperature and precipitation, and resulting shifts in plant phenology, winter severity, drought and wildfire conditions, invasive species distribution and abundance, predation, and disease have the potential to directly or indirectly affect ungulates. However, ungulate responses to climate variability and change are not uniform and vary by species and geography. Here, we present a systematic map protocol aiming to describe the abundance and distribution of evidence on the effects of climate variability and change on ungulate life-histories, population dynamics, and migration in North America. This map will help to identify knowledge gaps and clusters of evidence, and can be used to inform future research directions and adaptive management strategies. Methods: We will catalogue evidence on how climate variability and change affect the life-histories, population dynamics, and migration patterns of the fifteen ungulate species native to North America. We will search both academic and grey literature, using academic journal databases and specialist websites. Articles will be screened for inclusion at the title/abstract and full-text levels, and data will be extracted from articles that pass the full-text review. These data will be summarized quantitatively, visually, and with a narrative review to describe the distribution and abundance of evidence on the effects of climate variability and change on ungulates in North America.",2020,"SEP 11","Environmental Evidence","9","1","","WOS:000571748200003","10.1186/s13750-020-00204-w","","#7700","Malpeli 2020","Alice Gaalswyk (2024-08-25 04:45:23)(Select): actual map is not included, but this article and the map it proposes are still very relevant to the chapter ; ","Biophysical",FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
"43","Composition and carbon dynamics of forests in northeastern North America in a future, warmer world","Mohan, J. E.; Cox, R. M.; Iverson, L. R.","Increasing temperatures, precipitation extremes, and other anthropogenic influences (pollutant deposition, increasing carbon dioxide) will influence future forest composition and productivity in the northeastern United States and eastern Canada. This synthesis of empirical and modeling studies includes tree DNA evidence suggesting tree migrations since the last glaciation were much slower, at least under postglacial conditions, than is needed to keep up with current and future climate warming. Exceedances of US and Canadian ozone air quality standards are apparent and offset CO2-induced gains in biomass and predispose trees to other stresses. The deposition of nitrogen and sulfate in the northeastern United States changes forest nutrient availability and retention, reduces reproductive success and frost hardiness, causes physical damage to leaf surfaces, and alters performance of forest pests and diseases. These interacting stresses may increase future tree declines and ecosystem disturbances during transition to a warmer climate. Recent modeling work predicts warmer climates will increase suitable habitat (not necessarily actual distribution) for most tree species in the northeastern United States. Species whose habitat is declining in the northeastern United States currently occur in Canadian forests and may expand northward with warming. Paleoecological studies suggest local factors may interact with, even overwhelm, climatic effects, causing lags and thresholds leading to sudden large shifts in vegetation.",2009,"FEB","Canadian Journal of Forest Research","39","2","213-230","WOS:000265054300002","10.1139/X08-185","","#8354","Mohan 2009","","Biophysical",FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
"44","Evolution of hydrological and carbon cycles under a changing climate. Part III: global change impacts on landscape scale evapotranspiration","Mu, Q. Z.; Zhao, M. S.; Running, S. W.","Hydrological and carbon cycles are inherently coupled and play a pivotal role in the earth system. Water stress is one of the most limiting factors constraining vegetation productivity in both direct and indirect ways (mainly through nutrition cycling). In this article, we first reviewed the concepts of hydrological and carbon cycles and their interactions and then summarized recent advances in our understanding of how global climate change affects water stress, ecosystem carbon cycling, disturbances, and water use efficiency. A warming climate may continue to benefit plant growth in energy limited areas such as high latitudes and altitudes. However, over many water-limited regions of the world, a warming climate has led to a drying trend, posing negative effects on land carbon sink capability, as shown by reductions in vegetation growth and increases in ecosystem disturbances (wildfires, insect outbreaks, and tree mortality). Carbon cycle and water use efficiency have responded to climate change in different ways in different areas. Further integrating information from climate records, flux measurements at eddy flux towers, and observations from satellites will greatly advance our understanding of the hydrological and carbon cycles and their evolution. Advancement in our understanding of the evolution of hydrological and carbon cycles under the changing climate will help us to adapt and mitigate the adverse effects of climate change. Copyright (C) 2011 John Wiley & Sons, Ltd.",2011,"DEC 30","Hydrological Processes","25","26","4093-4102","WOS:000298477300011","10.1002/hyp.8367","","#8561","Mu 2011","Matthew Schumm (2024-09-01 10:49:48)(Select): Discussion of changing stream flow in Rockies due to climate change on pg 4098 may be implicitly transboundary.;","Biophysical; Transboundary unclear",FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
"45","Impacts of altered precipitation regimes on soil communities and biogeochemistry in arid and semi-arid ecosystems","Nielsen, U. N.; Ball, B. A.","Altered precipitation patterns resulting from climate change will have particularly significant consequences in water-limited ecosystems, such as arid to semi-arid ecosystems, where discontinuous inputs of water control biological processes. Given that these ecosystems cover more than a third of Earth's terrestrial surface, it is important to understand how they respond to such alterations. Altered water availability may impact both aboveground and belowground communities and the interactions between these, with potential impacts on ecosystem functioning; however, most studies to date have focused exclusively on vegetation responses to altered precipitation regimes. To synthesize our understanding of potential climate change impacts on dryland ecosystems, we present here a review of current literature that reports the effects of precipitation events and altered precipitation regimes on belowground biota and biogeochemical cycling. Increased precipitation generally increases microbial biomass and fungal:bacterial ratio. Few studies report responses to reduced precipitation but the effects likely counter those of increased precipitation. Altered precipitation regimes have also been found to alter microbial community composition but broader generalizations are difficult to make. Changes in event size and frequency influences invertebrate activity and density with cascading impacts on the soil food web, which will likely impact carbon and nutrient pools. The long-term implications for biogeochemical cycling are inconclusive but several studies suggest that increased aridity may cause decoupling of carbon and nutrient cycling. We propose a new conceptual framework that incorporates hierarchical biotic responses to individual precipitation events more explicitly, including moderation of microbial activity and biomass by invertebrate grazing, and use this framework to make some predictions on impacts of altered precipitation regimes in terms of event size and frequency as well as mean annual precipitation. While our understanding of dryland ecosystems is improving, there is still a great need for longer term in situ manipulations of precipitation regime to test our model.",2015,"APR","Global Change Biology","21","4","1407-1421","WOS:000351214100006","10.1111/gcb.12789","","#8874","Nielsen 2015","","Biophysical; Transboundary unclear",FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
