"","Flow","Impact","ImpactDirection","count"
"33","X2.7.Altered.Flow..Other","X2.12.Impact..Abundance","Complex",5
"34","X2.7.Altered.Flow..Quantity","X2.12.Impact..Richness","Increase",7
"35","X2.7.Altered.Flow..Quantity","X2.12.Impact..Richness","Decrease",11
"36","X2.7.Altered.Flow..Quantity","X2.12.Impact..Richness","Complex",31
"37","X2.7.Altered.Flow..Direction","X2.12.Impact..Richness","Increase",3
"38","X2.7.Altered.Flow..Direction","X2.12.Impact..Richness","Decrease",6
"39","X2.7.Altered.Flow..Direction","X2.12.Impact..Richness","Complex",22
"40","X2.7.Altered.Flow..Location","X2.12.Impact..Richness","Increase",5
"41","X2.7.Altered.Flow..Location","X2.12.Impact..Richness","Decrease",10
"42","X2.7.Altered.Flow..Location","X2.12.Impact..Richness","Complex",25
"43","X2.7.Altered.Flow..Distance","X2.12.Impact..Richness","Increase",1
"44","X2.7.Altered.Flow..Distance","X2.12.Impact..Richness","Decrease",5
"45","X2.7.Altered.Flow..Distance","X2.12.Impact..Richness","Complex",14
"46","X2.7.Altered.Flow..Timing","X2.12.Impact..Richness","Increase",5
"47","X2.7.Altered.Flow..Timing","X2.12.Impact..Richness","Decrease",5
"48","X2.7.Altered.Flow..Timing","X2.12.Impact..Richness","Complex",25
"49","X2.7.Altered.Flow..Frequency","X2.12.Impact..Richness","Increase",3
"50","X2.7.Altered.Flow..Frequency","X2.12.Impact..Richness","Decrease",5
"51","X2.7.Altered.Flow..Frequency","X2.12.Impact..Richness","Complex",13
"52","X2.7.Altered.Flow..Duration","X2.12.Impact..Richness","Increase",7
"53","X2.7.Altered.Flow..Duration","X2.12.Impact..Richness","Decrease",2
"54","X2.7.Altered.Flow..Duration","X2.12.Impact..Richness","Complex",15
"55","X2.7.Altered.Flow..Speed","X2.12.Impact..Richness","Increase",2
"56","X2.7.Altered.Flow..Speed","X2.12.Impact..Richness","Decrease",2
"57","X2.7.Altered.Flow..Speed","X2.12.Impact..Richness","Complex",13
"58","X2.7.Altered.Flow..Feedbacks","X2.12.Impact..Richness","Increase",3
"59","X2.7.Altered.Flow..Feedbacks","X2.12.Impact..Richness","Decrease",5
"60","X2.7.Altered.Flow..Feedbacks","X2.12.Impact..Richness","Complex",20
"61","X2.7.Altered.Flow..Mechanism","X2.12.Impact..Richness","Increase",1
"62","X2.7.Altered.Flow..Mechanism","X2.12.Impact..Richness","Decrease",1
"63","X2.7.Altered.Flow..Mechanism","X2.12.Impact..Richness","Complex",18
"64","X2.7.Altered.Flow..Other","X2.12.Impact..Richness","Increase",1
"65","X2.7.Altered.Flow..Other","X2.12.Impact..Richness","Complex",3
"66","X2.7.Altered.Flow..Quantity","X2.12.Impact..Loss","Increase",20
"67","X2.7.Altered.Flow..Quantity","X2.12.Impact..Loss","Decrease",4
"68","X2.7.Altered.Flow..Quantity","X2.12.Impact..Loss","Complex",15
"69","X2.7.Altered.Flow..Direction","X2.12.Impact..Loss","Increase",14
"70","X2.7.Altered.Flow..Direction","X2.12.Impact..Loss","Decrease",4
"71","X2.7.Altered.Flow..Direction","X2.12.Impact..Loss","Complex",10
"72","X2.7.Altered.Flow..Location","X2.12.Impact..Loss","Increase",17
"73","X2.7.Altered.Flow..Location","X2.12.Impact..Loss","Decrease",5
"74","X2.7.Altered.Flow..Location","X2.12.Impact..Loss","Complex",13
"75","X2.7.Altered.Flow..Distance","X2.12.Impact..Loss","Increase",12
"76","X2.7.Altered.Flow..Distance","X2.12.Impact..Loss","Decrease",3
"77","X2.7.Altered.Flow..Distance","X2.12.Impact..Loss","Complex",6
"78","X2.7.Altered.Flow..Timing","X2.12.Impact..Loss","Increase",13
"79","X2.7.Altered.Flow..Timing","X2.12.Impact..Loss","Decrease",3
"80","X2.7.Altered.Flow..Timing","X2.12.Impact..Loss","Complex",9
"81","X2.7.Altered.Flow..Frequency","X2.12.Impact..Loss","Increase",7
"82","X2.7.Altered.Flow..Frequency","X2.12.Impact..Loss","Decrease",3
"83","X2.7.Altered.Flow..Frequency","X2.12.Impact..Loss","Complex",8
"84","X2.7.Altered.Flow..Duration","X2.12.Impact..Loss","Increase",10
"85","X2.7.Altered.Flow..Duration","X2.12.Impact..Loss","Decrease",4
"86","X2.7.Altered.Flow..Duration","X2.12.Impact..Loss","Complex",8
"87","X2.7.Altered.Flow..Speed","X2.12.Impact..Loss","Increase",10
"88","X2.7.Altered.Flow..Speed","X2.12.Impact..Loss","Decrease",3
"89","X2.7.Altered.Flow..Speed","X2.12.Impact..Loss","Complex",6
"90","X2.7.Altered.Flow..Feedbacks","X2.12.Impact..Loss","Increase",13
"91","X2.7.Altered.Flow..Feedbacks","X2.12.Impact..Loss","Decrease",3
"92","X2.7.Altered.Flow..Feedbacks","X2.12.Impact..Loss","Complex",6
"93","X2.7.Altered.Flow..Mechanism","X2.12.Impact..Loss","Increase",10
"94","X2.7.Altered.Flow..Mechanism","X2.12.Impact..Loss","Decrease",3
"95","X2.7.Altered.Flow..Mechanism","X2.12.Impact..Loss","Complex",6
"96","X2.7.Altered.Flow..Other","X2.12.Impact..Loss","Increase",3
"97","X2.7.Altered.Flow..Quantity","X2.12.Impact..Disease","Increase",52
"98","X2.7.Altered.Flow..Quantity","X2.12.Impact..Disease","Complex",7
"99","X2.7.Altered.Flow..Direction","X2.12.Impact..Disease","Increase",16
"100","X2.7.Altered.Flow..Direction","X2.12.Impact..Disease","Complex",2
"101","X2.7.Altered.Flow..Location","X2.12.Impact..Disease","Increase",49
"102","X2.7.Altered.Flow..Location","X2.12.Impact..Disease","Complex",6
"103","X2.7.Altered.Flow..Distance","X2.12.Impact..Disease","Increase",16
"104","X2.7.Altered.Flow..Distance","X2.12.Impact..Disease","Complex",2
"105","X2.7.Altered.Flow..Timing","X2.12.Impact..Disease","Increase",22
"106","X2.7.Altered.Flow..Timing","X2.12.Impact..Disease","Complex",2
"107","X2.7.Altered.Flow..Frequency","X2.12.Impact..Disease","Increase",25
"108","X2.7.Altered.Flow..Frequency","X2.12.Impact..Disease","Complex",1
"109","X2.7.Altered.Flow..Duration","X2.12.Impact..Disease","Increase",20
"110","X2.7.Altered.Flow..Duration","X2.12.Impact..Disease","Complex",2
"111","X2.7.Altered.Flow..Speed","X2.12.Impact..Disease","Increase",7
"112","X2.7.Altered.Flow..Speed","X2.12.Impact..Disease","Complex",2
"113","X2.7.Altered.Flow..Feedbacks","X2.12.Impact..Disease","Increase",20
"114","X2.7.Altered.Flow..Feedbacks","X2.12.Impact..Disease","Complex",2
"115","X2.7.Altered.Flow..Mechanism","X2.12.Impact..Disease","Increase",16
"116","X2.7.Altered.Flow..Mechanism","X2.12.Impact..Disease","Complex",2
"117","X2.7.Altered.Flow..Quantity","X2.12.Impact..Invasion","Increase",42
"118","X2.7.Altered.Flow..Quantity","X2.12.Impact..Invasion","Complex",6
"119","X2.7.Altered.Flow..Direction","X2.12.Impact..Invasion","Increase",18
"120","X2.7.Altered.Flow..Direction","X2.12.Impact..Invasion","Complex",3
"121","X2.7.Altered.Flow..Location","X2.12.Impact..Invasion","Increase",33
"122","X2.7.Altered.Flow..Location","X2.12.Impact..Invasion","Complex",4
"123","X2.7.Altered.Flow..Distance","X2.12.Impact..Invasion","Increase",19
"124","X2.7.Altered.Flow..Distance","X2.12.Impact..Invasion","Complex",2
"125","X2.7.Altered.Flow..Timing","X2.12.Impact..Invasion","Increase",20
"126","X2.7.Altered.Flow..Timing","X2.12.Impact..Invasion","Complex",3
"127","X2.7.Altered.Flow..Frequency","X2.12.Impact..Invasion","Increase",19
"128","X2.7.Altered.Flow..Frequency","X2.12.Impact..Invasion","Complex",3
"129","X2.7.Altered.Flow..Duration","X2.12.Impact..Invasion","Increase",19
"130","X2.7.Altered.Flow..Duration","X2.12.Impact..Invasion","Complex",4
"131","X2.7.Altered.Flow..Speed","X2.12.Impact..Invasion","Increase",10
"132","X2.7.Altered.Flow..Speed","X2.12.Impact..Invasion","Complex",2
"133","X2.7.Altered.Flow..Feedbacks","X2.12.Impact..Invasion","Increase",24
"134","X2.7.Altered.Flow..Feedbacks","X2.12.Impact..Invasion","Complex",2
"135","X2.7.Altered.Flow..Mechanism","X2.12.Impact..Invasion","Increase",15
"136","X2.7.Altered.Flow..Mechanism","X2.12.Impact..Invasion","Complex",2
"137","X2.7.Altered.Flow..Quantity","X2.12.Impact..Composition","Increase",13
"138","X2.7.Altered.Flow..Quantity","X2.12.Impact..Composition","Complex",62
"139","X2.7.Altered.Flow..Direction","X2.12.Impact..Composition","Increase",5
"140","X2.7.Altered.Flow..Direction","X2.12.Impact..Composition","Complex",39
"141","X2.7.Altered.Flow..Location","X2.12.Impact..Composition","Increase",8
"142","X2.7.Altered.Flow..Location","X2.12.Impact..Composition","Decrease",1
"143","X2.7.Altered.Flow..Location","X2.12.Impact..Composition","Complex",48
"144","X2.7.Altered.Flow..Distance","X2.12.Impact..Composition","Increase",4
"145","X2.7.Altered.Flow..Distance","X2.12.Impact..Composition","Complex",30
"146","X2.7.Altered.Flow..Timing","X2.12.Impact..Composition","Increase",10
"147","X2.7.Altered.Flow..Timing","X2.12.Impact..Composition","Decrease",1
"148","X2.7.Altered.Flow..Timing","X2.12.Impact..Composition","Complex",38
"149","X2.7.Altered.Flow..Frequency","X2.12.Impact..Composition","Increase",6
"150","X2.7.Altered.Flow..Frequency","X2.12.Impact..Composition","Decrease",1
"151","X2.7.Altered.Flow..Frequency","X2.12.Impact..Composition","Complex",30
"152","X2.7.Altered.Flow..Duration","X2.12.Impact..Composition","Increase",9
"153","X2.7.Altered.Flow..Duration","X2.12.Impact..Composition","Decrease",2
"154","X2.7.Altered.Flow..Duration","X2.12.Impact..Composition","Complex",36
"155","X2.7.Altered.Flow..Speed","X2.12.Impact..Composition","Increase",1
"156","X2.7.Altered.Flow..Speed","X2.12.Impact..Composition","Decrease",1
"157","X2.7.Altered.Flow..Speed","X2.12.Impact..Composition","Complex",26
"158","X2.7.Altered.Flow..Feedbacks","X2.12.Impact..Composition","Increase",8
"159","X2.7.Altered.Flow..Feedbacks","X2.12.Impact..Composition","Complex",36
"160","X2.7.Altered.Flow..Mechanism","X2.12.Impact..Composition","Increase",1
"161","X2.7.Altered.Flow..Mechanism","X2.12.Impact..Composition","Complex",28
"162","X2.7.Altered.Flow..Other","X2.12.Impact..Composition","Increase",2
"163","X2.7.Altered.Flow..Other","X2.12.Impact..Composition","Complex",2
"164","X2.7.Altered.Flow..Quantity","X2.12.Impact..Genetics","Increase",2
"165","X2.7.Altered.Flow..Quantity","X2.12.Impact..Genetics","Decrease",8
"166","X2.7.Altered.Flow..Quantity","X2.12.Impact..Genetics","Complex",12
"167","X2.7.Altered.Flow..Direction","X2.12.Impact..Genetics","Decrease",6
"168","X2.7.Altered.Flow..Direction","X2.12.Impact..Genetics","Complex",4
"169","X2.7.Altered.Flow..Location","X2.12.Impact..Genetics","Increase",2
"170","X2.7.Altered.Flow..Location","X2.12.Impact..Genetics","Decrease",8
"171","X2.7.Altered.Flow..Location","X2.12.Impact..Genetics","Complex",9
"172","X2.7.Altered.Flow..Distance","X2.12.Impact..Genetics","Increase",2
"173","X2.7.Altered.Flow..Distance","X2.12.Impact..Genetics","Decrease",7
"174","X2.7.Altered.Flow..Distance","X2.12.Impact..Genetics","Complex",4
"175","X2.7.Altered.Flow..Timing","X2.12.Impact..Genetics","Decrease",4
"176","X2.7.Altered.Flow..Timing","X2.12.Impact..Genetics","Complex",9
"177","X2.7.Altered.Flow..Frequency","X2.12.Impact..Genetics","Decrease",2
"178","X2.7.Altered.Flow..Frequency","X2.12.Impact..Genetics","Complex",5
"179","X2.7.Altered.Flow..Duration","X2.12.Impact..Genetics","Decrease",2
"180","X2.7.Altered.Flow..Duration","X2.12.Impact..Genetics","Complex",6
"181","X2.7.Altered.Flow..Speed","X2.12.Impact..Genetics","Decrease",2
"182","X2.7.Altered.Flow..Speed","X2.12.Impact..Genetics","Complex",3
"183","X2.7.Altered.Flow..Feedbacks","X2.12.Impact..Genetics","Decrease",5
"184","X2.7.Altered.Flow..Feedbacks","X2.12.Impact..Genetics","Complex",8
"185","X2.7.Altered.Flow..Mechanism","X2.12.Impact..Genetics","Decrease",5
"186","X2.7.Altered.Flow..Mechanism","X2.12.Impact..Genetics","Complex",6
"187","X2.7.Altered.Flow..Other","X2.12.Impact..Genetics","Decrease",1
"188","X2.7.Altered.Flow..Quantity","X2.12.Impact..Land.Use.Loss","Increase",19
"189","X2.7.Altered.Flow..Quantity","X2.12.Impact..Land.Use.Loss","Decrease",5
"190","X2.7.Altered.Flow..Quantity","X2.12.Impact..Land.Use.Loss","Complex",2
"191","X2.7.Altered.Flow..Direction","X2.12.Impact..Land.Use.Loss","Increase",14
"192","X2.7.Altered.Flow..Direction","X2.12.Impact..Land.Use.Loss","Decrease",3
"193","X2.7.Altered.Flow..Direction","X2.12.Impact..Land.Use.Loss","Complex",2
"194","X2.7.Altered.Flow..Location","X2.12.Impact..Land.Use.Loss","Increase",15
"195","X2.7.Altered.Flow..Location","X2.12.Impact..Land.Use.Loss","Decrease",3
"196","X2.7.Altered.Flow..Location","X2.12.Impact..Land.Use.Loss","Complex",2
"197","X2.7.Altered.Flow..Distance","X2.12.Impact..Land.Use.Loss","Increase",12
"198","X2.7.Altered.Flow..Distance","X2.12.Impact..Land.Use.Loss","Decrease",2
"199","X2.7.Altered.Flow..Distance","X2.12.Impact..Land.Use.Loss","Complex",2
"200","X2.7.Altered.Flow..Timing","X2.12.Impact..Land.Use.Loss","Increase",10
"201","X2.7.Altered.Flow..Timing","X2.12.Impact..Land.Use.Loss","Decrease",5
"202","X2.7.Altered.Flow..Timing","X2.12.Impact..Land.Use.Loss","Complex",2
"203","X2.7.Altered.Flow..Frequency","X2.12.Impact..Land.Use.Loss","Increase",10
"204","X2.7.Altered.Flow..Frequency","X2.12.Impact..Land.Use.Loss","Decrease",4
"205","X2.7.Altered.Flow..Frequency","X2.12.Impact..Land.Use.Loss","Complex",2
"206","X2.7.Altered.Flow..Duration","X2.12.Impact..Land.Use.Loss","Increase",8
"207","X2.7.Altered.Flow..Duration","X2.12.Impact..Land.Use.Loss","Decrease",3
"208","X2.7.Altered.Flow..Duration","X2.12.Impact..Land.Use.Loss","Complex",2
"209","X2.7.Altered.Flow..Speed","X2.12.Impact..Land.Use.Loss","Increase",9
"210","X2.7.Altered.Flow..Speed","X2.12.Impact..Land.Use.Loss","Decrease",1
"211","X2.7.Altered.Flow..Speed","X2.12.Impact..Land.Use.Loss","Complex",2
"212","X2.7.Altered.Flow..Feedbacks","X2.12.Impact..Land.Use.Loss","Increase",10
"213","X2.7.Altered.Flow..Feedbacks","X2.12.Impact..Land.Use.Loss","Decrease",4
"214","X2.7.Altered.Flow..Feedbacks","X2.12.Impact..Land.Use.Loss","Complex",2
"215","X2.7.Altered.Flow..Mechanism","X2.12.Impact..Land.Use.Loss","Increase",9
"216","X2.7.Altered.Flow..Mechanism","X2.12.Impact..Land.Use.Loss","Decrease",1
"217","X2.7.Altered.Flow..Mechanism","X2.12.Impact..Land.Use.Loss","Complex",2
"218","X2.7.Altered.Flow..Other","X2.12.Impact..Land.Use.Loss","Increase",1
"219","X2.7.Altered.Flow..Quantity","X2.12.Impact..Land.Use.Restore","Increase",6
"220","X2.7.Altered.Flow..Quantity","X2.12.Impact..Land.Use.Restore","Decrease",4
"221","X2.7.Altered.Flow..Quantity","X2.12.Impact..Land.Use.Restore","Complex",5
"222","X2.7.Altered.Flow..Direction","X2.12.Impact..Land.Use.Restore","Increase",5
"223","X2.7.Altered.Flow..Direction","X2.12.Impact..Land.Use.Restore","Decrease",4
"224","X2.7.Altered.Flow..Direction","X2.12.Impact..Land.Use.Restore","Complex",5
"225","X2.7.Altered.Flow..Location","X2.12.Impact..Land.Use.Restore","Increase",5
"226","X2.7.Altered.Flow..Location","X2.12.Impact..Land.Use.Restore","Decrease",4
"227","X2.7.Altered.Flow..Location","X2.12.Impact..Land.Use.Restore","Complex",3
"228","X2.7.Altered.Flow..Distance","X2.12.Impact..Land.Use.Restore","Increase",3
"229","X2.7.Altered.Flow..Distance","X2.12.Impact..Land.Use.Restore","Decrease",4
"230","X2.7.Altered.Flow..Distance","X2.12.Impact..Land.Use.Restore","Complex",4
"231","X2.7.Altered.Flow..Timing","X2.12.Impact..Land.Use.Restore","Increase",5
"232","X2.7.Altered.Flow..Timing","X2.12.Impact..Land.Use.Restore","Decrease",3
"233","X2.7.Altered.Flow..Timing","X2.12.Impact..Land.Use.Restore","Complex",4
"234","X2.7.Altered.Flow..Frequency","X2.12.Impact..Land.Use.Restore","Increase",3
"235","X2.7.Altered.Flow..Frequency","X2.12.Impact..Land.Use.Restore","Decrease",2
"236","X2.7.Altered.Flow..Frequency","X2.12.Impact..Land.Use.Restore","Complex",3
"237","X2.7.Altered.Flow..Duration","X2.12.Impact..Land.Use.Restore","Increase",2
"238","X2.7.Altered.Flow..Duration","X2.12.Impact..Land.Use.Restore","Decrease",2
"239","X2.7.Altered.Flow..Duration","X2.12.Impact..Land.Use.Restore","Complex",3
"240","X2.7.Altered.Flow..Speed","X2.12.Impact..Land.Use.Restore","Increase",2
"241","X2.7.Altered.Flow..Speed","X2.12.Impact..Land.Use.Restore","Decrease",1
"242","X2.7.Altered.Flow..Speed","X2.12.Impact..Land.Use.Restore","Complex",3
"243","X2.7.Altered.Flow..Feedbacks","X2.12.Impact..Land.Use.Restore","Increase",3
"244","X2.7.Altered.Flow..Feedbacks","X2.12.Impact..Land.Use.Restore","Decrease",3
"245","X2.7.Altered.Flow..Feedbacks","X2.12.Impact..Land.Use.Restore","Complex",4
"246","X2.7.Altered.Flow..Mechanism","X2.12.Impact..Land.Use.Restore","Increase",2
"247","X2.7.Altered.Flow..Mechanism","X2.12.Impact..Land.Use.Restore","Decrease",2
"248","X2.7.Altered.Flow..Mechanism","X2.12.Impact..Land.Use.Restore","Complex",3
"249","X2.7.Altered.Flow..Other","X2.12.Impact..Land.Use.Restore","Complex",1
"250","X2.7.Altered.Flow..Quantity","X2.12.Impact..Urbanization","Increase",7
"251","X2.7.Altered.Flow..Quantity","X2.12.Impact..Urbanization","Decrease",1
"252","X2.7.Altered.Flow..Quantity","X2.12.Impact..Urbanization","Complex",1
"253","X2.7.Altered.Flow..Direction","X2.12.Impact..Urbanization","Increase",4
"254","X2.7.Altered.Flow..Location","X2.12.Impact..Urbanization","Increase",5
"255","X2.7.Altered.Flow..Location","X2.12.Impact..Urbanization","Complex",1
"256","X2.7.Altered.Flow..Distance","X2.12.Impact..Urbanization","Increase",4
"257","X2.7.Altered.Flow..Timing","X2.12.Impact..Urbanization","Increase",4
"258","X2.7.Altered.Flow..Timing","X2.12.Impact..Urbanization","Decrease",1
"259","X2.7.Altered.Flow..Frequency","X2.12.Impact..Urbanization","Increase",3
"260","X2.7.Altered.Flow..Duration","X2.12.Impact..Urbanization","Increase",3
"261","X2.7.Altered.Flow..Speed","X2.12.Impact..Urbanization","Increase",3
"262","X2.7.Altered.Flow..Feedbacks","X2.12.Impact..Urbanization","Increase",3
"263","X2.7.Altered.Flow..Mechanism","X2.12.Impact..Urbanization","Increase",3
"264","X2.7.Altered.Flow..Quantity","X2.12.Impact..Connectivity","Increase",4
"265","X2.7.Altered.Flow..Quantity","X2.12.Impact..Connectivity","Decrease",15
"266","X2.7.Altered.Flow..Quantity","X2.12.Impact..Connectivity","Complex",10
"267","X2.7.Altered.Flow..Direction","X2.12.Impact..Connectivity","Increase",3
"268","X2.7.Altered.Flow..Direction","X2.12.Impact..Connectivity","Decrease",14
"269","X2.7.Altered.Flow..Direction","X2.12.Impact..Connectivity","Complex",9
"270","X2.7.Altered.Flow..Location","X2.12.Impact..Connectivity","Increase",4
"271","X2.7.Altered.Flow..Location","X2.12.Impact..Connectivity","Decrease",15
"272","X2.7.Altered.Flow..Location","X2.12.Impact..Connectivity","Complex",8
"273","X2.7.Altered.Flow..Distance","X2.12.Impact..Connectivity","Increase",3
"274","X2.7.Altered.Flow..Distance","X2.12.Impact..Connectivity","Decrease",13
"275","X2.7.Altered.Flow..Distance","X2.12.Impact..Connectivity","Complex",8
"276","X2.7.Altered.Flow..Timing","X2.12.Impact..Connectivity","Increase",4
"277","X2.7.Altered.Flow..Timing","X2.12.Impact..Connectivity","Decrease",15
"278","X2.7.Altered.Flow..Timing","X2.12.Impact..Connectivity","Complex",9
"279","X2.7.Altered.Flow..Frequency","X2.12.Impact..Connectivity","Increase",5
"280","X2.7.Altered.Flow..Frequency","X2.12.Impact..Connectivity","Decrease",11
"281","X2.7.Altered.Flow..Frequency","X2.12.Impact..Connectivity","Complex",8
"282","X2.7.Altered.Flow..Duration","X2.12.Impact..Connectivity","Increase",4
"283","X2.7.Altered.Flow..Duration","X2.12.Impact..Connectivity","Decrease",14
"284","X2.7.Altered.Flow..Duration","X2.12.Impact..Connectivity","Complex",7
"285","X2.7.Altered.Flow..Speed","X2.12.Impact..Connectivity","Increase",2
"286","X2.7.Altered.Flow..Speed","X2.12.Impact..Connectivity","Decrease",11
"287","X2.7.Altered.Flow..Speed","X2.12.Impact..Connectivity","Complex",8
"288","X2.7.Altered.Flow..Feedbacks","X2.12.Impact..Connectivity","Increase",3
"289","X2.7.Altered.Flow..Feedbacks","X2.12.Impact..Connectivity","Decrease",15
"290","X2.7.Altered.Flow..Feedbacks","X2.12.Impact..Connectivity","Complex",9
"291","X2.7.Altered.Flow..Mechanism","X2.12.Impact..Connectivity","Increase",2
"292","X2.7.Altered.Flow..Mechanism","X2.12.Impact..Connectivity","Decrease",12
"293","X2.7.Altered.Flow..Mechanism","X2.12.Impact..Connectivity","Complex",8
"294","X2.7.Altered.Flow..Other","X2.12.Impact..Connectivity","Decrease",1
"295","X2.7.Altered.Flow..Other","X2.12.Impact..Connectivity","Complex",1
"296","X2.7.Altered.Flow..Quantity","X2.12.Impact..Trophic","Increase",14
"297","X2.7.Altered.Flow..Quantity","X2.12.Impact..Trophic","Decrease",2
"298","X2.7.Altered.Flow..Quantity","X2.12.Impact..Trophic","Complex",29
"299","X2.7.Altered.Flow..Direction","X2.12.Impact..Trophic","Increase",9
"300","X2.7.Altered.Flow..Direction","X2.12.Impact..Trophic","Decrease",2
"301","X2.7.Altered.Flow..Direction","X2.12.Impact..Trophic","Complex",19
"302","X2.7.Altered.Flow..Location","X2.12.Impact..Trophic","Increase",9
"303","X2.7.Altered.Flow..Location","X2.12.Impact..Trophic","Decrease",2
"304","X2.7.Altered.Flow..Location","X2.12.Impact..Trophic","Complex",24
"305","X2.7.Altered.Flow..Distance","X2.12.Impact..Trophic","Increase",8
"306","X2.7.Altered.Flow..Distance","X2.12.Impact..Trophic","Decrease",2
"307","X2.7.Altered.Flow..Distance","X2.12.Impact..Trophic","Complex",17
"308","X2.7.Altered.Flow..Timing","X2.12.Impact..Trophic","Increase",9
"309","X2.7.Altered.Flow..Timing","X2.12.Impact..Trophic","Decrease",2
"310","X2.7.Altered.Flow..Timing","X2.12.Impact..Trophic","Complex",21
"311","X2.7.Altered.Flow..Frequency","X2.12.Impact..Trophic","Increase",9
"312","X2.7.Altered.Flow..Frequency","X2.12.Impact..Trophic","Decrease",2
"313","X2.7.Altered.Flow..Frequency","X2.12.Impact..Trophic","Complex",11
"314","X2.7.Altered.Flow..Duration","X2.12.Impact..Trophic","Increase",7
"315","X2.7.Altered.Flow..Duration","X2.12.Impact..Trophic","Decrease",2
"316","X2.7.Altered.Flow..Duration","X2.12.Impact..Trophic","Complex",17
"317","X2.7.Altered.Flow..Speed","X2.12.Impact..Trophic","Increase",4
"318","X2.7.Altered.Flow..Speed","X2.12.Impact..Trophic","Decrease",2
"319","X2.7.Altered.Flow..Speed","X2.12.Impact..Trophic","Complex",13
"320","X2.7.Altered.Flow..Feedbacks","X2.12.Impact..Trophic","Increase",6
"321","X2.7.Altered.Flow..Feedbacks","X2.12.Impact..Trophic","Decrease",2
"322","X2.7.Altered.Flow..Feedbacks","X2.12.Impact..Trophic","Complex",23
"323","X2.7.Altered.Flow..Mechanism","X2.12.Impact..Trophic","Increase",5
"324","X2.7.Altered.Flow..Mechanism","X2.12.Impact..Trophic","Decrease",2
"325","X2.7.Altered.Flow..Mechanism","X2.12.Impact..Trophic","Complex",19
"326","X2.7.Altered.Flow..Other","X2.12.Impact..Trophic","Increase",1
"327","X2.7.Altered.Flow..Other","X2.12.Impact..Trophic","Complex",3
"328","X2.7.Altered.Flow..Quantity","X2.12.Impact..Indigenous.Knowledge","Increase",3
"329","X2.7.Altered.Flow..Quantity","X2.12.Impact..Indigenous.Knowledge","Decrease",3
"330","X2.7.Altered.Flow..Quantity","X2.12.Impact..Indigenous.Knowledge","Complex",3
"331","X2.7.Altered.Flow..Direction","X2.12.Impact..Indigenous.Knowledge","Increase",2
"332","X2.7.Altered.Flow..Direction","X2.12.Impact..Indigenous.Knowledge","Decrease",2
"333","X2.7.Altered.Flow..Direction","X2.12.Impact..Indigenous.Knowledge","Complex",3
"334","X2.7.Altered.Flow..Location","X2.12.Impact..Indigenous.Knowledge","Increase",2
