"","Impact","Driver","ImpactDirection","count"
"64","X2.12.Impact..Richness","driver.Drought","NoChange",2
"65","X2.12.Impact..Loss","driver.Drought","Increase",22
"66","X2.12.Impact..Loss","driver.Drought","Decrease",6
"67","X2.12.Impact..Loss","driver.Drought","Complex",16
"68","X2.12.Impact..Loss","driver.Drought","NoChange",5
"69","X2.12.Impact..Disease","driver.Drought","Increase",60
"70","X2.12.Impact..Disease","driver.Drought","Complex",7
"71","X2.12.Impact..Disease","driver.Drought","NoChange",4
"72","X2.12.Impact..Invasion","driver.Drought","Increase",45
"73","X2.12.Impact..Invasion","driver.Drought","Complex",7
"74","X2.12.Impact..Invasion","driver.Drought","NoChange",2
"75","X2.12.Impact..Composition","driver.Drought","Increase",19
"76","X2.12.Impact..Composition","driver.Drought","Decrease",2
"77","X2.12.Impact..Composition","driver.Drought","Complex",66
"78","X2.12.Impact..Composition","driver.Drought","NoChange",3
"79","X2.12.Impact..Genetics","driver.Drought","Increase",2
"80","X2.12.Impact..Genetics","driver.Drought","Decrease",8
"81","X2.12.Impact..Genetics","driver.Drought","Complex",14
"82","X2.12.Impact..Genetics","driver.Drought","NoChange",5
"83","X2.12.Impact..Land.Use.Loss","driver.Drought","Increase",20
"84","X2.12.Impact..Land.Use.Loss","driver.Drought","Decrease",5
"85","X2.12.Impact..Land.Use.Loss","driver.Drought","Complex",2
"86","X2.12.Impact..Land.Use.Loss","driver.Drought","NoChange",2
"87","X2.12.Impact..Land.Use.Restore","driver.Drought","Increase",6
"88","X2.12.Impact..Land.Use.Restore","driver.Drought","Decrease",4
"89","X2.12.Impact..Land.Use.Restore","driver.Drought","Complex",5
"90","X2.12.Impact..Land.Use.Restore","driver.Drought","NoChange",2
"91","X2.12.Impact..Urbanization","driver.Drought","Increase",8
"92","X2.12.Impact..Urbanization","driver.Drought","Decrease",1
"93","X2.12.Impact..Urbanization","driver.Drought","Complex",1
"94","X2.12.Impact..Urbanization","driver.Drought","NoChange",3
"95","X2.12.Impact..Connectivity","driver.Drought","Increase",5
"96","X2.12.Impact..Connectivity","driver.Drought","Decrease",17
"97","X2.12.Impact..Connectivity","driver.Drought","Complex",10
"98","X2.12.Impact..Connectivity","driver.Drought","NoChange",2
"99","X2.12.Impact..Trophic","driver.Drought","Increase",14
"100","X2.12.Impact..Trophic","driver.Drought","Decrease",2
"101","X2.12.Impact..Trophic","driver.Drought","Complex",32
"102","X2.12.Impact..Trophic","driver.Drought","NoChange",6
"103","X2.12.Impact..Indigenous.Knowledge","driver.Drought","Increase",4
"104","X2.12.Impact..Indigenous.Knowledge","driver.Drought","Decrease",3
"105","X2.12.Impact..Indigenous.Knowledge","driver.Drought","Complex",3
"106","X2.12.Impact..Indigenous.Knowledge","driver.Drought","NoChange",3
"107","X2.12.Impact..Management","driver.Drought","Increase",12
"108","X2.12.Impact..Management","driver.Drought","Decrease",1
"109","X2.12.Impact..Management","driver.Drought","Complex",18
"110","X2.12.Impact..Management","driver.Drought","NoChange",4
"111","X2.12.Impact..Other","driver.Drought","Increase",14
"112","X2.12.Impact..Other","driver.Drought","Decrease",6
"113","X2.12.Impact..Other","driver.Drought","Complex",6
"114","X2.12.Impact..Other","driver.Drought","NoChange",3
"115","X2.12.Impact..Abundance","driver.Sea.level.rise","Increase",27
"116","X2.12.Impact..Abundance","driver.Sea.level.rise","Decrease",48
"117","X2.12.Impact..Abundance","driver.Sea.level.rise","Complex",45
"118","X2.12.Impact..Richness","driver.Sea.level.rise","Increase",7
"119","X2.12.Impact..Richness","driver.Sea.level.rise","Decrease",12
"120","X2.12.Impact..Richness","driver.Sea.level.rise","Complex",33
"121","X2.12.Impact..Richness","driver.Sea.level.rise","NoChange",2
"122","X2.12.Impact..Loss","driver.Sea.level.rise","Increase",22
"123","X2.12.Impact..Loss","driver.Sea.level.rise","Decrease",6
"124","X2.12.Impact..Loss","driver.Sea.level.rise","Complex",16
"125","X2.12.Impact..Loss","driver.Sea.level.rise","NoChange",5
"126","X2.12.Impact..Disease","driver.Sea.level.rise","Increase",60
"127","X2.12.Impact..Disease","driver.Sea.level.rise","Complex",7
"128","X2.12.Impact..Disease","driver.Sea.level.rise","NoChange",4
"129","X2.12.Impact..Invasion","driver.Sea.level.rise","Increase",45
"130","X2.12.Impact..Invasion","driver.Sea.level.rise","Complex",7
"131","X2.12.Impact..Invasion","driver.Sea.level.rise","NoChange",2
"132","X2.12.Impact..Composition","driver.Sea.level.rise","Increase",19
"133","X2.12.Impact..Composition","driver.Sea.level.rise","Decrease",2
"134","X2.12.Impact..Composition","driver.Sea.level.rise","Complex",66
"135","X2.12.Impact..Composition","driver.Sea.level.rise","NoChange",3
"136","X2.12.Impact..Genetics","driver.Sea.level.rise","Increase",2
"137","X2.12.Impact..Genetics","driver.Sea.level.rise","Decrease",8
"138","X2.12.Impact..Genetics","driver.Sea.level.rise","Complex",14
"139","X2.12.Impact..Genetics","driver.Sea.level.rise","NoChange",5
"140","X2.12.Impact..Land.Use.Loss","driver.Sea.level.rise","Increase",20
"141","X2.12.Impact..Land.Use.Loss","driver.Sea.level.rise","Decrease",5
"142","X2.12.Impact..Land.Use.Loss","driver.Sea.level.rise","Complex",2
"143","X2.12.Impact..Land.Use.Loss","driver.Sea.level.rise","NoChange",2
"144","X2.12.Impact..Land.Use.Restore","driver.Sea.level.rise","Increase",6
"145","X2.12.Impact..Land.Use.Restore","driver.Sea.level.rise","Decrease",4
"146","X2.12.Impact..Land.Use.Restore","driver.Sea.level.rise","Complex",5
"147","X2.12.Impact..Land.Use.Restore","driver.Sea.level.rise","NoChange",2
"148","X2.12.Impact..Urbanization","driver.Sea.level.rise","Increase",8
"149","X2.12.Impact..Urbanization","driver.Sea.level.rise","Decrease",1
"150","X2.12.Impact..Urbanization","driver.Sea.level.rise","Complex",1
"151","X2.12.Impact..Urbanization","driver.Sea.level.rise","NoChange",3
"152","X2.12.Impact..Connectivity","driver.Sea.level.rise","Increase",5
"153","X2.12.Impact..Connectivity","driver.Sea.level.rise","Decrease",17
"154","X2.12.Impact..Connectivity","driver.Sea.level.rise","Complex",10
"155","X2.12.Impact..Connectivity","driver.Sea.level.rise","NoChange",2
"156","X2.12.Impact..Trophic","driver.Sea.level.rise","Increase",14
"157","X2.12.Impact..Trophic","driver.Sea.level.rise","Decrease",2
"158","X2.12.Impact..Trophic","driver.Sea.level.rise","Complex",32
"159","X2.12.Impact..Trophic","driver.Sea.level.rise","NoChange",6
"160","X2.12.Impact..Indigenous.Knowledge","driver.Sea.level.rise","Increase",4
"161","X2.12.Impact..Indigenous.Knowledge","driver.Sea.level.rise","Decrease",3
"162","X2.12.Impact..Indigenous.Knowledge","driver.Sea.level.rise","Complex",3
"163","X2.12.Impact..Indigenous.Knowledge","driver.Sea.level.rise","NoChange",3
"164","X2.12.Impact..Management","driver.Sea.level.rise","Increase",12
"165","X2.12.Impact..Management","driver.Sea.level.rise","Decrease",1
"166","X2.12.Impact..Management","driver.Sea.level.rise","Complex",18
"167","X2.12.Impact..Management","driver.Sea.level.rise","NoChange",4
"168","X2.12.Impact..Other","driver.Sea.level.rise","Increase",14
"169","X2.12.Impact..Other","driver.Sea.level.rise","Decrease",6
"170","X2.12.Impact..Other","driver.Sea.level.rise","Complex",6
"171","X2.12.Impact..Other","driver.Sea.level.rise","NoChange",3
"172","X2.12.Impact..Abundance","driver.Floods","Increase",27
"173","X2.12.Impact..Abundance","driver.Floods","Decrease",48
"174","X2.12.Impact..Abundance","driver.Floods","Complex",45
"175","X2.12.Impact..Richness","driver.Floods","Increase",7
"176","X2.12.Impact..Richness","driver.Floods","Decrease",12
"177","X2.12.Impact..Richness","driver.Floods","Complex",33
"178","X2.12.Impact..Richness","driver.Floods","NoChange",2
"179","X2.12.Impact..Loss","driver.Floods","Increase",22
"180","X2.12.Impact..Loss","driver.Floods","Decrease",6
"181","X2.12.Impact..Loss","driver.Floods","Complex",16
"182","X2.12.Impact..Loss","driver.Floods","NoChange",5
"183","X2.12.Impact..Disease","driver.Floods","Increase",60
"184","X2.12.Impact..Disease","driver.Floods","Complex",7
"185","X2.12.Impact..Disease","driver.Floods","NoChange",4
"186","X2.12.Impact..Invasion","driver.Floods","Increase",45
"187","X2.12.Impact..Invasion","driver.Floods","Complex",7
"188","X2.12.Impact..Invasion","driver.Floods","NoChange",2
"189","X2.12.Impact..Composition","driver.Floods","Increase",19
"190","X2.12.Impact..Composition","driver.Floods","Decrease",2
"191","X2.12.Impact..Composition","driver.Floods","Complex",66
"192","X2.12.Impact..Composition","driver.Floods","NoChange",3
"193","X2.12.Impact..Genetics","driver.Floods","Increase",2
"194","X2.12.Impact..Genetics","driver.Floods","Decrease",8
"195","X2.12.Impact..Genetics","driver.Floods","Complex",14
"196","X2.12.Impact..Genetics","driver.Floods","NoChange",5
"197","X2.12.Impact..Land.Use.Loss","driver.Floods","Increase",20
"198","X2.12.Impact..Land.Use.Loss","driver.Floods","Decrease",5
"199","X2.12.Impact..Land.Use.Loss","driver.Floods","Complex",2
"200","X2.12.Impact..Land.Use.Loss","driver.Floods","NoChange",2
"201","X2.12.Impact..Land.Use.Restore","driver.Floods","Increase",6
"202","X2.12.Impact..Land.Use.Restore","driver.Floods","Decrease",4
"203","X2.12.Impact..Land.Use.Restore","driver.Floods","Complex",5
"204","X2.12.Impact..Land.Use.Restore","driver.Floods","NoChange",2
"205","X2.12.Impact..Urbanization","driver.Floods","Increase",8
"206","X2.12.Impact..Urbanization","driver.Floods","Decrease",1
"207","X2.12.Impact..Urbanization","driver.Floods","Complex",1
"208","X2.12.Impact..Urbanization","driver.Floods","NoChange",3
"209","X2.12.Impact..Connectivity","driver.Floods","Increase",5
"210","X2.12.Impact..Connectivity","driver.Floods","Decrease",17
"211","X2.12.Impact..Connectivity","driver.Floods","Complex",10
"212","X2.12.Impact..Connectivity","driver.Floods","NoChange",2
"213","X2.12.Impact..Trophic","driver.Floods","Increase",14
"214","X2.12.Impact..Trophic","driver.Floods","Decrease",2
"215","X2.12.Impact..Trophic","driver.Floods","Complex",32
"216","X2.12.Impact..Trophic","driver.Floods","NoChange",6
"217","X2.12.Impact..Indigenous.Knowledge","driver.Floods","Increase",4
"218","X2.12.Impact..Indigenous.Knowledge","driver.Floods","Decrease",3
"219","X2.12.Impact..Indigenous.Knowledge","driver.Floods","Complex",3
"220","X2.12.Impact..Indigenous.Knowledge","driver.Floods","NoChange",3
"221","X2.12.Impact..Management","driver.Floods","Increase",12
"222","X2.12.Impact..Management","driver.Floods","Decrease",1
"223","X2.12.Impact..Management","driver.Floods","Complex",18
"224","X2.12.Impact..Management","driver.Floods","NoChange",4
"225","X2.12.Impact..Other","driver.Floods","Increase",14
"226","X2.12.Impact..Other","driver.Floods","Decrease",6
"227","X2.12.Impact..Other","driver.Floods","Complex",6
"228","X2.12.Impact..Other","driver.Floods","NoChange",3
"229","X2.12.Impact..Abundance","driver.Hurricanes","Increase",27
"230","X2.12.Impact..Abundance","driver.Hurricanes","Decrease",48
"231","X2.12.Impact..Abundance","driver.Hurricanes","Complex",45
"232","X2.12.Impact..Richness","driver.Hurricanes","Increase",7
"233","X2.12.Impact..Richness","driver.Hurricanes","Decrease",12
"234","X2.12.Impact..Richness","driver.Hurricanes","Complex",33
"235","X2.12.Impact..Richness","driver.Hurricanes","NoChange",2
"236","X2.12.Impact..Loss","driver.Hurricanes","Increase",22
"237","X2.12.Impact..Loss","driver.Hurricanes","Decrease",6
"238","X2.12.Impact..Loss","driver.Hurricanes","Complex",16
"239","X2.12.Impact..Loss","driver.Hurricanes","NoChange",5
"240","X2.12.Impact..Disease","driver.Hurricanes","Increase",60
"241","X2.12.Impact..Disease","driver.Hurricanes","Complex",7
"242","X2.12.Impact..Disease","driver.Hurricanes","NoChange",4
"243","X2.12.Impact..Invasion","driver.Hurricanes","Increase",45
"244","X2.12.Impact..Invasion","driver.Hurricanes","Complex",7
"245","X2.12.Impact..Invasion","driver.Hurricanes","NoChange",2
"246","X2.12.Impact..Composition","driver.Hurricanes","Increase",19
"247","X2.12.Impact..Composition","driver.Hurricanes","Decrease",2
"248","X2.12.Impact..Composition","driver.Hurricanes","Complex",66
"249","X2.12.Impact..Composition","driver.Hurricanes","NoChange",3
"250","X2.12.Impact..Genetics","driver.Hurricanes","Increase",2
"251","X2.12.Impact..Genetics","driver.Hurricanes","Decrease",8
"252","X2.12.Impact..Genetics","driver.Hurricanes","Complex",14
"253","X2.12.Impact..Genetics","driver.Hurricanes","NoChange",5
"254","X2.12.Impact..Land.Use.Loss","driver.Hurricanes","Increase",20
"255","X2.12.Impact..Land.Use.Loss","driver.Hurricanes","Decrease",5
"256","X2.12.Impact..Land.Use.Loss","driver.Hurricanes","Complex",2
"257","X2.12.Impact..Land.Use.Loss","driver.Hurricanes","NoChange",2
"258","X2.12.Impact..Land.Use.Restore","driver.Hurricanes","Increase",6
"259","X2.12.Impact..Land.Use.Restore","driver.Hurricanes","Decrease",4
"260","X2.12.Impact..Land.Use.Restore","driver.Hurricanes","Complex",5
"261","X2.12.Impact..Land.Use.Restore","driver.Hurricanes","NoChange",2
"262","X2.12.Impact..Urbanization","driver.Hurricanes","Increase",8
"263","X2.12.Impact..Urbanization","driver.Hurricanes","Decrease",1
"264","X2.12.Impact..Urbanization","driver.Hurricanes","Complex",1
"265","X2.12.Impact..Urbanization","driver.Hurricanes","NoChange",3
"266","X2.12.Impact..Connectivity","driver.Hurricanes","Increase",5
"267","X2.12.Impact..Connectivity","driver.Hurricanes","Decrease",17
"268","X2.12.Impact..Connectivity","driver.Hurricanes","Complex",10
"269","X2.12.Impact..Connectivity","driver.Hurricanes","NoChange",2
"270","X2.12.Impact..Trophic","driver.Hurricanes","Increase",14
"271","X2.12.Impact..Trophic","driver.Hurricanes","Decrease",2
"272","X2.12.Impact..Trophic","driver.Hurricanes","Complex",32
"273","X2.12.Impact..Trophic","driver.Hurricanes","NoChange",6
"274","X2.12.Impact..Indigenous.Knowledge","driver.Hurricanes","Increase",4
"275","X2.12.Impact..Indigenous.Knowledge","driver.Hurricanes","Decrease",3
"276","X2.12.Impact..Indigenous.Knowledge","driver.Hurricanes","Complex",3
"277","X2.12.Impact..Indigenous.Knowledge","driver.Hurricanes","NoChange",3
"278","X2.12.Impact..Management","driver.Hurricanes","Increase",12
"279","X2.12.Impact..Management","driver.Hurricanes","Decrease",1
"280","X2.12.Impact..Management","driver.Hurricanes","Complex",18
"281","X2.12.Impact..Management","driver.Hurricanes","NoChange",4
"282","X2.12.Impact..Other","driver.Hurricanes","Increase",14
"283","X2.12.Impact..Other","driver.Hurricanes","Decrease",6
"284","X2.12.Impact..Other","driver.Hurricanes","Complex",6
"285","X2.12.Impact..Other","driver.Hurricanes","NoChange",3
"286","X2.12.Impact..Abundance","driver.Air.temperature.directional.change","Increase",27
"287","X2.12.Impact..Abundance","driver.Air.temperature.directional.change","Decrease",48
"288","X2.12.Impact..Abundance","driver.Air.temperature.directional.change","Complex",45
"289","X2.12.Impact..Richness","driver.Air.temperature.directional.change","Increase",7
"290","X2.12.Impact..Richness","driver.Air.temperature.directional.change","Decrease",12
"291","X2.12.Impact..Richness","driver.Air.temperature.directional.change","Complex",33
"292","X2.12.Impact..Richness","driver.Air.temperature.directional.change","NoChange",2
"293","X2.12.Impact..Loss","driver.Air.temperature.directional.change","Increase",22
"294","X2.12.Impact..Loss","driver.Air.temperature.directional.change","Decrease",6
"295","X2.12.Impact..Loss","driver.Air.temperature.directional.change","Complex",16
"296","X2.12.Impact..Loss","driver.Air.temperature.directional.change","NoChange",5
"297","X2.12.Impact..Disease","driver.Air.temperature.directional.change","Increase",60
"298","X2.12.Impact..Disease","driver.Air.temperature.directional.change","Complex",7
"299","X2.12.Impact..Disease","driver.Air.temperature.directional.change","NoChange",4
"300","X2.12.Impact..Invasion","driver.Air.temperature.directional.change","Increase",45
"301","X2.12.Impact..Invasion","driver.Air.temperature.directional.change","Complex",7
"302","X2.12.Impact..Invasion","driver.Air.temperature.directional.change","NoChange",2
"303","X2.12.Impact..Composition","driver.Air.temperature.directional.change","Increase",19
"304","X2.12.Impact..Composition","driver.Air.temperature.directional.change","Decrease",2
"305","X2.12.Impact..Composition","driver.Air.temperature.directional.change","Complex",66
"306","X2.12.Impact..Composition","driver.Air.temperature.directional.change","NoChange",3
"307","X2.12.Impact..Genetics","driver.Air.temperature.directional.change","Increase",2
"308","X2.12.Impact..Genetics","driver.Air.temperature.directional.change","Decrease",8
"309","X2.12.Impact..Genetics","driver.Air.temperature.directional.change","Complex",14
"310","X2.12.Impact..Genetics","driver.Air.temperature.directional.change","NoChange",5
"311","X2.12.Impact..Land.Use.Loss","driver.Air.temperature.directional.change","Increase",20
"312","X2.12.Impact..Land.Use.Loss","driver.Air.temperature.directional.change","Decrease",5
"313","X2.12.Impact..Land.Use.Loss","driver.Air.temperature.directional.change","Complex",2
"314","X2.12.Impact..Land.Use.Loss","driver.Air.temperature.directional.change","NoChange",2
"315","X2.12.Impact..Land.Use.Restore","driver.Air.temperature.directional.change","Increase",6
"316","X2.12.Impact..Land.Use.Restore","driver.Air.temperature.directional.change","Decrease",4
"317","X2.12.Impact..Land.Use.Restore","driver.Air.temperature.directional.change","Complex",5
"318","X2.12.Impact..Land.Use.Restore","driver.Air.temperature.directional.change","NoChange",2
"319","X2.12.Impact..Urbanization","driver.Air.temperature.directional.change","Increase",8
"320","X2.12.Impact..Urbanization","driver.Air.temperature.directional.change","Decrease",1
"321","X2.12.Impact..Urbanization","driver.Air.temperature.directional.change","Complex",1
"322","X2.12.Impact..Urbanization","driver.Air.temperature.directional.change","NoChange",3
"323","X2.12.Impact..Connectivity","driver.Air.temperature.directional.change","Increase",5
"324","X2.12.Impact..Connectivity","driver.Air.temperature.directional.change","Decrease",17
"325","X2.12.Impact..Connectivity","driver.Air.temperature.directional.change","Complex",10
"326","X2.12.Impact..Connectivity","driver.Air.temperature.directional.change","NoChange",2
"327","X2.12.Impact..Trophic","driver.Air.temperature.directional.change","Increase",14
"328","X2.12.Impact..Trophic","driver.Air.temperature.directional.change","Decrease",2
"329","X2.12.Impact..Trophic","driver.Air.temperature.directional.change","Complex",32
"330","X2.12.Impact..Trophic","driver.Air.temperature.directional.change","NoChange",6
"331","X2.12.Impact..Indigenous.Knowledge","driver.Air.temperature.directional.change","Increase",4
"332","X2.12.Impact..Indigenous.Knowledge","driver.Air.temperature.directional.change","Decrease",3
"333","X2.12.Impact..Indigenous.Knowledge","driver.Air.temperature.directional.change","Complex",3
"334","X2.12.Impact..Indigenous.Knowledge","driver.Air.temperature.directional.change","NoChange",3
"335","X2.12.Impact..Management","driver.Air.temperature.directional.change","Increase",12
"336","X2.12.Impact..Management","driver.Air.temperature.directional.change","Decrease",1
"337","X2.12.Impact..Management","driver.Air.temperature.directional.change","Complex",18
"338","X2.12.Impact..Management","driver.Air.temperature.directional.change","NoChange",4
"339","X2.12.Impact..Other","driver.Air.temperature.directional.change","Increase",14
"340","X2.12.Impact..Other","driver.Air.temperature.directional.change","Decrease",6
"341","X2.12.Impact..Other","driver.Air.temperature.directional.change","Complex",6
"342","X2.12.Impact..Other","driver.Air.temperature.directional.change","NoChange",3
"343","X2.12.Impact..Abundance","driver.permafrost.melt","Increase",27
"344","X2.12.Impact..Abundance","driver.permafrost.melt","Decrease",48
"345","X2.12.Impact..Abundance","driver.permafrost.melt","Complex",45
"346","X2.12.Impact..Richness","driver.permafrost.melt","Increase",7
"347","X2.12.Impact..Richness","driver.permafrost.melt","Decrease",12
"348","X2.12.Impact..Richness","driver.permafrost.melt","Complex",33
"349","X2.12.Impact..Richness","driver.permafrost.melt","NoChange",2
"350","X2.12.Impact..Loss","driver.permafrost.melt","Increase",22
"351","X2.12.Impact..Loss","driver.permafrost.melt","Decrease",6
"352","X2.12.Impact..Loss","driver.permafrost.melt","Complex",16
"353","X2.12.Impact..Loss","driver.permafrost.melt","NoChange",5
"354","X2.12.Impact..Disease","driver.permafrost.melt","Increase",60
"355","X2.12.Impact..Disease","driver.permafrost.melt","Complex",7
"356","X2.12.Impact..Disease","driver.permafrost.melt","NoChange",4
"357","X2.12.Impact..Invasion","driver.permafrost.melt","Increase",45
"358","X2.12.Impact..Invasion","driver.permafrost.melt","Complex",7
"359","X2.12.Impact..Invasion","driver.permafrost.melt","NoChange",2
"360","X2.12.Impact..Composition","driver.permafrost.melt","Increase",19
"361","X2.12.Impact..Composition","driver.permafrost.melt","Decrease",2
"362","X2.12.Impact..Composition","driver.permafrost.melt","Complex",66
"363","X2.12.Impact..Composition","driver.permafrost.melt","NoChange",3
"364","X2.12.Impact..Genetics","driver.permafrost.melt","Increase",2
"365","X2.12.Impact..Genetics","driver.permafrost.melt","Decrease",8
"366","X2.12.Impact..Genetics","driver.permafrost.melt","Complex",14
"367","X2.12.Impact..Genetics","driver.permafrost.melt","NoChange",5
"368","X2.12.Impact..Land.Use.Loss","driver.permafrost.melt","Increase",20
"369","X2.12.Impact..Land.Use.Loss","driver.permafrost.melt","Decrease",5
"370","X2.12.Impact..Land.Use.Loss","driver.permafrost.melt","Complex",2
"371","X2.12.Impact..Land.Use.Loss","driver.permafrost.melt","NoChange",2
"372","X2.12.Impact..Land.Use.Restore","driver.permafrost.melt","Increase",6
"373","X2.12.Impact..Land.Use.Restore","driver.permafrost.melt","Decrease",4
"374","X2.12.Impact..Land.Use.Restore","driver.permafrost.melt","Complex",5
"375","X2.12.Impact..Land.Use.Restore","driver.permafrost.melt","NoChange",2
"376","X2.12.Impact..Urbanization","driver.permafrost.melt","Increase",8
"377","X2.12.Impact..Urbanization","driver.permafrost.melt","Decrease",1
"378","X2.12.Impact..Urbanization","driver.permafrost.melt","Complex",1
"379","X2.12.Impact..Urbanization","driver.permafrost.melt","NoChange",3
"380","X2.12.Impact..Connectivity","driver.permafrost.melt","Increase",5
"381","X2.12.Impact..Connectivity","driver.permafrost.melt","Decrease",17
"382","X2.12.Impact..Connectivity","driver.permafrost.melt","Complex",10
"383","X2.12.Impact..Connectivity","driver.permafrost.melt","NoChange",2
"384","X2.12.Impact..Trophic","driver.permafrost.melt","Increase",14
"385","X2.12.Impact..Trophic","driver.permafrost.melt","Decrease",2
"386","X2.12.Impact..Trophic","driver.permafrost.melt","Complex",32
"387","X2.12.Impact..Trophic","driver.permafrost.melt","NoChange",6
"388","X2.12.Impact..Indigenous.Knowledge","driver.permafrost.melt","Increase",4
"389","X2.12.Impact..Indigenous.Knowledge","driver.permafrost.melt","Decrease",3
"390","X2.12.Impact..Indigenous.Knowledge","driver.permafrost.melt","Complex",3
"391","X2.12.Impact..Indigenous.Knowledge","driver.permafrost.melt","NoChange",3
"392","X2.12.Impact..Management","driver.permafrost.melt","Increase",12
"393","X2.12.Impact..Management","driver.permafrost.melt","Decrease",1
"394","X2.12.Impact..Management","driver.permafrost.melt","Complex",18
"395","X2.12.Impact..Management","driver.permafrost.melt","NoChange",4
"396","X2.12.Impact..Other","driver.permafrost.melt","Increase",14
"397","X2.12.Impact..Other","driver.permafrost.melt","Decrease",6
"398","X2.12.Impact..Other","driver.permafrost.melt","Complex",6
"399","X2.12.Impact..Other","driver.permafrost.melt","NoChange",3
