"","driver","altered_flow","impact","count_driver_alteration","count_driver_altflow_bdimpact","count_driver_impact","alteration","direction","count_alteredflow_impact","X2.1.Flow.Type"
"62","Climate change  generic ","Direction","Trophic",224,19,185,"Complex change","Complex change",134,"Human movement"
"63","Climate change  generic ","Location","Trophic",272,22,185,"Complex change","Complex change",131,"Human movement"
"64","Climate change  generic ","Distance","Trophic",120,17,185,"Increase","Complex change",111,"Human movement"
"65","Climate change  generic ","Timing","Trophic",152,19,185,"Increase","Complex change",125,"Human movement"
"66","Climate change  generic ","Frequency","Trophic",105,12,185,"Increase","Complex change",78,"Human movement"
"67","Climate change  generic ","Duration","Trophic",120,18,185,"Increase","Complex change",123,"Human movement"
"68","Climate change  generic ","Speed","Trophic",110,15,185,"Increase","Complex change",85,"Human movement"
"69","Climate change  generic ","Feedbacks","Trophic",206,19,185,"Complex change","Complex change",121,"Human movement"
"70","Climate change  generic ","Mechanism","Trophic",170,15,185,"Complex change","Complex change",93,"Human movement"
"71","Floods","Quantity","Abundance",49,9,75,"Increase","Decrease",284,"Human movement"
"72","Floods","Direction","Abundance",47,7,75,"Complex change","Decrease",179,"Human movement"
"73","Floods","Location","Abundance",47,7,75,"Complex change","Decrease",224,"Human movement"
"74","Floods","Distance","Abundance",36,7,75,"Increase","Decrease",137,"Human movement"
"75","Floods","Timing","Abundance",44,8,75,"Increase","Decrease",208,"Human movement"
"76","Floods","Frequency","Abundance",47,7,75,"Increase","Decrease",132,"Human movement"
"77","Floods","Duration","Abundance",33,8,75,"Increase","Decrease",170,"Human movement"
"78","Floods","Speed","Abundance",45,8,75,"Increase","Decrease",111,"Human movement"
"79","Floods","Feedbacks","Abundance",48,7,75,"Complex change","Decrease",170,"Human movement"
"80","Floods","Mechanism","Abundance",45,7,75,"Complex change","Decrease",112,"Human movement"
"81","Floods","Quantity","Composition",49,4,32,"Increase","Complex change",191,"Human movement"
"82","Floods","Direction","Composition",47,3,32,"Complex change","Complex change",132,"Human movement"
"83","Floods","Location","Composition",47,3,32,"Complex change","Complex change",146,"Human movement"
"84","Floods","Distance","Composition",36,3,32,"Increase","Complex change",91,"Human movement"
"85","Floods","Timing","Composition",44,3,32,"Increase","Complex change",131,"Human movement"
"86","Floods","Frequency","Composition",47,3,32,"Increase","Complex change",81,"Human movement"
"87","Floods","Duration","Composition",33,4,32,"Increase","Complex change",122,"Human movement"
"88","Floods","Speed","Composition",45,3,32,"Increase","Complex change",76,"Human movement"
"89","Floods","Feedbacks","Composition",48,3,32,"Complex change","Complex change",114,"Human movement"
"90","Floods","Mechanism","Composition",45,3,32,"Complex change","Complex change",67,"Human movement"
"91","Floods","Quantity","Connectivity",49,8,80,"Increase","Decrease",128,"Human movement"
"92","Floods","Direction","Connectivity",47,8,80,"Complex change","Decrease",113,"Human movement"
"93","Floods","Location","Connectivity",47,8,80,"Complex change","Decrease",115,"Human movement"
"94","Floods","Distance","Connectivity",36,8,80,"Increase","Decrease",103,"Human movement"
"95","Floods","Timing","Connectivity",44,8,80,"Increase","Decrease",123,"Human movement"
"96","Floods","Frequency","Connectivity",47,8,80,"Increase","Decrease",93,"Human movement"
"97","Floods","Duration","Connectivity",33,8,80,"Increase","Decrease",116,"Human movement"
"98","Floods","Speed","Connectivity",45,8,80,"Increase","Decrease",93,"Human movement"
"99","Floods","Feedbacks","Connectivity",48,8,80,"Complex change","Decrease",118,"Human movement"
"100","Floods","Mechanism","Connectivity",45,8,80,"Complex change","Decrease",97,"Human movement"
"101","Floods","Quantity","Trophic",49,6,60,"Increase","Complex change",168,"Human movement"
"102","Floods","Direction","Trophic",47,6,60,"Complex change","Complex change",134,"Human movement"
"103","Floods","Location","Trophic",47,6,60,"Complex change","Complex change",131,"Human movement"
"104","Floods","Distance","Trophic",36,6,60,"Increase","Complex change",111,"Human movement"
"105","Floods","Timing","Trophic",44,6,60,"Increase","Complex change",125,"Human movement"
"106","Floods","Frequency","Trophic",47,6,60,"Increase","Complex change",78,"Human movement"
"107","Floods","Duration","Trophic",33,6,60,"Increase","Complex change",123,"Human movement"
"108","Floods","Speed","Trophic",45,6,60,"Increase","Complex change",85,"Human movement"
"109","Floods","Feedbacks","Trophic",48,6,60,"Complex change","Complex change",121,"Human movement"
"110","Floods","Mechanism","Trophic",45,6,60,"Complex change","Complex change",93,"Human movement"
"111","Climate change  generic ","Quantity","Abundance",214,60,350,"Increase","Decrease",284,"Biotic"
"112","Climate change  generic ","Direction","Abundance",224,33,350,"Complex change","Decrease",179,"Biotic"
"113","Climate change  generic ","Location","Abundance",272,46,350,"Complex change","Decrease",224,"Biotic"
"114","Climate change  generic ","Distance","Abundance",61,29,350,"Complex change","Decrease",137,"Biotic"
"115","Climate change  generic ","Timing","Abundance",152,38,350,"Increase","Decrease",208,"Biotic"
"116","Climate change  generic ","Frequency","Abundance",105,27,350,"Increase","Decrease",132,"Biotic"
"117","Climate change  generic ","Duration","Abundance",120,32,350,"Increase","Decrease",170,"Biotic"
"118","Climate change  generic ","Speed","Abundance",110,23,350,"Increase","Decrease",111,"Biotic"
"119","Climate change  generic ","Feedbacks","Abundance",206,33,350,"Complex change","Decrease",170,"Biotic"
"120","Climate change  generic ","Mechanism","Abundance",170,25,350,"Complex change","Decrease",112,"Biotic"
"121","Climate change  generic ","Quantity","Connectivity",214,22,192,"Increase","Decrease",128,"Biotic"
"122","Climate change  generic ","Direction","Connectivity",224,20,192,"Complex change","Decrease",113,"Biotic"
"123","Climate change  generic ","Location","Connectivity",272,21,192,"Complex change","Decrease",115,"Biotic"
"124","Climate change  generic ","Distance","Connectivity",61,19,192,"Complex change","Decrease",103,"Biotic"
"125","Climate change  generic ","Timing","Connectivity",152,19,192,"Increase","Decrease",123,"Biotic"
"126","Climate change  generic ","Frequency","Connectivity",105,16,192,"Increase","Decrease",93,"Biotic"
"127","Climate change  generic ","Duration","Connectivity",120,19,192,"Increase","Decrease",116,"Biotic"
"128","Climate change  generic ","Speed","Connectivity",110,18,192,"Increase","Decrease",93,"Biotic"
"129","Climate change  generic ","Feedbacks","Connectivity",206,19,192,"Complex change","Decrease",118,"Biotic"
"130","Climate change  generic ","Mechanism","Connectivity",170,19,192,"Complex change","Decrease",97,"Biotic"
"131","Climate change  generic ","Quantity","Loss",214,28,180,"Increase","Increase",157,"Biotic"
"132","Climate change  generic ","Direction","Loss",224,19,180,"Complex change","Increase",129,"Biotic"
"133","Climate change  generic ","Location","Loss",272,25,180,"Complex change","Increase",135,"Biotic"
"134","Climate change  generic ","Distance","Loss",61,15,180,"Complex change","Increase",94,"Biotic"
"135","Climate change  generic ","Timing","Loss",152,18,180,"Increase","Increase",114,"Biotic"
"136","Climate change  generic ","Frequency","Loss",105,12,180,"Increase","Increase",65,"Biotic"
"137","Climate change  generic ","Duration","Loss",120,15,180,"Increase","Increase",103,"Biotic"
"138","Climate change  generic ","Speed","Loss",110,16,180,"Increase","Increase",85,"Biotic"
"139","Climate change  generic ","Feedbacks","Loss",206,16,180,"Complex change","Increase",101,"Biotic"
"140","Climate change  generic ","Mechanism","Loss",170,15,180,"Complex change","Increase",86,"Biotic"
"141","Climate change  generic ","Quantity","Management",214,23,141,"Increase","Complex change",127,"Biotic"
"142","Climate change  generic ","Direction","Management",224,15,141,"Complex change","Complex change",93,"Biotic"
"143","Climate change  generic ","Location","Management",272,16,141,"Complex change","Complex change",89,"Biotic"
"144","Climate change  generic ","Distance","Management",61,11,141,"Complex change","Complex change",65,"Biotic"
"145","Climate change  generic ","Timing","Management",152,13,141,"Increase","Complex change",80,"Biotic"
"146","Climate change  generic ","Frequency","Management",105,11,141,"Increase","Complex change",59,"Biotic"
"147","Climate change  generic ","Duration","Management",120,11,141,"Increase","Complex change",65,"Biotic"
"148","Climate change  generic ","Speed","Management",110,11,141,"Increase","Complex change",61,"Biotic"
"149","Climate change  generic ","Feedbacks","Management",206,14,141,"Complex change","Complex change",85,"Biotic"
"150","Climate change  generic ","Mechanism","Management",170,14,141,"Complex change","Complex change",69,"Biotic"
"151","Climate change  generic ","Quantity","Trophic",214,27,185,"Increase","Complex change",168,"Biotic"
"152","Climate change  generic ","Direction","Trophic",224,19,185,"Complex change","Complex change",134,"Biotic"
"153","Climate change  generic ","Location","Trophic",272,22,185,"Complex change","Complex change",131,"Biotic"
"154","Climate change  generic ","Distance","Trophic",61,17,185,"Complex change","Complex change",111,"Biotic"
"155","Climate change  generic ","Timing","Trophic",152,19,185,"Increase","Complex change",125,"Biotic"
"156","Climate change  generic ","Frequency","Trophic",105,12,185,"Increase","Complex change",78,"Biotic"
"157","Climate change  generic ","Duration","Trophic",120,18,185,"Increase","Complex change",123,"Biotic"
"158","Climate change  generic ","Speed","Trophic",110,15,185,"Increase","Complex change",85,"Biotic"
"159","Climate change  generic ","Feedbacks","Trophic",206,19,185,"Complex change","Complex change",121,"Biotic"
"160","Climate change  generic ","Mechanism","Trophic",170,15,185,"Complex change","Complex change",93,"Biotic"
"161","Drought","Quantity","Abundance",106,27,153,"Increase","Decrease",284,"Biotic"
"162","Drought","Direction","Abundance",124,18,153,"Complex change","Decrease",179,"Biotic"
"163","Drought","Location","Abundance",148,22,153,"Complex change","Decrease",224,"Biotic"
"164","Drought","Distance","Abundance",17,12,153,"Complex change","Decrease",137,"Biotic"
"165","Drought","Timing","Abundance",95,16,153,"Increase","Decrease",208,"Biotic"
"166","Drought","Frequency","Abundance",56,11,153,"Increase","Decrease",132,"Biotic"
"167","Drought","Duration","Abundance",62,13,153,"Increase","Decrease",170,"Biotic"
"168","Drought","Speed","Abundance",68,10,153,"Increase","Decrease",111,"Biotic"
"169","Drought","Feedbacks","Abundance",101,14,153,"Complex change","Decrease",170,"Biotic"
"170","Drought","Mechanism","Abundance",74,10,153,"Complex change","Decrease",112,"Biotic"
"171","Drought","Quantity","Connectivity",106,11,97,"Increase","Decrease",128,"Biotic"
"172","Drought","Direction","Connectivity",124,10,97,"Complex change","Decrease",113,"Biotic"
"173","Drought","Location","Connectivity",148,12,97,"Complex change","Decrease",115,"Biotic"
"174","Drought","Distance","Connectivity",17,9,97,"Complex change","Decrease",103,"Biotic"
"175","Drought","Timing","Connectivity",95,10,97,"Increase","Decrease",123,"Biotic"
"176","Drought","Frequency","Connectivity",56,8,97,"Increase","Decrease",93,"Biotic"
"177","Drought","Duration","Connectivity",62,10,97,"Increase","Decrease",116,"Biotic"
"178","Drought","Speed","Connectivity",68,8,97,"Increase","Decrease",93,"Biotic"
"179","Drought","Feedbacks","Connectivity",101,10,97,"Complex change","Decrease",118,"Biotic"
"180","Drought","Mechanism","Connectivity",74,9,97,"Complex change","Decrease",97,"Biotic"
"181","Drought","Quantity","Loss",106,15,109,"Increase","Increase",157,"Biotic"
"182","Drought","Direction","Loss",124,13,109,"Complex change","Increase",129,"Biotic"
"183","Drought","Location","Loss",148,14,109,"Complex change","Increase",135,"Biotic"
"184","Drought","Distance","Loss",17,9,109,"Complex change","Increase",94,"Biotic"
"185","Drought","Timing","Loss",95,12,109,"Increase","Increase",114,"Biotic"
"186","Drought","Frequency","Loss",56,8,109,"Increase","Increase",65,"Biotic"
"187","Drought","Duration","Loss",62,11,109,"Increase","Increase",103,"Biotic"
"188","Drought","Speed","Loss",68,9,109,"Increase","Increase",85,"Biotic"
"189","Drought","Feedbacks","Loss",101,10,109,"Complex change","Increase",101,"Biotic"
"190","Drought","Mechanism","Loss",74,8,109,"Complex change","Increase",86,"Biotic"
"191","Drought","Quantity","Management",106,13,88,"Increase","Complex change",127,"Biotic"
"192","Drought","Direction","Management",124,10,88,"Complex change","Complex change",93,"Biotic"
"193","Drought","Location","Management",148,12,88,"Complex change","Complex change",89,"Biotic"
"194","Drought","Distance","Management",17,7,88,"Complex change","Complex change",65,"Biotic"
"195","Drought","Timing","Management",95,9,88,"Increase","Complex change",80,"Biotic"
"196","Drought","Frequency","Management",56,7,88,"Increase","Complex change",59,"Biotic"
"197","Drought","Duration","Management",62,8,88,"Increase","Complex change",65,"Biotic"
"198","Drought","Speed","Management",68,6,88,"Increase","Complex change",61,"Biotic"
"199","Drought","Feedbacks","Management",101,9,88,"Complex change","Complex change",85,"Biotic"
"200","Drought","Mechanism","Management",74,7,88,"Complex change","Complex change",69,"Biotic"
"201","Drought","Quantity","Trophic",106,10,77,"Increase","Complex change",168,"Biotic"
"202","Drought","Direction","Trophic",124,8,77,"Complex change","Complex change",134,"Biotic"
"203","Drought","Location","Trophic",148,10,77,"Complex change","Complex change",131,"Biotic"
"204","Drought","Distance","Trophic",17,7,77,"Complex change","Complex change",111,"Biotic"
"205","Drought","Timing","Trophic",95,8,77,"Increase","Complex change",125,"Biotic"
"206","Drought","Frequency","Trophic",56,5,77,"Increase","Complex change",78,"Biotic"
"207","Drought","Duration","Trophic",62,8,77,"Increase","Complex change",123,"Biotic"
"208","Drought","Speed","Trophic",68,6,77,"Increase","Complex change",85,"Biotic"
"209","Drought","Feedbacks","Trophic",101,8,77,"Complex change","Complex change",121,"Biotic"
"210","Drought","Mechanism","Trophic",74,7,77,"Complex change","Complex change",93,"Biotic"
"211","Floods","Quantity","Abundance",49,9,75,"Increase","Decrease",284,"Biotic"
"212","Floods","Direction","Abundance",47,7,75,"Complex change","Decrease",179,"Biotic"
"213","Floods","Location","Abundance",47,7,75,"Complex change","Decrease",224,"Biotic"
"214","Floods","Distance","Abundance",11,7,75,"Complex change","Decrease",137,"Biotic"
"215","Floods","Timing","Abundance",44,8,75,"Increase","Decrease",208,"Biotic"
"216","Floods","Frequency","Abundance",47,7,75,"Increase","Decrease",132,"Biotic"
"217","Floods","Duration","Abundance",33,8,75,"Increase","Decrease",170,"Biotic"
"218","Floods","Speed","Abundance",45,8,75,"Increase","Decrease",111,"Biotic"
"219","Floods","Feedbacks","Abundance",48,7,75,"Complex change","Decrease",170,"Biotic"
"220","Floods","Mechanism","Abundance",45,7,75,"Complex change","Decrease",112,"Biotic"
"221","Floods","Quantity","Connectivity",49,8,80,"Increase","Decrease",128,"Biotic"
"222","Floods","Direction","Connectivity",47,8,80,"Complex change","Decrease",113,"Biotic"
"223","Floods","Location","Connectivity",47,8,80,"Complex change","Decrease",115,"Biotic"
"224","Floods","Distance","Connectivity",11,8,80,"Complex change","Decrease",103,"Biotic"
"225","Floods","Timing","Connectivity",44,8,80,"Increase","Decrease",123,"Biotic"
"226","Floods","Frequency","Connectivity",47,8,80,"Increase","Decrease",93,"Biotic"
"227","Floods","Duration","Connectivity",33,8,80,"Increase","Decrease",116,"Biotic"
"228","Floods","Speed","Connectivity",45,8,80,"Increase","Decrease",93,"Biotic"
"229","Floods","Feedbacks","Connectivity",48,8,80,"Complex change","Decrease",118,"Biotic"
"230","Floods","Mechanism","Connectivity",45,8,80,"Complex change","Decrease",97,"Biotic"
"231","Floods","Quantity","Loss",49,5,50,"Increase","Increase",157,"Biotic"
"232","Floods","Direction","Loss",47,5,50,"Complex change","Increase",129,"Biotic"
"233","Floods","Location","Loss",47,5,50,"Complex change","Increase",135,"Biotic"
"234","Floods","Distance","Loss",11,5,50,"Complex change","Increase",94,"Biotic"
"235","Floods","Timing","Loss",44,5,50,"Increase","Increase",114,"Biotic"
"236","Floods","Frequency","Loss",47,5,50,"Increase","Increase",65,"Biotic"
"237","Floods","Duration","Loss",33,5,50,"Increase","Increase",103,"Biotic"
"238","Floods","Speed","Loss",45,5,50,"Increase","Increase",85,"Biotic"
"239","Floods","Feedbacks","Loss",48,5,50,"Complex change","Increase",101,"Biotic"
"240","Floods","Mechanism","Loss",45,5,50,"Complex change","Increase",86,"Biotic"
"241","Floods","Quantity","Management",49,7,52,"Increase","Complex change",127,"Biotic"
"242","Floods","Direction","Management",47,5,52,"Complex change","Complex change",93,"Biotic"
"243","Floods","Location","Management",47,5,52,"Complex change","Complex change",89,"Biotic"
"244","Floods","Distance","Management",11,5,52,"Complex change","Complex change",65,"Biotic"
"245","Floods","Timing","Management",44,5,52,"Increase","Complex change",80,"Biotic"
"246","Floods","Frequency","Management",47,5,52,"Increase","Complex change",59,"Biotic"
"247","Floods","Duration","Management",33,5,52,"Increase","Complex change",65,"Biotic"
"248","Floods","Speed","Management",45,5,52,"Increase","Complex change",61,"Biotic"
"249","Floods","Feedbacks","Management",48,5,52,"Complex change","Complex change",85,"Biotic"
"250","Floods","Mechanism","Management",45,5,52,"Complex change","Complex change",69,"Biotic"
"251","Floods","Quantity","Trophic",49,6,60,"Increase","Complex change",168,"Biotic"
"252","Floods","Direction","Trophic",47,6,60,"Complex change","Complex change",134,"Biotic"
"253","Floods","Location","Trophic",47,6,60,"Complex change","Complex change",131,"Biotic"
"254","Floods","Distance","Trophic",11,6,60,"Complex change","Complex change",111,"Biotic"
"255","Floods","Timing","Trophic",44,6,60,"Increase","Complex change",125,"Biotic"
"256","Floods","Frequency","Trophic",47,6,60,"Increase","Complex change",78,"Biotic"
"257","Floods","Duration","Trophic",33,6,60,"Increase","Complex change",123,"Biotic"
"258","Floods","Speed","Trophic",45,6,60,"Increase","Complex change",85,"Biotic"
"259","Floods","Feedbacks","Trophic",48,6,60,"Complex change","Complex change",121,"Biotic"
"260","Floods","Mechanism","Trophic",45,6,60,"Complex change","Complex change",93,"Biotic"
"261","Air temperature directional change","Quantity","Abundance",175,45,229,"Increase","Decrease",284,"Biotic"
"262","Air temperature directional change","Direction","Abundance",163,20,229,"Complex change","Decrease",179,"Biotic"
"263","Air temperature directional change","Location","Abundance",200,32,229,"Complex change","Decrease",224,"Biotic"
"264","Air temperature directional change","Distance","Abundance",14,13,229,"Complex change","Decrease",137,"Biotic"
"265","Air temperature directional change","Timing","Abundance",152,31,229,"Increase","Decrease",208,"Biotic"
"266","Air temperature directional change","Frequency","Abundance",86,15,229,"Increase","Decrease",132,"Biotic"
"267","Air temperature directional change","Duration","Abundance",111,24,229,"Increase","Decrease",170,"Biotic"
"268","Air temperature directional change","Speed","Abundance",89,14,229,"Increase","Decrease",111,"Biotic"
"269","Air temperature directional change","Feedbacks","Abundance",126,21,229,"Complex change","Decrease",170,"Biotic"
"270","Air temperature directional change","Mechanism","Abundance",85,11,229,"Complex change","Decrease",112,"Biotic"
"271","Air temperature directional change","Quantity","Connectivity",175,13,118,"Increase","Decrease",128,"Biotic"
"272","Air temperature directional change","Direction","Connectivity",163,11,118,"Complex change","Decrease",113,"Biotic"
"273","Air temperature directional change","Location","Connectivity",200,14,118,"Complex change","Decrease",115,"Biotic"
"274","Air temperature directional change","Distance","Connectivity",14,10,118,"Complex change","Decrease",103,"Biotic"
"275","Air temperature directional change","Timing","Connectivity",152,14,118,"Increase","Decrease",123,"Biotic"
"276","Air temperature directional change","Frequency","Connectivity",86,10,118,"Increase","Decrease",93,"Biotic"
"277","Air temperature directional change","Duration","Connectivity",111,13,118,"Increase","Decrease",116,"Biotic"
"278","Air temperature directional change","Speed","Connectivity",89,10,118,"Increase","Decrease",93,"Biotic"
"279","Air temperature directional change","Feedbacks","Connectivity",126,12,118,"Complex change","Decrease",118,"Biotic"
"280","Air temperature directional change","Mechanism","Connectivity",85,10,118,"Complex change","Decrease",97,"Biotic"
"281","Air temperature directional change","Quantity","Loss",175,20,114,"Increase","Increase",157,"Biotic"
"282","Air temperature directional change","Direction","Loss",163,14,114,"Complex change","Increase",129,"Biotic"
"283","Air temperature directional change","Location","Loss",200,16,114,"Complex change","Increase",135,"Biotic"
"284","Air temperature directional change","Distance","Loss",14,9,114,"Complex change","Increase",94,"Biotic"
"285","Air temperature directional change","Timing","Loss",152,13,114,"Increase","Increase",114,"Biotic"
"286","Air temperature directional change","Frequency","Loss",86,4,114,"Increase","Increase",65,"Biotic"
"287","Air temperature directional change","Duration","Loss",111,10,114,"Increase","Increase",103,"Biotic"
"288","Air temperature directional change","Speed","Loss",89,8,114,"Increase","Increase",85,"Biotic"
"289","Air temperature directional change","Feedbacks","Loss",126,10,114,"Complex change","Increase",101,"Biotic"
"290","Air temperature directional change","Mechanism","Loss",85,8,114,"Complex change","Increase",86,"Biotic"
"291","Air temperature directional change","Quantity","Management",175,13,67,"Increase","Complex change",127,"Biotic"
"292","Air temperature directional change","Direction","Management",163,8,67,"Complex change","Complex change",93,"Biotic"
"293","Air temperature directional change","Location","Management",200,9,67,"Complex change","Complex change",89,"Biotic"
"294","Air temperature directional change","Distance","Management",14,4,67,"Complex change","Complex change",65,"Biotic"
"295","Air temperature directional change","Timing","Management",152,7,67,"Increase","Complex change",80,"Biotic"
"296","Air temperature directional change","Frequency","Management",86,5,67,"Increase","Complex change",59,"Biotic"
"297","Air temperature directional change","Duration","Management",111,6,67,"Increase","Complex change",65,"Biotic"
"298","Air temperature directional change","Speed","Management",89,4,67,"Increase","Complex change",61,"Biotic"
"299","Air temperature directional change","Feedbacks","Management",126,6,67,"Complex change","Complex change",85,"Biotic"
"300","Air temperature directional change","Mechanism","Management",85,4,67,"Complex change","Complex change",69,"Biotic"
"301","Air temperature directional change","Quantity","Trophic",175,24,154,"Increase","Complex change",168,"Biotic"
"302","Air temperature directional change","Direction","Trophic",163,16,154,"Complex change","Complex change",134,"Biotic"
"303","Air temperature directional change","Location","Trophic",200,18,154,"Complex change","Complex change",131,"Biotic"
"304","Air temperature directional change","Distance","Trophic",14,13,154,"Complex change","Complex change",111,"Biotic"
"305","Air temperature directional change","Timing","Trophic",152,18,154,"Increase","Complex change",125,"Biotic"
"306","Air temperature directional change","Frequency","Trophic",86,10,154,"Increase","Complex change",78,"Biotic"
"307","Air temperature directional change","Duration","Trophic",111,15,154,"Increase","Complex change",123,"Biotic"
"308","Air temperature directional change","Speed","Trophic",89,11,154,"Increase","Complex change",85,"Biotic"
"309","Air temperature directional change","Feedbacks","Trophic",126,15,154,"Complex change","Complex change",121,"Biotic"
"310","Air temperature directional change","Mechanism","Trophic",85,11,154,"Complex change","Complex change",93,"Biotic"
"311","Air temperature variability","Quantity","Abundance",68,16,119,"Increase","Decrease",284,"Biotic"
"312","Air temperature variability","Direction","Abundance",86,15,119,"Complex change","Decrease",179,"Biotic"
"313","Air temperature variability","Location","Abundance",80,15,119,"Complex change","Decrease",224,"Biotic"
