Citation,DOI,2.1.Flow.Type,2.1.Flow.Type.NEW,2.2.Subtype,2.2.Subtype.NEW,Flag_QualityCheck,Flag_SubtypeCode,Flag_FlowCode,Flag_SubFlowSplit,Flag_FlowSplit,Flag_MissingData,ID_DOI_by_FlowEntry,ID_DOI_by_Flow,ID_DOI_by_Flow.NEW,Notes
"Acheson et al., 2018, Medical Mycology",https://doi.org/10.1093/mmy/myx037,Biotic,Biotic,range-shift,disease spread,0,1,0,1,0,0,59,60,60a,
"Cuthbert et al., 2023, Parasites & Vectors","10.1186/s13071-023-05887-x	",Biotic,Biotic,range-expansion,disease spread,0,1,0,1,0,0,60,61,61a,
"Wyka et al., 2018, Forest Ecology and Management",https://doi.org/10.1016/j.foreco.2018.03.011,Biotic,Biotic,Increase of foliar diseases of eastern white pine,disease spread,0,1,0,1,0,0,64,65,65a,
"Hussain et al., 2021, Microorganisms",10.3390/microorganisms9122412,Biotic,Biotic,range expansion,disease spread,0,1,0,1,0,0,67,68,68a,
"Keatts, 2021, Front. Public Health",10.3389/fpubh.2021.627654,Biotic,Biotic,Range expansion of bacterial infections,disease spread,0,1,0,1,0,0,69,71,71a,
"Sonenshine, 2018,  IJERPH ",https://doi.org/10.3390/ijerph15030478,Biotic,Biotic,range-shift,disease spread,0,1,0,1,0,0,73,75,75a,
"Keatts, 2021, Front. Public Health",10.3389/fpubh.2021.627654,Biotic,Biotic,Bacterial spread,disease spread,0,1,0,1,0,0,75,77,77a,
"Keatts, 2021, Front. Public Health",10.3389/fpubh.2021.627654,Biotic,Biotic,Range expansion and associated diseases and parasites,disease spread,0,1,0,1,0,0,76,78,78a,
"de la Fontaine,  2018, Ecology",10.1002/ecy.2382,Biotic,Biotic,Glacial retreat;; range shift,range-shift,0,1,0,1,0,0,12,12,12a,to be removed; Colleen recoded it using form. 
"Morin et al., 2018, Environment International",10.1016/j.envint.2018.06.018,Biotic,Biotic,disease spread; migration,migration,0,1,0,1,0,0,10,10,10a,
"Almeida Santos, A.; Jacques, J.; Plante, N.; Fournier, V.; Perez-Lopez, E.,  2023,Annals of the Entomological Society of America",http://dx.doi.org/10.1093/aesa/saad038,Biotic,Biotic,"migration, disease spread",migration,0,1,0,1,0,0,20,20,20a,
"Santos, 2024, Annals of the Entomological Society of America",10.1093/aesa/saad038,Biotic,Biotic,Flow of invasive insect vectors of crop diseases,range-shift,0,1,0,1,0,0,11,11,11a,
"Ng, V.; Rees, E. E.; Lindsay, L. R.; Drebot, M. A.; Brownstone, T.; Sadeghieh, T.; Khan, S. U., 2019,  Canada Communicable Disease Report",http://dx.doi.org/10.14745/ccdr.v45i04a04,Biotic,Biotic,range-shift,range-shift,0,1,0,1,0,0,14,14,14a,
"Chenery et al., 2022, Ecosphere","10.1002/ecs2.4376	",Biotic,Biotic,Dispersal,range-shift,0,1,0,1,0,0,25,25,25a,
"Ottenburghs, 2021, Evolutionary Applications",https://doi.org/10.1111/eva.13223,Biotic,Biotic,range shift causing hybridization,range-shift,0,1,0,1,0,0,43,44,44a,
"Schlater et al. 2021, Southwestern Naturalist",10.1894/0038-4909-65.2.161,Biotic,Biotic,dispersal,range-shift,0,1,0,1,0,0,68,70,70a,
"LaDeau, S. L.; Marra, P. P.; Kilpatrick, A. M.; Calder, C. A.,  2008, BioScience","10.1641/B581007	",Biotic,Biotic,"Disease spread, range shift",range-shift,0,1,0,1,0,0,37,38,38b,
"Semenza, J. C.; Rockl√∂v, J.; Ebi, K. L., 2022, Infectious Diseases and Therapy","10.1007/s40121-022-00647-3	",Biotic,Biotic,"range shift, disease spread",range-shift,0,1,0,1,0,0,38,39,39b,
"Schwandt, J. W.; Lockman, I. B.; Kliejunas, J. T.; Muir, J. A.,  2010,  Forest Pathology",10.1111/j.1439-0329.2010.00656.x,Biotic,Biotic,"disease spread, range shift",range-shift,0,1,0,1,0,0,39,40,40b,
"Alkishe et al, 2021, Insects",10.3390/insects12030225,Biotic,Biotic,Range shift,range-shift,0,1,0,1,0,0,42,43,43b,
"Bergevin, M. D.; Ng, V.; Ludwig, A.; Sadeghieh, T.; Menzies, P.; Mubareka, S.; Clow, K. M., 2024, VECTOR-BORNE AND ZOONOTIC DISEASES","10.1089/vbz.2023.0152	",Biotic,Biotic,range-expansion,range-shift,0,1,0,1,0,0,52,53,53b,
"Hasset & Thangamani, 2021, Microorganisms",https://doi.org/10.3390/microorganisms9112317,Biotic,Biotic,Range-shift,range-shift,0,1,0,1,0,0,57,58,58b,
"Acheson et al., 2018, Medical Mycology",https://doi.org/10.1093/mmy/myx037,Biotic,Biotic,range-shift,range-shift,0,1,0,1,0,0,59,60,60b,
"Cuthbert et al., 2023, Parasites & Vectors","10.1186/s13071-023-05887-x	",Biotic,Biotic,range-expansion,range-shift,0,1,0,1,0,0,60,61,61b,
"Wyka et al., 2018, Forest Ecology and Management",https://doi.org/10.1016/j.foreco.2018.03.011,Biotic,Biotic,Increase of foliar diseases of eastern white pine,range-shift,0,1,0,1,0,0,64,65,65b,
"Hussain et al., 2021, Microorganisms",10.3390/microorganisms9122412,Biotic,Biotic,range expansion,range-shift,0,1,0,1,0,0,67,68,68b,
"Keatts, 2021, Front. Public Health",10.3389/fpubh.2021.627654,Biotic,Biotic,Range expansion of bacterial infections,range-shift,0,1,0,1,0,0,69,71,71b,
"Sonenshine, 2018,  IJERPH ",https://doi.org/10.3390/ijerph15030478,Biotic,Biotic,range-shift,range-shift,0,1,0,1,0,0,73,75,75b,
"Keatts, 2021, Front. Public Health",10.3389/fpubh.2021.627654,Biotic,Biotic,Bacterial spread,range-shift,0,1,0,1,0,0,75,77,77b,
"Keatts, 2021, Front. Public Health",10.3389/fpubh.2021.627654,Biotic,Biotic,Range expansion and associated diseases and parasites,range-shift,0,1,0,1,0,0,76,78,78b,
"de la Fontaine,  2018, Ecology",10.1002/ecy.2382,Biotic,Biotic,Glacial retreat;; range shift,gene flow,0,1,0,1,0,0,12,12,12b,to be removed; Colleen recoded it using form. 
"Morin et al., 2018, Environment International",10.1016/j.envint.2018.06.018,Biotic,Biotic,disease spread; migration,disease spread,0,1,0,1,0,0,10,10,10b,
"Almeida Santos, A.; Jacques, J.; Plante, N.; Fournier, V.; Perez-Lopez, E.,  2023,Annals of the Entomological Society of America",http://dx.doi.org/10.1093/aesa/saad038,Biotic,Biotic,"migration, disease spread",disease spread,0,1,0,1,0,0,20,20,20b,
"Santos, 2024, Annals of the Entomological Society of America",10.1093/aesa/saad038,Biotic,Biotic,Flow of invasive insect vectors of crop diseases,disease spread,0,1,0,1,0,0,11,11,11b,
"Ng, V.; Rees, E. E.; Lindsay, L. R.; Drebot, M. A.; Brownstone, T.; Sadeghieh, T.; Khan, S. U., 2019,  Canada Communicable Disease Report",http://dx.doi.org/10.14745/ccdr.v45i04a04,Biotic,Biotic,range-shift,disease spread,0,1,0,1,0,0,14,14,14b,
"Chenery et al., 2022, Ecosphere","10.1002/ecs2.4376	",Biotic,Biotic,Dispersal,disease spread,0,1,0,1,0,0,25,25,25b,
"Ottenburghs, 2021, Evolutionary Applications",https://doi.org/10.1111/eva.13223,Biotic,Biotic,range shift causing hybridization,gene flow,0,1,0,1,0,0,43,44,44b,
"Schlater et al. 2021, Southwestern Naturalist",10.1894/0038-4909-65.2.161,Biotic,Biotic,dispersal,gene flow,0,1,0,1,0,0,68,70,70b,
