"","Title","Authors","Abstract","Published Year","Published Month","Journal","Volume","Issue","Pages","Accession Number","DOI","Ref","Covidence #","Study","Notes","Tags","Sociocultural","Biophysical","Biotic","IK","Intervention","Potentially relevant","save for other sections","Transboundary unclear","Perspective paper","Human_movement","Original_study"
"11","Arctic marine ecosystems face increasing climate stress","Deb, J. C.; Bailey, S. A.","Arctic warming is occurring at amuch faster rate than in other parts of the globe, with potentially devastating consequences for the diverse array of species within ecologically and biologically sensitive areas in the Arctic marine region. However, climate change research in this region is sparse compared to other biomes, hindering conservation efforts. In this article, we review and synthesize the available literature to understand the observed and potential impacts of climate change on different species and ecosystems in the Arctic marine region. We reviewed 253 articles reporting changes in species and ecosystems in the Arctic marine region in response to climate change (225 studies documenting observed impacts and 28 reporting predicted impacts). The review revealed that most research effort has been concentrated in only a subset of Arctic Large Marine Ecosystems (LMEs) (5/18 LMEs), with the majority of Arctic LMEs being poorly studied. The majority of the reviewed papers focused on marine mammals (19%) followed by microalgae (17%). A number of studies documented variability in planktonic communities (microalgae, macroalgae, zooplankton), resulting in alteration in ecosystem structure and function. Reproductive failure, decline in populations, and changes in diet composition, behavior, and breeding biology were reported for sea birds and mammals. Further, shifts in spatial distribution of fishes were observed by several studies. This review provides persuasive evidence that multiple climate change indices in the Arctic region are changing, with impacts on almost all components of marine biotic ecosystems (from plankton to top predators). We identify a number of gaps (such as limited inventory of biota, robustness of data supporting climate change indices on an Arctic Ocean scale, and climate suitability assessment for all species) in climate change research in Arctic marine ecosystems where future studies can help to quantify the impacts of climate change on species and ecosystems and advance understanding for their adaptive management.",2023,"SEP","Environmental Reviews","31","3","403-451","WOS:000963001200001","10.1139/er-2022-0101","","#2881","Deb 2023","Anabel Kinsey (2024-10-19 04:28:12)(Select): This definitely relates to biodiversity + climate change. Implicit transboundary as the areas of interest span US + Canada ocean zones. ;","Biotic; Intervention; Transboundary unclear",FALSE,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE
"12","Human adaptation to climate change in the context of forests: A systematic review","Fischer, A. P.; Shah, M. A. R.; Segnon, A. C.; Matavel, C.; Antwi-Agyei, P.; Shang, Y. Y.; Muir, M.; Kaufmann, R.; Global Adaptation Mapping, Team","We assessed how people adapt to climate change in the context of forests through a systematic review of the international empirical research literature. We found that drought, precipitation variability, extreme precipitation and flooding, and extreme heat were the climatic stressors to which responses were most frequently documented. Individuals and households received the most research attention, followed by national government, civil society, and local government. Europe and North America were the geographic foci of more research than other regions. Behavioral responses were more reported than technical and infrastructural responses and institutional responses. Within these types of responses, actors used a wide variety of practices such as replanting, altering species composition, and adopting or changing technology. Adaptation efforts in early planning and advanced implementation received some attention, but early implementation and expanding implementation were most reported. While connections between responses and risk reduction were discussed, there is limited evidence of risk reduction. Our review contributes to the scholarly and practical understanding of how people adapt to climate change in the context of forests. The review also identifies opportunities for future research on adaptation to other climatic stressors, such as wildfires and tree pests and pathogens, adaptation in other geographic areas, especially Oceania, and adaptation by actors beyond the individual and household level and through institutional adaptation efforts.",2024,"","Climate Risk Management","43","","","WOS:001147470300001","10.1016/j.crm.2023.100573","","#3770","Fischer 2024","Tyler McIntosh (2024-08-14 04:57:58)(Select): This is an excellent review of human adaptation to climate change in the context of forests (per the title!). Its relevance to us is mostly focused on the flow of sociocultural or cultural norms, not actually the movement of people. Table 1: Practices by response type has an excellent summary of the responses documented in the review. Increasing trans-national cooperation is explicitly mentioned, and it stands to reason that many of the responses/practices mentioned may flow over/ be adopted across new boundaries.; ","Intervention; Sociocultural; Transboundary unclear",TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE
"13","Social and ecological analysis of commercial integrated crop livestock systems: Current knowledge and remaining uncertainty","Garrett, R. D.; Niles, M. T.; Gil, J. D. B.; Gaudin, A.; Chaplin-Kramer, R.; Assmann, A.; Assmann, T. S.; Brewer, K.; Carvalho, P. C. D.; Cortner, O.; Dynes, R.; Garbach, K.; Kebreab, E.; Mueller, N.; Peterson, C.; Reis, J. C.; Snow, V.; Valentim, J.","Crops and livestock play a synergistic role in global food production and farmer livelihoods. Increasingly, however, crops and livestock are produced in isolation, particularly in farms operating at the commercial scale. It has been suggested that re-integrating crop and livestock systems at the field and farm level could help reduce the pollution associated with modern agricultural production and increase yields. Despite this potential, there has been no systematic review to assess remaining knowledge gaps in both the social and ecological dimensions of integrated crop and livestock systems (ICLS), particularly within commercial agricultural systems. Based on a multi-disciplinary workshop of international experts and additional literature review, we assess the current knowledge and remaining uncertainties about large-scale, commercial ICLS and identify the source of remaining knowledge gaps to establish priorities for future research. We find that much is understood about nutrient flows, soil quality, crop performance, and animal weight gain in commercial ICLS, but there is little knowledge about its spatial extent, animal behavior or welfare in ICLS, or the tradeoffs between biodiversity, pest and disease control, greenhouse gas (GHG) mitigation, and drought and heat tolerance in ICLS. There is some evidence regarding the economic outcomes in commercial ICLS and supply chain and policy barriers to adoption, but little understanding of broader social outcomes or cultural factors influencing adoption. Many of these knowledge gaps arise from a basic lack of data at both the field and system scales, which undermines both statistical analysis and modeling efforts. Future priorities for the international community of researchers investigating the tradeoffs and scalability of ICLS include: methods standardization to better facilitate international collaborations and comparisons, continued social organization for better data utilization and collaboration, meta-analyses to answer key questions from existing data, the establishment of long term experiments and surveys in key regions, a portal for citizen science, and more engagement with ICLS farmers.",2017,"JUL","Agricultural Systems","155","","136-146","WOS:000404707000013","10.1016/j.agsy.2017.05.003","","#4114","Garrett 2017","DAVID GONZALEZ (2024-08-21 12:55:56)(Select): Not specific to North America, but does highlight flows of knowledge at international level. I've included it for this reason as it may apply to North America. ; ","Intervention; Sociocultural; Transboundary unclear",TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE
"14","The Deciduous Forest - Boreal Forest Ecotone","Goldblum, D.; Rigg, L. S.","Ecotones have been subject to significant attention over the past 25 years as a consensus emerged that they might be uniquely sensitive to the effects of climate change. Most ecotone field studies and modeling efforts have focused on transitions between forest and non-forest biomes (e.g. boreal forest to Arctic tundra, forest to prairie, subalpine forests to alpine tundra) while little effort has been made to evaluate or simply understand forest-forest ecotones, specifically the deciduous forest - boreal forest ecotone. Geographical shifts and changes at this ecotone because of anthropogenic factors are tied to the broader survival of both the boreal and deciduous forest communities as well as global factors such as biodiversity loss and dynamics of the carbon cycle. This review summarizes what is known about the location, controlling mechanisms, disturbance regimes, anthropogenic impacts, and sensitivity to climate change of the deciduous forest -boreal forest ecotone.",2010,"JUL","Geography Compass","4","7","","WOS:000214313700002","10.1111/j.1749-8198.2010.00342.x","","#4357","Goldblum 2010","","Biotic; Intervention; Transboundary unclear",FALSE,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE
"15","Adapting forest management to climate change: The state of science and applications in Canada and the United States","Halofsky, J. E.; Andrews-Key, S. A.; Edwards, J. E.; Johnston, M. H.; Nelson, H. W.; Peterson, D. L.; Schmitt, K. M.; Swanston, C. W.; Williamson, T. B.","Over the last decade, considerable progress has been made in developing vulnerability assessment tools and in applying these methodologies to identify and implement climate change adaptation approaches for forest ecosystems and forest management organizations in Canada and the United States. However, given that adaptation processes are in early stages, evaluation of approaches across agency, organizational, and geographic boundaries is critical. Thus, we conducted a qualitative comparison of three conceptual frameworks for climate change vulnerability assessment and adaptation efforts in the Canadian and United States forestry agency contexts. We focus our comparison on components of the conceptual frameworks, development process, intended users, similarities and differences in institutional contexts (geographic and organizational), and implementation. Finally, we present case studies to illustrate how the frameworks have been implemented on the ground and in different contexts. Despite different trajectories of development, the Canadian and US forest agencies have developed similar conceptual frameworks for vulnerability assessment and adaptation. We found that key components of the conceptual frameworks included: establishing a science-management partnership; evaluating current forest conditions and management objectives; conducting detailed science-based vulnerability assessments; developing adaptation approaches and on-the-ground tactics; implementing adaptation tactics; and monitoring outcomes and adjusting as needed. However, the contexts in which these frameworks are implemented vary considerably within and between countries, mostly because of differences in land ownership, management norms, and organizational cultures. On-the-ground applications, although slow to develop, are beginning to proliferate, providing examples that can be emulated by others. A strategy for accelerating implementation of adaptation in Canada and the United States is suggested, building on successes by federal agencies and extending to public, private, and crown lands.",2018,"AUG 1","Forest Ecology and Management","421","","84-97","WOS:000432758000009","10.1016/j.foreco.2018.02.037","","#4765","Halofsky 2018","","Intervention; Sociocultural",TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
"16","Time to Mainstream the Environment into Migration Theory?","Hunter, L. M.; Simon, D. H.","As with all social processes, human migration is a dynamic process that requires regular theoretical reflection. This article offers such reflection as related to the role of the natural environment in contemporary migration research and theory. A growing body of evidence suggests that environmental contexts, as shifting social and ecological realities, are consequential to migration theory. In this article, we review some of this evidence, providing migration research examples that integrate environmental context and are applicable to core migration theories, including neoclassical economic and migration systems perspectives, the """"push-pull"""" framework, and the new economics of labor migration. We suggest that neglecting consideration of the natural environment may yield misspecified migration models that attribute migration too heavily to social and economic factors, particularly in the context of contemporary climate change. On the other hand, we suggest, failure to consider migration theory in climate scenarios may lead to simplistic projections and understandings, as in the case of """"climate refugees."""" We conclude that migration researchers have an obligation to accurately reflect the complexity of migration's drivers, including the environment, within migration scholarship, especially in the context of global climate change.",2023,"MAR","INTERNATIONAL MIGRATION REVIEW","57","1","5-35","WOS:000762809900001","10.1177/01979183221074343","","#5426","Hunter 2023","","Biophysical; Biotic; Human movement; Intervention; Transboundary unclear",FALSE,TRUE,TRUE,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE,TRUE,FALSE
"17","Is Canada fulfilling its obligations to sustain marine biodiversity? A summary review, conclusions, and recommendations","Hutchings, J. A.; Côté, I. M.; Dodson, J. J.; Fleming, I. A.; Jennings, S.; Mantua, N. J.; Peterman, R. M.; Riddell, B. E.; Weaver, A. J.; VanderZwaag, D. L.","Canada has made numerous national and international commitments to sustain marine biodiversity. Given current and potential threats to biodiversity from climate change, fisheries, and aquaculture, we provide a summary review of Canada's progress in fulfilling its obligations to protect, conserve, recover, and responsibly exploit marine biodiversity. We conclude that Canada has made little substantive progress, when compared to most developed nations, in meeting its biodiversity commitments. Much of Canada's policy and rhetoric has not been operationalised, leaving many of the country's national and international obligations unfulfilled in some key areas, such as the establishment of marine protected areas and incorporation of the precautionary approach to fisheries management. We conclude that regulatory conflict within Canada's Department of Fisheries and Oceans (DFO) and the absolute discretion exercised by the national Minister of Fisheries and Oceans contribute significantly to an unduly slow rate of policy and statute implementation. We recommend new approaches and measures to sustain Canadian marine biodiversity and new research initiatives to support scientific advice to decision-makers. Many recommendations focus on management actions required to meet existing commitments to biodiversity conservation. Overall, we conclude that the most effective strategy is to protect existing biological diversity and to rebuild depleted populations and species to restore natural diversity. By improving and protecting the biodiversity in Canada's oceans, such a strategy will restore the natural resilience of Canada's ocean ecosystems to adapt to the challenges posed by climate change and other anthropogenic activities with consequent long-term benefits for food security and social and economic well-being.",2012,"","Environmental Reviews","20","4","353-361","WOS:000312499400004","10.1139/er-2012-0049","","#5457","Hutchings 2012","Alice Gaalswyk (2024-08-19 04:28:25)(Select): relevance when considering international marine agreements and regulations ;","Biotic; Intervention; Perspective paper; Transboundary unclear",FALSE,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE
"18","Implications of Zoonoses From Hunting and Use of Wildlife in North American Arctic and Boreal Biomes: Pandemic Potential, Monitoring, and Mitigation","Keatts, L. O.; Robards, M.; Olson, S. H.; Hueffer, K.; Insley, S. J.; Joly, D. O.; Kutz, S.; Lee, D. S.; Chetkiewicz, C. L. B.; Lair, S.; Preston, N. D.; Pruvot, M.; Ray, J. C.; Reid, D.; Sleeman, J. M.; Stimmelmayr, R.; Stephen, C.; Walzer, C.","The COVID-19 pandemic has re-focused attention on mechanisms that lead to zoonotic disease spillover and spread. Commercial wildlife trade, and associated markets, are recognized mechanisms for zoonotic disease emergence, resulting in a growing global conversation around reducing human disease risks from spillover associated with hunting, trade, and consumption of wild animals. These discussions are especially relevant to people who rely on harvesting wildlife to meet nutritional, and cultural needs, including those in Arctic and boreal regions. Global policies around wildlife use and trade can impact food sovereignty and security, especially of Indigenous Peoples. We reviewed known zoonotic pathogens and current risks of transmission from wildlife (including fish) to humans in North American Arctic and boreal biomes, and evaluated the epidemic and pandemic potential of these zoonoses. We discuss future concerns, and consider monitoring and mitigation measures in these changing socio-ecological systems. While multiple zoonotic pathogens circulate in these systems, risks to humans are mostly limited to individual illness or local community outbreaks. These regions are relatively remote, subject to very cold temperatures, have relatively low wildlife, domestic animal, and pathogen diversity, and in many cases low density, including of humans. Hence, favorable conditions for emergence of novel diseases or major amplification of a spillover event are currently not present. The greatest risk to northern communities from pathogens of pandemic potential is via introduction with humans visiting from other areas. However, Arctic and boreal ecosystems are undergoing rapid changes through climate warming, habitat encroachment, and development; all of which can change host and pathogen relationships, thereby affecting the probability of the emergence of new (and re-emergence of old) zoonoses. Indigenous leadership and engagement in disease monitoring, prevention and response, is vital from the outset, and would increase the success of such efforts, as well as ensure the protection of Indigenous rights as outlined in the United Nations Declaration on the Rights of Indigenous Peoples. Partnering with northern communities and including Indigenous Knowledge Systems would improve the timeliness, and likelihood, of detecting emerging zoonotic risks, and contextualize risk assessments to the unique human-wildlife relationships present in northern biomes.",2021,"MAY 5","Frontiers in Public Health","9","","","WOS:000651756300001","10.3389/fpubh.2021.627654","","#6073","Keatts 2021","","Biotic; Intervention; Perspective paper; Sociocultural",TRUE,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE
"19","Utilization and transfer of forest genetic resources: A global review","Koskela, J.; Vinceti, B.; Dvorak, W.; Bush, D.; Dawson, I. K.; Loo, J.; Kjaer, E. D.; Navarro, C.; Padolina, C.; Bordacs, S.; Jamnadass, R.; Graudal, L.; Ramamonjisoa, L.","Over the last 200 years, genetic resources of forest trees have been increasingly transferred, within and outside of species' native distribution ranges, for forestry and for research and development (R&D). Transferred germplasm has been deployed to grow trees for numerous purposes, ranging from the production of wood and non-wood products to the provision of ecosystem services such as the restoration of forests for biodiversity conservation. The oldest form of R&D, provenance trials, revealed early on that seed origin has a major influence on the performance of planted trees. International provenance trials have been essential for selecting seed sources for reforestation and for improving tree germplasm through breeding. Many tree breeding programmes were initiated in the 1950s, but as one round of testing and selection typically takes decades, the most advanced of them are only in their third cycle. Recent advances in forest genomics have increased the understanding of the genetic basis of different traits, but it is unlikely that molecular marker-assisted approaches will quickly replace traditional tree breeding methods. Furthermore, provenance trials and progeny tests are still needed to complement new research approaches. Currently, seed of boreal and temperate trees for reforestation purposes are largely obtained from improved sources. The situation is similar for fast growing tropical and subtropical trees grown in plantations, but in the case of tropical hardwoods and many agroforestry trees, only limited tested or improved seed sources are available. Transfers of tree germplasm involve some risks of spreading pests and diseases, of introducing invasive tree species and of polluting the genetic make-up of already present tree populations. Many of these risks have been underestimated in the past, but they are now better understood and managed. Relatively few tree species used for forestry have become invasive, and the risk of spreading pests and diseases while transferring seed is considerably lower than when moving live plants. The implementation of the Nagoya Protocol on access to genetic resources and benefit sharing (ABS) may significantly change current transfer practices in the forestry sector by increasing transaction costs and the time needed to lawfully obtain forest genetic resources for R&D purposes. Many countries are likely to struggle to establish a well-functioning ABS regulatory system, slowing down the process of obtaining the necessary documentation for exchange. This is unfortunate, as climate change, outbreaks of pests and diseases, and continual pressure to support productivity, increase the need for transferring tree germplasm and accelerating R&D. (C) 2014 The Authors. Published by Elsevier B.V.",2014,"DEC 1","Forest Ecology and Management","333","","22-34","WOS:000347663900003","10.1016/j.foreco.2014.07.017","","#6431","Koskela 2014","","Biotic; Intervention",FALSE,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
"20","Multidisciplinary perspectives on living marine resources in the Arctic","Kvamsdal, S. F.; Dankel, D.; Ekerhovd, N. A.; Hoel, A. H.; Renner, A. H. H.; Sando, A. B.; Steinshamn, S. I.","Many areas in the Arctic are vulnerable to the impacts of climate change. We observe large-scale effects on physical, biological, economic and social parameters, including ice cover, species distributions, economic activity and regional gover-nance frameworks. Arctic living marine resources are affected in various ways. A holistic understanding of these effects requires a multidisciplinary enterprise. We synthesize relevant research, from oceanography and ecology, via economics, to political science and international law. We find that multidisciplinary research can enhance our understanding and promote new questions and issues relating to impacts and outcomes of climate change in the Arctic. Such issues include recent insights on changing spawning migrations of the North-east Arctic cod stock that necessitates revisions of socioeconomic estimates of ecosystem wealth in the Barents Sea, better integrated prediction systems that require increased coopera-tion between experts on climate prediction and ecosystem modelling, and institu-tional complexities of Arctic governance that require enhanced coordination.",2022,"OCT 20","Polar Research","41","","","WOS:000883652000001","10.33265/polar.v41.7766","","#6617","Kvamsdal 2022","","Biophysical; Biotic; Intervention; Sociocultural",TRUE,TRUE,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
"21","Analysis of the Effect of Climate Warming on Paludification Processes: Will Soil Conditions Limit the Adaptation of Northern Boreal Forests to Climate Change? A Synthesis","Laamrani, A.; Valeria, O.; Chehbouni, A.; Bergeron, Y.","Northern boreal forests are characterized by accumulation of accumulation of peat (e.g., known as paludification). The functioning of northern boreal forest species and their capacity to adapt to environmental changes appear to depend on soil conditions. Climate warming is expected to have particularly pronounced effects on paludified boreal ecosystems and can alter current forest species composition and adaptation by changing soil conditions such as moisture, temperature regimes, and soil respiration. In this paper, we review and synthesize results from various reported studies (i.e., 88 research articles cited hereafter) to assess the effects of climatic warming on soil conditions of paludified forests in North America. Predictions that global warming may increase the decomposition rate must be considered in combination with its impact on soil moisture, which appears to be a limiting factor. Local adaptation or acclimation to current climatic conditions is occurring in boreal forests, which is likely to be important for continued ecosystem stability in the context of climate change. The most commonly cited response of boreal forest species to global warming is a northward migration that tracks the climate and soil conditions (e.g., temperature and moisture) to which they are adapted. Yet, some constraints may influence this kind of adaptation, such as water availability, changes in fire regimes, decomposer adaptations, and the dynamic of peat accumulation. In this paper, as a study case, we examined an example of potential effects of climatic warming on future paludification changes in the eastern lowland region of Canada through three different combined hypothetical scenarios based on temperature and precipitation (e.g., unchanged, increase, or decrease). An increase scenario in precipitation will likely favor peat accumulation in boreal forest stands prone to paludification and facilitate forested peatland expansion into upland forest, while decreased or unchanged precipitation combined with an increase in temperature will probably favor succession of forested peatlands to upland boreal forests. Each of the three scenarios were discussed in this study, and consequent silvicultural treatment options were suggested for each scenario to cope with anticipated soil and species changes in the boreal forests. We concluded that, despite the fact boreal soils will not constrain adaptation of boreal forests, some consequences of climatic warming may reduce the ability of certain species to respond to natural disturbances such as pest and disease outbreaks, and extreme weather events.",2020,"NOV","Forests","11","11","","WOS:000593215700001","10.3390/f11111176","","#6637","Laamrani 2020","","Biophysical; Biotic; Intervention; Transboundary unclear",FALSE,TRUE,TRUE,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE
"22","Issues and challenges of Mangrove conservation in the Anthropocene","Lugo, A. E.; Medina, E.; McGinley, K.","This essay addresses the conservation issues facing mangroves in the Anthropocene, defined as the era of human domination over the world. We review the laws, policies, international agreements, and local actions that address the conservation of mangrove forests in the Neotropics and relate them to the Anthropocene. Collaboration between governments, non-governmental organizations, and communities that depend on mangroves for their livelihood will be critical in the Anthropocene. The essay also reviews recent developments in mangrove ecology and ecophysiology that enlighten how mangroves might respond to changes in temperature and rainfall, sea level rise, and other anthropogenic and natural disturbances. Mangroves in the Anthropocene will also face changes in their species composition given the current movement of mangroves species across continental barriers as a result of human activity. These trends will lead to novel mangrove forests and in some cases expand the range of mangroves worldwide. The solution to mangrove persistence in the Anthropocene is not to isolate mangroves from people, but to regulate interactions between mangroves and humans through effective management. We will also have to expand the scope of the ecological analysis of mangrove ecosystems to include the social forces converging on the mangroves through an analytical approach that has been termed Social Ecology.",2014,"","Madera y Bosques","20","","11-38","WOS:000346409900001","","","#7455","Lugo 2014","","Biotic; Intervention; Sociocultural",TRUE,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
"23","Resolving Future Arctic/Midlatitude Weather Connections","Overland, J. E.; Wang, M. Y.","Given ongoing large changes in the Arctic, high-latitude forcing is a new potential driver for sub-seasonal weather impacts at midlatitudes in coming decades. Such linkage research, however, is controversial. Some metrics find supporting evidence and others report no robust correlations. Model studies reach different conclusions. Case studies from particular historical months suggest potential connections. We propose that a difficulty in resolving the science is due to the inherent complexity and intermittent character of atmospheric dynamics, which serves as a variable causal bridge between changes in the Arctic and midlatitude weather. Linkages may be more favorable in one atmospheric jet stream pattern than another. Linkages are a two-step process: thermodynamic forcing, i.e. warm Arctic temperatures and loss of sea ice, is generally favorable in the last decade, but internal atmospheric dynamics, i.e. the jet stream location and strength, must also allow for a connection. Thus, in the last decade only a few possible linkage events are noted into and out of the Arctic; for examples 2006, 2016, and 2018 had warm Arctic Januaries, and 2010 and 2017 had cold eastern North American Decembers. Record large sea-ice-free areas and warm temperatures north of Alaska and over Baffin Bay helped to anchor the long wave atmospheric pattern, which in turn fed cold temperatures into the eastern US. Intra-seasonal and inter-annual intermittency explains low direct Arctic/midlatitude linkage correlations and large variability in model studies. Yet a full understanding is necessary for important future forecasts of increased Arctic/midlatitude interactions impacting millions of people.",2018,"AUG","EARTHS FUTURE","6","8","1146-1152","WOS:000444074000008","10.1029/2018EF000901","","#9191","Overland 2018","","Biophysical; Intervention",FALSE,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
"24","Provenance trials in the service of forestry assisted migration: A review of North American field trials and experiments","Park, A.; Rodgers, J. L.","As greenhouse gas emissions rise unabated and temperatures continue to rise, forest managers have begun to consider assisted migration (AM) of trees as a strategy to adapt forests to climate change. To investigate the risks and benefits of AM, old provenance trials have been repurposed and new common-garden experiments initiated. In this paper, we review three decades of common-garden based research into the adaptation of species and provenances (geographically specific varieties) to current and future climates in North America. Using a filtered data base of 106 papers and reports, we investigate multiple aspects of this work, including subject species, tree response variables and their climatic predictors, statistical techniques, and the patterns of adaptation revealed in results. Although the reviewed work contained valuable insights into provenance-climate relationships, much of this work focused on growth in commercial conifer species and the correlation of that growth with annual or monthly climatic averages. A minority of studies investigated the effects of climate variables with direct mechanistic effects on growth or phenology, including temperature extremes, frost and drought indices, or growing-season duration. Furthermore, recent research has opened new avenues of investigation into the in-fluence of local soil and topographic variables, and even ectomycorrhizal communities over provenance per-formance. We make the case that future common-garden research into provenance-climate relationships should focus on climatic variables with demonstrated mechanistic connections to growth, survival, and phenology. The effects of extreme weather merit particular attention because extreme weather is likely to be a key determinant of long-term tree health and persistence.",2023,"JUN 1","Forest Ecology and Management","537","","","WOS:000966598500001","10.1016/j.foreco.2023.120854","","#9339","Park 2023","Tyler McIntosh (2024-10-23 10:44:45)(Select): Maps showing source/testing sites imply flow of material across transboundary borders; we can assume that the tests are being done with the intention of using the information, and potentially the selected species, for on the ground management, which would have significant biodiversity impacts; ","Biotic; Intervention; Sociocultural",TRUE,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
"25","Local knowledge and practice in disaster relief: A worldwide cross-cultural comparison of coping mechanisms","Pierro, R.; Ember, C. R.; Pitek, E.; Skoggard, I.","There is a growing interest and urgency in understanding and incorporating local knowledge and strategies into sustainable climate change adaptation. This is particularly important because as populations age and new technologies come on the scene, much local knowledge is lost to newer generations. For this reason, we have systematically examined 90 societies from the ethnographic record to explore and document the strategies that people in the past have implemented in response to serious natural hazards. Our review reveals a rich diversity of coping mechanisms and contingency plans used by societies around the world in response to different hazards, particularly floods and droughts. We collect, classify, and compare different types of coping mechanisms, focusing on four major types: technological, subsistence, economic and religious. We find that most societies employ multiple types of coping mechanisms, although our data suggest that technological coping mechanisms are the most common coping mechanisms in response to fast-onset hazards, whereas religious coping mechanisms are the most common mechanism used in response to slow-onset hazards. We also find that religious and nonreligious coping strategies are not antithetical to each other. In fact, an increased number of religious coping mechanisms is associated with an increased number of """"practical"""", nonreligious coping mechanisms.",2022,"JUN 15","INTERNATIONAL JOURNAL OF DISASTER RISK REDUCTION","76","","","WOS:000832968600001","10.1016/j.ijdrr.2022.102988","","#9609","Pierro 2022","Tyler McIntosh (2024-08-22 05:45:38)(Select): Documentation of shifts in adaptation techniques in relation to climate change & change-driven events such as fires. One could argue that here we have a flow of natural disasters shifting in regime and subsequently shifting sociocultural practices that impact the environment (e.g. development/management);","IK; Intervention; Sociocultural; Transboundary unclear; save for other sections",TRUE,FALSE,FALSE,TRUE,TRUE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE
"26","A global systematic literature review on sustainable soil management practices (1994-2022)","Sharna, S. C.; Maraseni, T.; Radanielson, A. M.","Sustainable Soil Management Practices (SSMP) offer potential benefits while conserving natural resources. However, the low adoption of SSMP limits the achievement of their full potential. To examine the current state of knowledge on SSMP adoption and identify research gaps, we systematically reviewed 269 peer-reviewed publications pooled from Scopus, Web of Science and ScienceDirect, covering the period from 1994 to 2022. We assessed the temporal and spatial transitions of SSMP adoption and identified a broad perspective of 14 themes on SSMP adoption and highlight the research trends and gaps. Prior to 2010, research on SSMP adoption was concentrated on a few themes and has become diversified in later years, covering emerging themes such as climate change and use Information and Communication Technology (ICT). Publications on SSMP adoption exhibited a global distribution, with particular emphasis on the African continent due to the flow of donors' funds driven by severe soil degradation and limited use of improved technologies in Africa. Studies on minimum soil disturbance were prevalent worldwide, with the highest number of publications. Our findings also indicate a strong research collaboration between developed and developing countries, showcasing donor-driven collaborative efforts and mutual benefits across different regions. This review however highlights the limited inclusion of local knowledge in SSMP promotion and recommends a bottom-up approach for future initiatives. In the discussion section, different critical factors of SSMP adoption covering farmers' perceptions, climate change, policy impact and the use of ICT are discussed. These findings and identified research gaps are useful for further research and the development of sustainable soil management policies, programmes and projects.",2023,"OCT","Soil Use and Management","39","4","1267-1288","WOS:001076058300001","10.1111/sum.12949","","#11089","Sharna 2023","Anna LoPresti (2024-08-13 10:07:21)(Select): re-tagging as sociocultural. paper describes the tranboundary  flow of research funds related to SSMP - practices which can impact biodiversity; Grace Westphal (2024-08-13 06:59:12)(Select): SSMP is proposed as a way to regulate the impacts of climate change. Should potentially be tagged as """"Intervention"""" instead; ","Intervention; Sociocultural",TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
